카테고리,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사읍,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2021년08월_계_총인구수,"1,080,325","262,030","33,649","26,922","20,457","23,812","8,284","9,197","20,760","24,921","44,666","36,279","13,083","441,375","38,420","30,533","17,541","41,900","13,314","33,368","21,746","26,285","39,446","32,071","32,828","27,264","25,697","24,690","36,272","376,920","36,482","41,306","37,929","56,614","18,417","49,609","48,517","33,550","54,496"
2021년08월_계_연령구간인구수,"1,080,325","262,030","33,649","26,922","20,457","23,812","8,284","9,197","20,760","24,921","44,666","36,279","13,083","441,375","38,420","30,533","17,541","41,900","13,314","33,368","21,746","26,285","39,446","32,071","32,828","27,264","25,697","24,690","36,272","376,920","36,482","41,306","37,929","56,614","18,417","49,609","48,517","33,550","54,496"
2021년08월_계_0~9세,"96,895","20,422","2,196","1,867","1,491","3,153",330,236,"1,213","1,535","4,647","3,089",665,"40,886","3,251","3,306","1,837","4,182",916,"2,829","1,794","3,026","3,187","2,544","3,228","2,528","3,200","1,853","3,205","35,587","2,651","4,510","3,324","4,746","1,449","5,608","4,650","3,181","5,468"
2021년08월_계_10~19세,"122,768","26,817","3,812","2,430","1,789","2,027",583,"1,156","3,038","2,174","4,417","4,281","1,110","50,482","3,529","3,589","1,230","3,318","1,239","4,312","2,178","2,578","4,739","3,043","5,635","4,625","3,216","2,742","4,509","45,469","3,602","5,711","5,350","6,904","1,555","5,377","6,193","4,196","6,581"
2021년08월_계_20~29세,"138,556","34,969","4,815","3,450","2,168","1,845",739,953,"2,660","4,428","7,171","4,913","1,827","57,157","5,053","3,792","2,449","6,613","1,958","4,033","2,593","5,302","4,410","4,070","3,623","3,246","2,415","3,397","4,203","46,430","5,269","4,933","4,067","7,935","2,837","5,563","6,237","3,814","5,775"
2021년08월_계_30~39세,"142,144","33,659","3,891","3,114","2,348","4,069",718,734,"2,449","3,183","7,305","4,459","1,389","57,784","5,995","4,494","3,159","7,579","1,887","3,673","2,762","4,413","4,105","3,940","3,261","2,285","3,517","2,713","4,001","50,701","6,264","6,010","3,901","6,876","3,211","7,663","6,653","4,086","6,037"
2021년08월_계_40~49세,"198,354","43,501","5,928","4,528","3,332","4,336","1,041",979,"3,116","3,859","7,720","6,722","1,940","82,828","6,535","5,918","2,733","7,086","2,317","6,377","3,854","4,514","7,568","5,301","7,702","6,105","5,378","4,236","7,204","72,025","5,930","8,847","7,831","10,541","3,002","9,592","9,287","6,408","10,587"
2021년08월_계_50~59세,"169,099","43,658","6,008","4,780","3,740","3,069","1,557","1,565","3,441","4,219","6,455","6,280","2,544","68,636","6,215","4,973","2,787","6,609","2,267","5,360","3,556","3,255","6,069","5,152","4,902","4,450","3,029","4,559","5,453","56,805","5,462","5,893","5,898","8,993","2,872","7,218","7,151","5,164","8,154"
2021년08월_계_60~69세,"112,427","33,783","3,967","3,901","3,146","3,055","1,802","1,906","2,873","3,202","4,089","3,690","2,152","43,458","4,198","2,730","1,809","3,813","1,362","3,487","2,804","1,968","4,461","3,807","2,227","2,119","2,238","2,863","3,572","35,186","3,821","2,572","3,504","5,420","1,842","4,865","4,227","3,158","5,777"
2021년08월_계_70~79세,"66,000","16,241","1,954","1,864","1,520","1,535",932,927,"1,213","1,491","1,939","1,879",987,"26,422","2,393","1,172",753,"1,867",905,"2,210","1,469",842,"3,224","2,782","1,501","1,252","1,758","1,551","2,743","23,337","2,291","1,739","2,776","3,367","1,052","2,609","2,788","2,392","4,323"
2021년08월_계_80~89세,"29,570","7,734",936,851,790,630,498,655,630,718,790,845,391,"11,899","1,110",469,612,709,421,942,642,343,"1,463","1,240",659,570,851,673,"1,195","9,937","1,041",979,"1,119","1,614",501,957,"1,151","1,009","1,566"
2021년08월_계_90~99세,"4,363","1,206",140,134,127,91,82,85,120,106,129,117,75,"1,760",134,87,168,117,42,140,89,42,215,185,88,82,94,97,180,"1,397",141,111,156,209,94,151,175,139,221
2021년08월_계_100세 이상,149,40,2,3,6,2,2,1,7,6,4,4,3,63,7,3,4,7,0,5,5,2,5,7,2,2,1,6,7,46,10,1,3,9,2,6,5,3,7
2021년08월_남_총인구수,"536,223","134,681","17,397","14,087","10,458","11,994","4,278","5,022","11,341","12,631","22,378","18,320","6,775","217,896","19,168","15,177","8,688","20,925","6,886","16,499","10,773","13,541","19,060","15,679","15,770","13,396","12,505","12,046","17,783","183,646","18,184","20,301","18,385","27,319","9,109","24,438","23,378","16,272","26,260"
2021년08월_남_연령구간인구수,"536,223","134,681","17,397","14,087","10,458","11,994","4,278","5,022","11,341","12,631","22,378","18,320","6,775","217,896","19,168","15,177","8,688","20,925","6,886","16,499","10,773","13,541","19,060","15,679","15,770","13,396","12,505","12,046","17,783","183,646","18,184","20,301","18,385","27,319","9,109","24,438","23,378","16,272","26,260"
2021년08월_남_0~9세,"49,567","10,424","1,128",979,741,"1,583",166,132,643,780,"2,385","1,542",345,"21,014","1,642","1,678",940,"2,147",501,"1,474",916,"1,515","1,643","1,308","1,600","1,323","1,668",981,"1,678","18,129","1,378","2,299","1,663","2,394",753,"2,906","2,307","1,625","2,804"
2021년08월_남_10~19세,"63,164","14,175","2,015","1,267",929,"1,015",278,654,"1,858","1,098","2,238","2,222",601,"25,878","1,835","1,848",625,"1,710",618,"2,222","1,128","1,287","2,438","1,586","2,829","2,388","1,629","1,413","2,322","23,111","1,853","2,934","2,742","3,486",806,"2,777","3,123","2,156","3,234"
