,인천광역시 계양구,인천광역시 계양구 효성1동,인천광역시 계양구 효성2동,인천광역시 계양구 계산1동,인천광역시 계양구 계산2동,인천광역시 계양구 계산3동,인천광역시 계양구 계산4동,인천광역시 계양구 작전1동,인천광역시 계양구 작전2동,인천광역시 계양구 작전서운동,인천광역시 계양구 계양1동,인천광역시 계양구 계양2동,인천광역시 계양구 계양3동
2020년06월_계_총인구수,"299,853","25,638","30,430","20,296","16,356","20,286","23,924","29,028","19,290","31,438","21,641","34,958","26,568"
2020년06월_계_연령구간인구수,"299,853","25,638","30,430","20,296","16,356","20,286","23,924","29,028","19,290","31,438","21,641","34,958","26,568"
2020년06월_계_0~9세,"19,533","1,409","2,071",878,673,"1,050","1,607","1,985",938,"2,256","1,609","1,964","3,093"
2020년06월_계_10~19세,"27,531","2,392","2,865","1,373","1,074","1,694","2,677","2,911","1,420","3,484","1,876","2,920","2,845"
2020년06월_계_20~29세,"45,044","3,714","4,394","3,118","2,609","3,536","4,124","4,364","2,897","4,843","3,094","5,360","2,991"
2020년06월_계_30~39세,"38,762","2,923","3,780","2,632","2,082","2,891","2,688","3,767","2,600","4,026","2,773","4,559","4,041"
2020년06월_계_40~49세,"46,915","3,761","4,600","2,892","2,183","2,838","4,087","4,553","2,616","5,382","3,310","5,448","5,245"
2020년06월_계_50~59세,"61,479","5,395","6,258","4,445","3,618","4,493","5,357","5,886","4,019","6,442","4,301","7,230","4,035"
2020년06월_계_60~69세,"37,054","3,657","4,055","3,031","2,582","2,534","2,187","3,511","2,939","2,969","2,730","4,187","2,672"
2020년06월_계_70~79세,"15,293","1,561","1,670","1,292","1,033",778,621,"1,349","1,254","1,261","1,266","2,089","1,119"
2020년06월_계_80~89세,"7,111",703,672,570,419,396,478,606,518,662,593,"1,035",459
2020년06월_계_90~99세,"1,065",109,61,59,79,72,96,92,81,105,87,157,67
2020년06월_계_100세 이상,66,14,4,6,4,4,2,4,8,8,2,9,1
2020년06월_남_총인구수,"149,655","12,929","15,386","10,608","8,132","9,790","12,032","14,339","9,644","15,664","10,696","17,345","13,090"
2020년06월_남_연령구간인구수,"149,655","12,929","15,386","10,608","8,132","9,790","12,032","14,339","9,644","15,664","10,696","17,345","13,090"
2020년06월_남_0~9세,"9,949",697,"1,060",472,336,545,792,"1,001",482,"1,136",834,991,"1,603"
2020년06월_남_10~19세,"14,217","1,287","1,477",718,553,883,"1,398","1,473",733,"1,760",974,"1,500","1,461"
2020년06월_남_20~29세,"23,499","1,963","2,349","1,661","1,348","1,823","2,106","2,332","1,479","2,577","1,550","2,827","1,484"
2020년06월_남_30~39세,"20,115","1,564","2,011","1,474","1,142","1,458","1,345","1,903","1,440","2,053","1,400","2,414","1,911"
2020년06월_남_40~49세,"23,305","1,874","2,309","1,562","1,101","1,284","1,962","2,197","1,328","2,594","1,662","2,712","2,720"
2020년06월_남_50~59세,"30,120","2,697","3,061","2,334","1,732","2,019","2,703","2,851","1,925","3,205","2,088","3,551","1,954"
2020년06월_남_60~69세,"19,082","1,863","2,083","1,594","1,297","1,331","1,302","1,783","1,474","1,577","1,392","2,138","1,248"
2020년06월_남_70~79세,"6,863",721,793,606,478,327,280,595,570,533,574,854,532
2020년06월_남_80~89세,"2,260",231,233,173,131,103,131,175,191,208,204,320,160
2020년06월_남_90~99세,230,30,10,12,14,15,13,28,19,19,17,36,17
2020년06월_남_100세 이상,15,2,0,2,0,2,0,1,3,2,1,2,0
2020년06월_여_총인구수,"150,198","12,709","15,044","9,688","8,224","10,496","11,892","14,689","9,646","15,774","10,945","17,613","13,478"
2020년06월_여_연령구간인구수,"150,198","12,709","15,044","9,688","8,224","10,496","11,892","14,689","9,646","15,774","10,945","17,613","13,478"
2020년06월_여_0~9세,"9,584",712,"1,011",406,337,505,815,984,456,"1,120",775,973,"1,490"
2020년06월_여_10~19세,"13,314","1,105","1,388",655,521,811,"1,279","1,438",687,"1,724",902,"1,420","1,384"
2020년06월_여_20~29세,"21,545","1,751","2,045","1,457","1,261","1,713","2,018","2,032","1,418","2,266","1,544","2,533","1,507"
2020년06월_여_30~39세,"18,647","1,359","1,769","1,158",940,"1,433","1,343","1,864","1,160","1,973","1,373","2,145","2,130"
2020년06월_여_40~49세,"23,610","1,887","2,291","1,330","1,082","1,554","2,125","2,356","1,288","2,788","1,648","2,736","2,525"
2020년06월_여_50~59세,"31,359","2,698","3,197","2,111","1,886","2,474","2,654","3,035","2,094","3,237","2,213","3,679","2,081"
2020년06월_여_60~69세,"17,972","1,794","1,972","1,437","1,285","1,203",885,"1,728","1,465","1,392","1,338","2,049","1,424"
2020년06월_여_70~79세,"8,430",840,877,686,555,451,341,754,684,728,692,"1,235",587
2020년06월_여_80~89세,"4,851",472,439,397,288,293,347,431,327,454,389,715,299
2020년06월_여_90~99세,835,79,51,47,65,57,83,64,62,86,70,121,50
2020년06월_여_100세 이상,51,12,4,4,4,2,2,3,5,6,1,7,1
