,경기도 구리시,경기도 구리시 갈매동,경기도 구리시 동구동,경기도 구리시 인창동,경기도 구리시 교문1동,경기도 구리시 교문2동,경기도 구리시 수택1동,경기도 구리시 수택2동,경기도 구리시 수택3동
2020년04월_계_총인구수,"199,018","31,560","38,711","23,215","16,415","22,497","18,975","25,546","22,099"
2020년04월_계_연령구간인구수,"199,018","31,560","38,711","23,215","16,415","22,497","18,975","25,546","22,099"
2020년04월_계_0~9세,"15,900","4,745","2,957","1,763",795,"1,706",838,"1,402","1,694"
2020년04월_계_10~19세,"18,780","2,210","4,238","2,375","1,148","2,843","1,429","2,154","2,383"
2020년04월_계_20~29세,"27,529","3,395","5,677","3,327","2,224","3,092","2,963","3,845","3,006"
2020년04월_계_30~39세,"27,312","6,485","4,820","2,935","2,083","2,597","2,275","3,236","2,881"
2020년04월_계_40~49세,"33,306","5,450","6,609","3,965","2,511","4,004","2,783","3,803","4,181"
2020년04월_계_50~59세,"35,924","4,237","7,318","4,270","3,283","3,947","3,935","5,037","3,897"
2020년04월_계_60~69세,"23,287","3,149","4,001","2,523","2,456","2,522","2,801","3,557","2,278"
2020년04월_계_70~79세,"11,557","1,400","2,017","1,391","1,283","1,197","1,359","1,706","1,204"
2020년04월_계_80~89세,"4,687",408,943,584,529,523,508,696,496
2020년04월_계_90~99세,659,77,125,75,78,61,75,97,71
2020년04월_계_100세 이상,77,4,6,7,25,5,9,13,8
2020년04월_남_총인구수,"98,816","15,684","19,096","11,429","8,341","10,927","9,444","12,772","11,123"
2020년04월_남_연령구간인구수,"98,816","15,684","19,096","11,429","8,341","10,927","9,444","12,772","11,123"
2020년04월_남_0~9세,"8,215","2,480","1,567",904,409,848,441,701,865
2020년04월_남_10~19세,"9,712","1,092","2,235","1,239",554,"1,446",749,"1,146","1,251"
2020년04월_남_20~29세,"14,057","1,682","2,907","1,665","1,147","1,599","1,473","2,001","1,583"
2020년04월_남_30~39세,"13,839","3,170","2,410","1,459","1,151","1,247","1,232","1,719","1,451"
2020년04월_남_40~49세,"16,566","2,878","3,139","1,931","1,351","1,857","1,391","1,961","2,058"
2020년04월_남_50~59세,"17,683","2,008","3,561","2,106","1,668","1,917","1,964","2,467","1,992"
2020년04월_남_60~69세,"11,677","1,540","2,035","1,258","1,236","1,251","1,424","1,753","1,180"
2020년04월_남_70~79세,"5,161",693,849,622,592,540,577,756,532
2020년04월_남_80~89세,"1,713",124,356,214,199,208,174,246,192
2020년04월_남_90~99세,169,16,35,28,23,14,17,18,18
2020년04월_남_100세 이상,24,1,2,3,11,0,2,4,1
2020년04월_여_총인구수,"100,202","15,876","19,615","11,786","8,074","11,570","9,531","12,774","10,976"
2020년04월_여_연령구간인구수,"100,202","15,876","19,615","11,786","8,074","11,570","9,531","12,774","10,976"
2020년04월_여_0~9세,"7,685","2,265","1,390",859,386,858,397,701,829
2020년04월_여_10~19세,"9,068","1,118","2,003","1,136",594,"1,397",680,"1,008","1,132"
2020년04월_여_20~29세,"13,472","1,713","2,770","1,662","1,077","1,493","1,490","1,844","1,423"
2020년04월_여_30~39세,"13,473","3,315","2,410","1,476",932,"1,350","1,043","1,517","1,430"
2020년04월_여_40~49세,"16,740","2,572","3,470","2,034","1,160","2,147","1,392","1,842","2,123"
2020년04월_여_50~59세,"18,241","2,229","3,757","2,164","1,615","2,030","1,971","2,570","1,905"
2020년04월_여_60~69세,"11,610","1,609","1,966","1,265","1,220","1,271","1,377","1,804","1,098"
2020년04월_여_70~79세,"6,396",707,"1,168",769,691,657,782,950,672
2020년04월_여_80~89세,"2,974",284,587,370,330,315,334,450,304
2020년04월_여_90~99세,490,61,90,47,55,47,58,79,53
2020년04월_여_100세 이상,53,3,4,4,14,5,7,9,7
