,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2020년12월_계_총인구수,"558,631","24,153","14,714","8,575","27,706","14,018","17,625","31,760","29,482","23,698","16,717","31,942","22,109","43,862","16,489","76,898","39,385","20,272","11,472","36,436","19,777","18,476","13,065"
2020년12월_계_연령구간인구수,"558,631","24,153","14,714","8,575","27,706","14,018","17,625","31,760","29,482","23,698","16,717","31,942","22,109","43,862","16,489","76,898","39,385","20,272","11,472","36,436","19,777","18,476","13,065"
2020년12월_계_0~9세,"40,273","1,681",595,389,"2,114",643,"1,348","2,069","1,837","1,337",878,"1,425","2,208","5,138",612,"8,935","3,000","1,135",371,"2,305",854,754,645
2020년12월_계_10~19세,"55,240","2,025",730,568,"2,310",978,"1,666","3,567","2,972","2,519","1,384","2,442","2,198","8,311","1,155","8,384","4,843","1,470",600,"3,601","1,307","1,243",967
2020년12월_계_20~29세,"79,273","2,945","2,371","1,293","4,274","2,343","2,517","5,074","4,735","4,151","2,564","6,783","2,648","4,248","1,787","9,207","5,340","3,540","1,241","5,099","2,929","2,497","1,687"
2020년12월_계_30~39세,"66,579","2,838","1,885",954,"3,767","1,742","2,267","3,376","3,353","2,544","2,128","3,663","3,166","4,599","1,308","11,418","4,092","2,856","1,085","3,857","2,285","1,927","1,469"
2020년12월_계_40~49세,"89,441","3,607","1,835","1,142","4,129","1,968","2,779","5,269","4,619","3,755","2,373","4,572","4,033","10,759","2,295","13,670","6,439","2,633","1,245","5,245","2,718","2,413","1,943"
2020년12월_계_50~59세,"103,664","4,246","2,582","1,525","5,194","2,820","3,378","6,683","6,538","5,281","3,526","6,459","3,799","5,972","3,089","11,940","7,308","3,844","2,259","7,352","3,833","3,442","2,594"
2020년12월_계_60~69세,"73,333","3,837","2,515","1,382","3,703","2,163","2,244","3,536","3,372","2,502","2,582","3,740","2,578","2,907","3,125","8,089","5,088","2,954","2,608","5,582","3,281","3,392","2,153"
2020년12월_계_70~79세,"34,305","2,061","1,515",876,"1,589",944,"1,017","1,512","1,382","1,071",894,"1,869","1,041","1,302","2,065","3,608","2,131","1,235","1,351","2,222","1,741","1,825","1,054"
2020년12월_계_80~89세,"14,706",817,619,404,553,375,364,617,606,487,347,885,389,546,952,"1,454","1,004",530,625,"1,048",744,857,483
2020년12월_계_90~99세,"1,726",86,61,37,71,40,42,55,66,50,41,103,44,72,95,176,135,72,86,124,82,118,70
2020년12월_계_100세 이상,91,10,6,5,2,2,3,2,2,1,0,1,5,8,6,17,5,3,1,1,3,8,0
2020년12월_남_총인구수,"275,626","11,763","7,135","4,170","13,537","6,930","8,702","15,945","14,846","11,933","8,449","16,400","10,963","21,502","7,908","37,793","19,252","10,071","5,519","17,704","9,760","8,871","6,473"
2020년12월_남_연령구간인구수,"275,626","11,763","7,135","4,170","13,537","6,930","8,702","15,945","14,846","11,933","8,449","16,400","10,963","21,502","7,908","37,793","19,252","10,071","5,519","17,704","9,760","8,871","6,473"
2020년12월_남_0~9세,"20,617",825,299,207,"1,050",315,703,"1,082",969,691,456,750,"1,096","2,612",341,"4,578","1,508",592,188,"1,197",450,379,329
2020년12월_남_10~19세,"28,661",945,376,294,"1,191",524,869,"1,901","1,569","1,285",724,"1,240","1,055","4,218",596,"4,400","2,667",791,331,"1,860",688,623,514
2020년12월_남_20~29세,"42,226","1,513","1,099",656,"2,129","1,209","1,319","2,704","2,586","2,281","1,393","3,674","1,432","2,322",998,"4,868","2,920","1,872",708,"2,751","1,525","1,323",944
2020년12월_남_30~39세,"34,639","1,446",987,490,"1,938",995,"1,174","1,763","1,803","1,363","1,193","2,154","1,606","2,052",712,"5,557","2,031","1,614",618,"2,009","1,249","1,066",819
2020년12월_남_40~49세,"43,315","1,865","1,007",601,"2,024",967,"1,341","2,423","2,161","1,732","1,164","2,360","2,015","4,926","1,186","6,684","2,868","1,288",650,"2,418","1,402","1,226","1,007"
2020년12월_남_50~59세,"50,159","2,127","1,297",731,"2,468","1,324","1,607","3,360","3,176","2,620","1,646","3,281","1,866","3,241","1,541","5,650","3,414","1,756","1,025","3,348","1,832","1,602","1,247"
2020년12월_남_60~69세,"35,359","1,810","1,178",649,"1,767","1,039","1,095","1,759","1,743","1,311","1,327","1,866","1,235","1,353","1,433","3,867","2,497","1,425","1,205","2,734","1,517","1,540","1,009"
2020년12월_남_70~79세,"15,272",933,656,375,749,413,459,717,604,477,408,796,505,574,793,"1,642",960,554,611,"1,006",815,777,448
2020년12월_남_80~89세,"4,989",286,226,156,205,131,125,226,218,164,126,260,143,186,284,498,359,165,164,354,269,308,136
2020년12월_남_90~99세,370,12,9,11,14,12,9,10,17,9,12,19,7,17,23,43,28,14,19,27,13,25,20
2020년12월_남_100세 이상,19,1,1,0,2,1,1,0,0,0,0,0,3,1,1,6,0,0,0,0,0,2,0
2020년12월_여_총인구수,"283,005","12,390","7,579","4,405","14,169","7,088","8,923","15,815","14,636","11,765","8,268","15,542","11,146","22,360","8,581","39,105","20,133","10,201","5,953","18,732","10,017","9,605","6,592"
2020년12월_여_연령구간인구수,"283,005","12,390","7,579","4,405","14,169","7,088","8,923","15,815","14,636","11,765","8,268","15,542","11,146","22,360","8,581","39,105","20,133","10,201","5,953","18,732","10,017","9,605","6,592"
2020년12월_여_0~9세,"19,656",856,296,182,"1,064",328,645,987,868,646,422,675,"1,112","2,526",271,"4,357","1,492",543,183,"1,108",404,375,316
2020년12월_여_10~19세,"26,579","1,080",354,274,"1,119",454,797,"1,666","1,403","1,234",660,"1,202","1,143","4,093",559,"3,984","2,176",679,269,"1,741",619,620,453
2020년12월_여_20~29세,"37,047","1,432","1,272",637,"2,145","1,134","1,198","2,370","2,149","1,870","1,171","3,109","1,216","1,926",789,"4,339","2,420","1,668",533,"2,348","1,404","1,174",743
2020년12월_여_30~39세,"31,940","1,392",898,464,"1,829",747,"1,093","1,613","1,550","1,181",935,"1,509","1,560","2,547",596,"5,861","2,061","1,242",467,"1,848","1,036",861,650
2020년12월_여_40~49세,"46,126","1,742",828,541,"2,105","1,001","1,438","2,846","2,458","2,023","1,209","2,212","2,018","5,833","1,109","6,986","3,571","1,345",595,"2,827","1,316","1,187",936
2020년12월_여_50~59세,"53,505","2,119","1,285",794,"2,726","1,496","1,771","3,323","3,362","2,661","1,880","3,178","1,933","2,731","1,548","6,290","3,894","2,088","1,234","4,004","2,001","1,840","1,347"
2020년12월_여_60~69세,"37,974","2,027","1,337",733,"1,936","1,124","1,149","1,777","1,629","1,191","1,255","1,874","1,343","1,554","1,692","4,222","2,591","1,529","1,403","2,848","1,764","1,852","1,144"
2020년12월_여_70~79세,"19,033","1,128",859,501,840,531,558,795,778,594,486,"1,073",536,728,"1,272","1,966","1,171",681,740,"1,216",926,"1,048",606
2020년12월_여_80~89세,"9,717",531,393,248,348,244,239,391,388,323,221,625,246,360,668,956,645,365,461,694,475,549,347
2020년12월_여_90~99세,"1,356",74,52,26,57,28,33,45,49,41,29,84,37,55,72,133,107,58,67,97,69,93,50
2020년12월_여_100세 이상,72,9,5,5,0,1,2,2,2,1,0,1,2,7,5,11,5,3,1,1,3,6,0
