카테고리,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동
2020년05월_계_총인구수,"432,731","5,030","6,990","5,021","3,331","8,171","11,536","38,443","19,731","12,690","14,353","23,573","10,966","6,123","19,198","16,719","16,496","8,121","16,830","14,135","14,593","30,926","14,378","11,738","12,957","2,708","52,434","35,540"
2020년05월_계_연령구간인구수,"432,731","5,030","6,990","5,021","3,331","8,171","11,536","38,443","19,731","12,690","14,353","23,573","10,966","6,123","19,198","16,719","16,496","8,121","16,830","14,135","14,593","30,926","14,378","11,738","12,957","2,708","52,434","35,540"
2020년05월_계_0~9세,"34,511",220,294,278,92,606,428,"2,731","1,834",619,971,"2,319",441,557,"1,493","1,175","1,226",353,"1,013",515,"1,110","2,541","1,270",695,544,80,"7,555","3,551"
2020년05월_계_10~19세,"44,145",187,488,326,130,579,733,"3,899","2,319",990,"1,555","2,386",713,543,"1,555","2,024","1,595",697,"1,488",901,"1,736","4,854","1,795","1,137",885,143,"6,429","4,058"
2020년05월_계_20~29세,"62,857","1,010","1,353",888,510,945,"2,126","7,104","2,627","1,831","2,175","3,104","1,408",752,"2,441","2,525","2,601","1,128","2,398","1,722","2,399","4,832","2,059","1,914","2,016",260,"5,853","4,876"
2020년05월_계_30~39세,"56,609",960,790,723,419,"1,204","1,660","4,738","2,431","1,439","1,708","3,692","1,032",859,"2,699","1,743","2,112",846,"1,941","1,366","1,792","3,051","1,762","1,340","1,471",227,"9,222","5,382"
2020년05월_계_40~49세,"68,416",620,928,721,424,"1,182","1,569","5,704","3,143","1,765","2,066","3,835","1,358",970,"2,733","2,579","2,529","1,086","2,307","1,735","2,491","6,023","2,386","1,771","1,661",261,"10,298","6,271"
2020년05월_계_50~59세,"72,688",714,"1,019",739,587,"1,288","1,893","6,749","3,172","2,241","2,631","3,814","1,924",944,"3,254","3,127","2,687","1,420","3,060","2,757","2,678","5,583","2,488","2,293","2,589",570,"6,890","5,577"
2020년05월_계_60~69세,"51,266",677,"1,008",659,580,"1,180","1,576","4,280","2,563","2,035","1,926","2,592","2,069",751,"2,656","2,070","1,983","1,316","2,571","2,664","1,399","2,176","1,475","1,491","2,074",544,"3,609","3,342"
2020년05월_계_70~79세,"28,736",438,737,485,385,872,"1,061","2,283","1,186","1,243",869,"1,300","1,369",516,"1,609",999,"1,196",901,"1,447","1,613",688,"1,165",736,772,"1,105",384,"1,695","1,682"
2020년05월_계_80~89세,"11,727",176,329,182,162,265,428,846,388,468,385,451,558,197,659,415,499,323,533,765,257,614,352,278,540,200,756,701
2020년05월_계_90~99세,"1,657",22,40,15,38,45,56,103,64,56,62,77,82,32,90,58,67,48,69,93,43,84,51,40,70,36,119,97
2020년05월_계_100세 이상,119,6,4,5,4,5,6,6,4,3,5,3,12,2,9,4,1,3,3,4,0,3,4,7,2,3,8,3
2020년05월_남_총인구수,"214,894","2,589","3,569","2,634","1,784","4,031","6,058","19,167","9,505","6,412","6,936","11,660","5,345","3,041","9,422","8,181","7,840","4,059","8,350","6,812","7,517","15,147","7,064","5,943","6,362","1,409","26,199","17,858"
2020년05월_남_연령구간인구수,"214,894","2,589","3,569","2,634","1,784","4,031","6,058","19,167","9,505","6,412","6,936","11,660","5,345","3,041","9,422","8,181","7,840","4,059","8,350","6,812","7,517","15,147","7,064","5,943","6,362","1,409","26,199","17,858"
2020년05월_남_0~9세,"17,606",103,151,141,49,314,218,"1,402",930,285,485,"1,204",226,281,731,579,612,196,499,260,589,"1,328",648,337,259,38,"3,892","1,849"
2020년05월_남_10~19세,"23,371",102,246,184,66,306,378,"2,079","1,187",516,841,"1,282",386,277,851,"1,053",828,358,781,473,985,"2,636",984,608,487,87,"3,332","2,058"
