카테고리,충청북도 음성군,충청북도 음성군 음성읍,충청북도 음성군 금왕읍,충청북도 음성군 소이면,충청북도 음성군 원남면,충청북도 음성군 맹동면,충청북도 음성군 대소면,충청북도 음성군 삼성면,충청북도 음성군 생극면,충청북도 음성군 감곡면
2021년04월_계_총인구수,"92,349","16,778","19,721","2,879","3,018","13,042","15,660","6,865","4,484","9,902"
2021년04월_계_연령구간인구수,"92,349","16,778","19,721","2,879","3,018","13,042","15,660","6,865","4,484","9,902"
2021년04월_계_0~9세,"5,701",872,"1,237",49,60,"1,541","1,055",230,162,495
2021년04월_계_10~19세,"7,494","1,356","1,956",117,130,"1,038","1,528",413,227,729
2021년04월_계_20~29세,"9,298","1,695","2,195",149,165,"1,369","1,792",613,331,989
2021년04월_계_30~39세,"9,350","1,460","1,922",165,166,"2,331","1,658",535,301,812
2021년04월_계_40~49세,"13,501","2,272","3,247",208,214,"2,209","2,796",845,456,"1,254"
2021년04월_계_50~59세,"17,473","3,148","3,909",518,519,"1,820","3,240","1,517",895,"1,907"
2021년04월_계_60~69세,"15,848","3,199","2,916",725,826,"1,556","2,104","1,475","1,066","1,981"
2021년04월_계_70~79세,"8,181","1,721","1,424",529,519,718,898,734,591,"1,047"
2021년04월_계_80~89세,"4,749",919,802,362,353,385,518,439,382,589
2021년04월_계_90~99세,733,133,108,55,64,75,71,60,70,97
2021년04월_계_100세 이상,21,3,5,2,2,0,0,4,3,2
2021년04월_남_총인구수,"48,943","8,586","10,551","1,477","1,575","6,944","8,535","3,815","2,423","5,037"
2021년04월_남_연령구간인구수,"48,943","8,586","10,551","1,477","1,575","6,944","8,535","3,815","2,423","5,037"
2021년04월_남_0~9세,"2,981",454,650,26,27,820,546,135,84,239
2021년04월_남_10~19세,"3,900",688,"1,056",64,82,522,801,218,116,353
2021년04월_남_20~29세,"5,416",968,"1,322",88,98,719,"1,076",382,215,548
2021년04월_남_30~39세,"5,247",803,"1,077",108,93,"1,246",960,331,186,443
2021년04월_남_40~49세,"7,568","1,235","1,770",136,146,"1,227","1,537",536,285,696
2021년04월_남_50~59세,"9,720","1,660","2,214",285,279,"1,003","1,858",880,523,"1,018"
2021년04월_남_60~69세,"8,429","1,642","1,516",382,462,884,"1,148",822,564,"1,009"
2021년04월_남_70~79세,"3,872",791,631,242,261,355,424,360,298,510
2021년04월_남_80~89세,"1,628",309,282,135,113,149,165,138,138,199
2021년04월_남_90~99세,176,35,32,11,14,19,20,11,13,21
2021년04월_남_100세 이상,6,1,1,0,0,0,0,2,1,1
2021년04월_여_총인구수,"43,406","8,192","9,170","1,402","1,443","6,098","7,125","3,050","2,061","4,865"
2021년04월_여_연령구간인구수,"43,406","8,192","9,170","1,402","1,443","6,098","7,125","3,050","2,061","4,865"
2021년04월_여_0~9세,"2,720",418,587,23,33,721,509,95,78,256
2021년04월_여_10~19세,"3,594",668,900,53,48,516,727,195,111,376
2021년04월_여_20~29세,"3,882",727,873,61,67,650,716,231,116,441
2021년04월_여_30~39세,"4,103",657,845,57,73,"1,085",698,204,115,369
2021년04월_여_40~49세,"5,933","1,037","1,477",72,68,982,"1,259",309,171,558
2021년04월_여_50~59세,"7,753","1,488","1,695",233,240,817,"1,382",637,372,889
2021년04월_여_60~69세,"7,419","1,557","1,400",343,364,672,956,653,502,972
2021년04월_여_70~79세,"4,309",930,793,287,258,363,474,374,293,537
2021년04월_여_80~89세,"3,121",610,520,227,240,236,353,301,244,390
2021년04월_여_90~99세,557,98,76,44,50,56,51,49,57,76
2021년04월_여_100세 이상,15,2,4,2,2,0,0,2,2,1
