,경상북도 영덕군,경상북도 영덕군 영덕읍,경상북도 영덕군 강구면,경상북도 영덕군 남정면,경상북도 영덕군 달산면,경상북도 영덕군 지품면,경상북도 영덕군 지품면원전출장소,경상북도 영덕군 축산면,경상북도 영덕군 축산면축산출장소,경상북도 영덕군 영해면,경상북도 영덕군 병곡면,경상북도 영덕군 창수면
2020년09월_계_총인구수,"36,592","11,146","6,291","2,389","1,136","1,486",536,945,"1,746","6,437","2,789","1,691"
2020년09월_계_연령구간인구수,"36,592","11,146","6,291","2,389","1,136","1,486",536,945,"1,746","6,437","2,789","1,691"
2020년09월_계_0~9세,"1,735",835,242,53,17,37,7,34,40,362,84,24
2020년09월_계_10~19세,"2,132",950,292,67,43,37,18,34,75,447,120,49
2020년09월_계_20~29세,"2,476",952,454,133,52,76,16,51,92,480,117,53
2020년09월_계_30~39세,"2,482","1,068",397,113,49,57,12,36,81,473,134,62
2020년09월_계_40~49세,"3,975","1,604",710,190,68,109,31,86,169,698,203,107
2020년09월_계_50~59세,"6,229","1,871","1,142",409,180,278,76,146,306,"1,111",445,265
2020년09월_계_60~69세,"7,334","1,799","1,375",553,271,362,146,194,415,"1,197",616,406
2020년09월_계_70~79세,"5,965","1,244","1,082",483,249,306,141,200,365,938,560,397
2020년09월_계_80~89세,"3,716",699,527,334,178,197,80,145,185,633,453,285
2020년09월_계_90~99세,520,115,68,53,27,26,9,17,18,96,55,36
2020년09월_계_100세 이상,28,9,2,1,2,1,0,2,0,2,2,7
2020년09월_남_총인구수,"17,335","5,339","2,966","1,156",505,734,252,449,824,"2,976","1,305",829
2020년09월_남_연령구간인구수,"17,335","5,339","2,966","1,156",505,734,252,449,824,"2,976","1,305",829
2020년09월_남_0~9세,859,403,128,28,10,21,3,20,26,166,43,11
2020년09월_남_10~19세,"1,103",476,164,40,22,21,9,19,42,230,56,24
2020년09월_남_20~29세,"1,435",552,260,83,29,47,10,29,49,275,70,31
2020년09월_남_30~39세,"1,271",515,214,63,28,30,8,17,46,235,76,39
2020년09월_남_40~49세,"2,216",821,401,123,34,74,24,53,99,372,142,73
2020년09월_남_50~59세,"3,298","1,001",584,233,99,155,43,86,157,555,243,142
2020년09월_남_60~69세,"3,503",838,639,287,140,184,67,90,197,553,295,213
2020년09월_남_70~79세,"2,377",494,408,186,89,126,57,86,145,382,227,177
2020년09월_남_80~89세,"1,171",214,160,103,50,67,30,43,56,198,141,109
2020년09월_남_90~99세,95,22,7,10,4,9,1,5,7,10,12,8
2020년09월_남_100세 이상,7,3,1,0,0,0,0,1,0,0,0,2
2020년09월_여_총인구수,"19,257","5,807","3,325","1,233",631,752,284,496,922,"3,461","1,484",862
2020년09월_여_연령구간인구수,"19,257","5,807","3,325","1,233",631,752,284,496,922,"3,461","1,484",862
2020년09월_여_0~9세,876,432,114,25,7,16,4,14,14,196,41,13
2020년09월_여_10~19세,"1,029",474,128,27,21,16,9,15,33,217,64,25
2020년09월_여_20~29세,"1,041",400,194,50,23,29,6,22,43,205,47,22
2020년09월_여_30~39세,"1,211",553,183,50,21,27,4,19,35,238,58,23
2020년09월_여_40~49세,"1,759",783,309,67,34,35,7,33,70,326,61,34
2020년09월_여_50~59세,"2,931",870,558,176,81,123,33,60,149,556,202,123
2020년09월_여_60~69세,"3,831",961,736,266,131,178,79,104,218,644,321,193
2020년09월_여_70~79세,"3,588",750,674,297,160,180,84,114,220,556,333,220
2020년09월_여_80~89세,"2,545",485,367,231,128,130,50,102,129,435,312,176
2020년09월_여_90~99세,425,93,61,43,23,17,8,12,11,86,43,28
2020년09월_여_100세 이상,21,6,1,1,2,1,0,1,0,2,2,5
