,경상남도 사천시,경상남도 사천시 사천읍,경상남도 사천시 정동면,경상남도 사천시 사남면,경상남도 사천시 용현면,경상남도 사천시 축동면,경상남도 사천시 곤양면,경상남도 사천시 곤명면,경상남도 사천시 서포면,경상남도 사천시 동서동,경상남도 사천시 선구동,경상남도 사천시 동서금동,경상남도 사천시 벌용동,경상남도 사천시 향촌동,경상남도 사천시 남양동,경상남도 사천시 신수출장소
2020년10월_계_총인구수,"111,313","18,129","12,702","15,566","7,610","1,633","3,482","2,866","3,552","6,244","5,237","6,382","15,470","6,815","5,353",272
2020년10월_계_연령구간인구수,"111,313","18,129","12,702","15,566","7,610","1,633","3,482","2,866","3,552","6,244","5,237","6,382","15,470","6,815","5,353",272
2020년10월_계_0~9세,"8,280","1,431","1,375","1,948",653,45,100,77,71,171,233,447,"1,066",350,310,3
2020년10월_계_10~19세,"10,326","1,892","1,496","2,025",629,51,148,91,140,314,324,486,"1,670",628,424,8
2020년10월_계_20~29세,"10,811","2,315","1,372","1,562",525,119,282,159,263,415,492,556,"1,618",674,450,9
2020년10월_계_30~39세,"12,065","2,374","1,784","2,415",877,99,192,135,166,454,464,687,"1,404",551,448,15
2020년10월_계_40~49세,"17,817","3,220","2,355","3,059","1,221",170,350,269,330,732,695,958,"2,527","1,164",734,33
2020년10월_계_50~59세,"18,469","3,063","1,886","1,871","1,220",289,619,543,699,"1,098",985,"1,096","2,889","1,274",890,47
2020년10월_계_60~69세,"16,351","1,974","1,209","1,315","1,216",397,748,674,782,"1,454","1,020","1,085","2,276","1,124","1,013",64
2020년10월_계_70~79세,"10,665","1,126",741,831,770,245,609,512,630,"1,080",666,739,"1,333",662,654,67
2020년10월_계_80~89세,"5,712",635,416,476,427,196,387,356,406,457,319,292,628,328,363,26
2020년10월_계_90~99세,786,91,67,63,71,22,44,47,63,67,39,30,58,59,65,0
2020년10월_계_100세 이상,31,8,1,1,1,0,3,3,2,2,0,6,1,1,2,0
2020년10월_남_총인구수,"56,105","9,404","6,387","8,109","3,795",863,"1,777","1,414","1,751","3,045","2,607","3,129","7,539","3,512","2,632",141
2020년10월_남_연령구간인구수,"56,105","9,404","6,387","8,109","3,795",863,"1,777","1,414","1,751","3,045","2,607","3,129","7,539","3,512","2,632",141
2020년10월_남_0~9세,"4,329",754,706,"1,055",308,26,60,44,37,95,119,226,556,170,171,2
2020년10월_남_10~19세,"5,313",922,790,"1,019",337,28,82,54,72,161,180,266,862,323,212,5
2020년10월_남_20~29세,"6,440","1,349",783,976,303,70,178,98,163,254,314,318,929,424,274,7
2020년10월_남_30~39세,"6,455","1,335",912,"1,255",454,63,108,72,97,281,255,361,709,309,235,9
2020년10월_남_40~49세,"9,495","1,730","1,180","1,633",677,106,213,174,214,422,388,517,"1,210",614,391,26
2020년10월_남_50~59세,"9,747","1,629",989,"1,047",633,179,349,311,396,568,497,543,"1,440",696,442,28
2020년10월_남_60~69세,"7,877",991,593,622,589,211,377,329,372,664,474,478,"1,084",569,494,30
2020년10월_남_70~79세,"4,555",476,295,357,343,112,274,217,280,446,276,318,546,293,294,28
2020년10월_남_80~89세,"1,760",200,126,136,138,62,123,106,114,147,97,95,196,105,109,6
2020년10월_남_90~99세,125,17,13,9,13,6,12,7,5,7,7,5,7,8,9,0
2020년10월_남_100세 이상,9,1,0,0,0,0,1,2,1,0,0,2,0,1,1,0
2020년10월_여_총인구수,"55,208","8,725","6,315","7,457","3,815",770,"1,705","1,452","1,801","3,199","2,630","3,253","7,931","3,303","2,721",131
2020년10월_여_연령구간인구수,"55,208","8,725","6,315","7,457","3,815",770,"1,705","1,452","1,801","3,199","2,630","3,253","7,931","3,303","2,721",131
2020년10월_여_0~9세,"3,951",677,669,893,345,19,40,33,34,76,114,221,510,180,139,1
2020년10월_여_10~19세,"5,013",970,706,"1,006",292,23,66,37,68,153,144,220,808,305,212,3
2020년10월_여_20~29세,"4,371",966,589,586,222,49,104,61,100,161,178,238,689,250,176,2
2020년10월_여_30~39세,"5,610","1,039",872,"1,160",423,36,84,63,69,173,209,326,695,242,213,6
2020년10월_여_40~49세,"8,322","1,490","1,175","1,426",544,64,137,95,116,310,307,441,"1,317",550,343,7
2020년10월_여_50~59세,"8,722","1,434",897,824,587,110,270,232,303,530,488,553,"1,449",578,448,19
2020년10월_여_60~69세,"8,474",983,616,693,627,186,371,345,410,790,546,607,"1,192",555,519,34
2020년10월_여_70~79세,"6,110",650,446,474,427,133,335,295,350,634,390,421,787,369,360,39
2020년10월_여_80~89세,"3,952",435,290,340,289,134,264,250,292,310,222,197,432,223,254,20
2020년10월_여_90~99세,661,74,54,54,58,16,32,40,58,60,32,25,51,51,56,0
2020년10월_여_100세 이상,22,7,1,1,1,0,2,1,1,2,0,4,1,0,1,0
