,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2020년04월_계_총인구수,"140,418","7,193","3,003","3,165","2,503","3,364","4,153","3,221","3,520","1,961","2,274","2,860","1,606","1,297","2,163","1,064","6,900","7,862","4,037","24,749","20,527","10,914","22,082"
2020년04월_계_연령구간인구수,"140,418","7,193","3,003","3,165","2,503","3,364","4,153","3,221","3,520","1,961","2,274","2,860","1,606","1,297","2,163","1,064","6,900","7,862","4,037","24,749","20,527","10,914","22,082"
2020년04월_계_0~9세,"10,750",399,101,80,64,82,155,101,101,56,65,49,35,29,58,14,244,245,153,"2,210","1,472",917,"4,120"
2020년04월_계_10~19세,"11,991",439,140,152,110,113,212,148,192,88,104,101,59,47,128,40,393,455,249,"3,020","2,187","1,135","2,479"
2020년04월_계_20~29세,"14,853",589,248,258,214,201,324,275,324,147,150,187,100,74,129,46,663,853,345,"3,551","2,466","1,355","2,354"
2020년04월_계_30~39세,"15,609",615,214,195,146,190,231,209,226,124,126,129,74,50,121,32,588,742,276,"2,868","2,174","1,322","4,957"
2020년04월_계_40~49세,"19,493",859,314,310,220,265,434,292,328,190,211,216,121,119,172,94,863,892,427,"4,082","3,050","1,858","4,176"
2020년04월_계_50~59세,"24,028","1,463",547,622,485,600,777,661,752,384,444,542,275,233,394,242,"1,177","1,415",702,"4,188","3,768","1,915","2,442"
2020년04월_계_60~69세,"21,175","1,376",645,679,582,778,874,714,767,410,517,664,354,302,459,265,"1,490","1,590",838,"2,600","2,899","1,376",996
2020년04월_계_70~79세,"13,403",825,441,478,404,601,670,508,470,294,347,520,318,244,377,154,"1,007","1,056",673,"1,366","1,595",694,361
2020년04월_계_80~89세,"7,953",541,312,328,241,466,402,275,305,234,270,384,232,175,293,157,423,537,336,765,809,298,170
2020년04월_계_90~99세,"1,114",86,41,58,36,67,71,36,51,33,39,67,34,23,30,19,52,73,35,92,104,42,25
2020년04월_계_100세 이상,49,1,0,5,1,1,3,2,4,1,1,1,4,1,2,1,0,4,3,7,3,2,2
2020년04월_남_총인구수,"70,365","3,620","1,559","1,620","1,265","1,673","2,099","1,642","1,790","1,011","1,128","1,419",801,650,"1,071",517,"3,497","3,873","1,955","12,265","10,184","5,558","11,168"
