카테고리,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2020년01월_계_총인구수,"437,189","4,183","23,585","4,325","19,769","20,884","9,877","11,519","8,964","8,744","18,775","7,302","27,998","7,137","29,009","37,813","22,502","25,270","37,301","17,583","27,408","29,639","13,081","24,521"
2020년01월_계_연령구간인구수,"437,189","4,183","23,585","4,325","19,769","20,884","9,877","11,519","8,964","8,744","18,775","7,302","27,998","7,137","29,009","37,813","22,502","25,270","37,301","17,583","27,408","29,639","13,081","24,521"
2020년01월_계_0~9세,"35,242",151,"2,528",181,"2,434","1,906",281,648,316,332,"1,373",205,"2,210",394,"2,675","4,723","1,524","1,772","2,955","1,077","1,849","2,539",733,"2,436"
2020년01월_계_10~19세,"45,211",249,"2,097",249,"2,256","2,429",536,"1,018",509,524,"1,220",406,"3,083",491,"3,570","3,189","1,848","2,690","5,463","1,792","2,715","4,833",706,"3,338"
2020년01월_계_20~29세,"60,310",490,"2,716",514,"2,198","2,482","1,123","1,753","2,263","1,273","2,654","1,984","4,066",832,"3,037","4,170","3,744","3,706","5,373","2,513","4,375","4,126","1,543","3,375"
2020년01월_계_30~39세,"54,833",402,"3,866",452,"3,050","2,539",809,"1,213","1,111","1,033","2,426",974,"3,462",898,"3,508","6,895","2,743","2,938","3,757","1,759","3,202","2,999","1,759","3,038"
2020년01월_계_40~49세,"73,973",531,"3,989",519,"3,726","3,650","1,238","1,625","1,126","1,108","2,731",860,"4,599",961,"5,954","6,377","3,365","4,155","7,371","2,755","4,115","6,485","1,795","4,938"
2020년01월_계_50~59세,"77,128",812,"3,372",961,"2,754","3,502","2,004","2,373","1,334","1,663","3,060","1,208","5,062","1,329","4,617","5,982","4,253","4,754","7,093","3,586","5,533","5,168","2,615","4,093"
2020년01월_계_60~69세,"50,316",790,"2,558",852,"1,842","2,295","2,025","1,629","1,186","1,529","2,690",961,"3,296","1,247","3,267","3,952","2,827","3,033","2,982","2,402","3,210","1,779","2,253","1,711"
2020년01월_계_70~79세,"27,429",503,"1,602",424,"1,043","1,425","1,264",878,753,912,"1,751",487,"1,472",674,"1,747","1,814","1,444","1,586","1,532","1,115","1,561","1,122","1,262","1,058"
2020년01월_계_80~89세,"11,417",212,752,142,414,598,558,338,329,338,747,201,654,287,578,638,672,564,692,536,766,555,370,476
2020년01월_계_90~99세,"1,247",38,93,29,50,54,34,44,33,32,109,15,87,23,55,69,78,71,83,46,78,32,38,56
2020년01월_계_100세 이상,83,5,12,2,2,4,5,0,4,0,14,1,7,1,1,4,4,1,0,2,4,1,7,2
2020년01월_남_총인구수,"217,926","2,073","11,427","2,300","9,596","10,118","4,912","5,708","4,627","4,575","9,432","3,948","13,841","3,589","14,801","18,870","11,344","12,385","18,446","8,808","13,654","14,470","6,821","12,181"
2020년01월_남_연령구간인구수,"217,926","2,073","11,427","2,300","9,596","10,118","4,912","5,708","4,627","4,575","9,432","3,948","13,841","3,589","14,801","18,870","11,344","12,385","18,446","8,808","13,654","14,470","6,821","12,181"
2020년01월_남_0~9세,"18,078",84,"1,260",92,"1,231",982,141,327,162,179,701,100,"1,130",204,"1,381","2,423",781,935,"1,477",550,975,"1,327",374,"1,262"
2020년01월_남_10~19세,"23,545",127,"1,047",149,"1,152","1,224",294,534,265,288,620,218,"1,600",261,"1,855","1,645","1,016","1,405","2,870",913,"1,477","2,501",358,"1,726"
2020년01월_남_20~29세,"32,797",270,"1,355",301,"1,133","1,333",655,"1,007","1,243",748,"1,573","1,195","2,240",485,"1,605","2,223","1,990","1,952","2,896","1,417","2,373","2,175",862,"1,766"
2020년01월_남_30~39세,"28,445",227,"1,909",255,"1,443","1,220",482,648,664,627,"1,347",608,"1,780",498,"1,766","3,527","1,522","1,518","1,855",966,"1,679","1,411","1,000","1,493"
2020년01월_남_40~49세,"36,306",309,"2,016",300,"1,798","1,717",683,759,645,617,"1,434",473,"2,156",513,"3,064","3,258","1,677","2,019","3,391","1,308","1,926","2,849","1,012","2,382"
2020년01월_남_50~59세,"38,348",417,"1,652",501,"1,372","1,747","1,021","1,141",657,838,"1,503",577,"2,415",634,"2,490","2,848","2,057","2,263","3,581","1,789","2,631","2,694","1,364","2,156"
2020년01월_남_60~69세,"24,499",352,"1,217",451,846,"1,078",936,776,549,720,"1,251",484,"1,629",600,"1,600","1,974","1,431","1,398","1,519","1,196","1,667",899,"1,112",814
2020년01월_남_70~79세,"11,699",216,672,197,451,608,497,387,311,416,721,207,648,282,819,771,614,694,618,491,657,417,585,420
2020년01월_남_80~89세,"3,938",63,273,46,155,199,195,117,123,136,254,82,232,105,210,189,242,189,221,168,255,192,141,151
2020년01월_남_90~99세,254,6,25,7,15,10,6,12,8,6,23,3,10,7,11,11,14,12,18,10,13,4,12,11
2020년01월_남_100세 이상,17,2,1,1,0,0,2,0,0,0,5,1,1,0,0,1,0,0,0,0,1,1,1,0
2020년01월_여_총인구수,"219,263","2,110","12,158","2,025","10,173","10,766","4,965","5,811","4,337","4,169","9,343","3,354","14,157","3,548","14,208","18,943","11,158","12,885","18,855","8,775","13,754","15,169","6,260","12,340"
2020년01월_여_연령구간인구수,"219,263","2,110","12,158","2,025","10,173","10,766","4,965","5,811","4,337","4,169","9,343","3,354","14,157","3,548","14,208","18,943","11,158","12,885","18,855","8,775","13,754","15,169","6,260","12,340"
2020년01월_여_0~9세,"17,164",67,"1,268",89,"1,203",924,140,321,154,153,672,105,"1,080",190,"1,294","2,300",743,837,"1,478",527,874,"1,212",359,"1,174"
2020년01월_여_10~19세,"21,666",122,"1,050",100,"1,104","1,205",242,484,244,236,600,188,"1,483",230,"1,715","1,544",832,"1,285","2,593",879,"1,238","2,332",348,"1,612"
2020년01월_여_20~29세,"27,513",220,"1,361",213,"1,065","1,149",468,746,"1,020",525,"1,081",789,"1,826",347,"1,432","1,947","1,754","1,754","2,477","1,096","2,002","1,951",681,"1,609"
2020년01월_여_30~39세,"26,388",175,"1,957",197,"1,607","1,319",327,565,447,406,"1,079",366,"1,682",400,"1,742","3,368","1,221","1,420","1,902",793,"1,523","1,588",759,"1,545"
2020년01월_여_40~49세,"37,667",222,"1,973",219,"1,928","1,933",555,866,481,491,"1,297",387,"2,443",448,"2,890","3,119","1,688","2,136","3,980","1,447","2,189","3,636",783,"2,556"
2020년01월_여_50~59세,"38,780",395,"1,720",460,"1,382","1,755",983,"1,232",677,825,"1,557",631,"2,647",695,"2,127","3,134","2,196","2,491","3,512","1,797","2,902","2,474","1,251","1,937"
2020년01월_여_60~69세,"25,817",438,"1,341",401,996,"1,217","1,089",853,637,809,"1,439",477,"1,667",647,"1,667","1,978","1,396","1,635","1,463","1,206","1,543",880,"1,141",897
2020년01월_여_70~79세,"15,730",287,930,227,592,817,767,491,442,496,"1,030",280,824,392,928,"1,043",830,892,914,624,904,705,677,638
2020년01월_여_80~89세,"7,479",149,479,96,259,399,363,221,206,202,493,119,422,182,368,449,430,375,471,368,511,363,229,325
2020년01월_여_90~99세,993,32,68,22,35,44,28,32,25,26,86,12,77,16,44,58,64,59,65,36,65,28,26,45
2020년01월_여_100세 이상,66,3,11,1,2,4,3,0,4,0,9,0,6,1,1,3,4,1,0,2,3,0,6,2
