카테고리,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2020년07월_계_총인구수,"235,155","6,189","10,148","11,632","8,341","8,825","17,033","16,562","13,357","18,064","27,693","2,381","10,150","30,064","19,414","34,205","1,097"
2020년07월_계_연령구간인구수,"235,155","6,189","10,148","11,632","8,341","8,825","17,033","16,562","13,357","18,064","27,693","2,381","10,150","30,064","19,414","34,205","1,097"
2020년07월_계_0~9세,"13,502",109,378,375,286,320,914,"1,221",575,973,"2,745",74,537,"1,305","1,326","2,282",82
2020년07월_계_10~19세,"18,230",307,519,599,376,498,"1,472","1,376",840,"1,272","2,486",115,710,"2,231","1,888","3,428",113
2020년07월_계_20~29세,"33,716",591,"1,192","1,264",871,916,"2,590","2,363","1,613","5,624","3,480",205,"1,129","4,661","2,551","4,581",85
2020년07월_계_30~39세,"26,001",528,"1,038","1,162",823,877,"1,835","2,099","1,517","2,000","3,913",197,993,"3,148","2,192","3,598",81
2020년07월_계_40~49세,"32,727",810,"1,261","1,393","1,008","1,168","2,412","2,391","1,839","2,208","4,725",244,"1,308","3,841","2,931","5,015",173
2020년07월_계_50~59세,"41,408","1,223","2,078","2,389","1,660","1,519","3,045","2,887","2,325","2,311","3,848",496,"1,816","5,741","3,619","6,272",179
2020년07월_계_60~69세,"38,109","1,387","2,142","2,410","1,896","1,796","2,598","2,414","2,615","1,991","3,332",533,"1,898","4,963","2,816","5,102",216
2020년07월_계_70~79세,"21,589",848,"1,102","1,461","1,051","1,232","1,456","1,176","1,486","1,143","2,047",341,"1,192","2,895","1,436","2,618",105
2020년07월_계_80~89세,"8,544",340,380,518,325,454,627,545,482,480,853,155,501,"1,127",574,"1,132",51
2020년07월_계_90~99세,"1,133",35,44,50,42,42,77,84,64,52,166,18,62,144,74,169,10
2020년07월_계_100세 이상,196,11,14,11,3,3,7,6,1,10,98,3,4,8,7,8,2
2020년07월_남_총인구수,"114,941","3,138","5,087","5,839","4,401","4,256","8,180","7,923","6,433","9,246","13,333","1,262","4,981","14,706","9,227","16,393",536
2020년07월_남_연령구간인구수,"114,941","3,138","5,087","5,839","4,401","4,256","8,180","7,923","6,433","9,246","13,333","1,262","4,981","14,706","9,227","16,393",536
2020년07월_남_0~9세,"6,959",58,187,192,161,171,494,624,291,469,"1,445",41,275,677,677,"1,159",38
2020년07월_남_10~19세,"9,337",162,266,305,204,252,754,685,447,629,"1,356",62,370,"1,132",913,"1,739",61
2020년07월_남_20~29세,"18,234",337,659,711,480,508,"1,334","1,230",868,"3,220","1,825",122,652,"2,530","1,335","2,373",50
2020년07월_남_30~39세,"13,460",313,576,663,473,475,938,"1,043",810,"1,098","1,838",120,514,"1,701","1,083","1,778",37
2020년07월_남_40~49세,"16,292",478,694,776,604,648,"1,131","1,141",936,"1,128","2,334",135,632,"1,908","1,365","2,295",87
2020년07월_남_50~59세,"19,639",642,"1,024","1,174",859,710,"1,411","1,339","1,068","1,103","1,770",268,862,"2,687","1,667","2,967",88
2020년07월_남_60~69세,"17,807",633,"1,018","1,169",972,790,"1,223","1,119","1,149",898,"1,493",289,872,"2,331","1,323","2,419",109
2020년07월_남_70~79세,"9,829",388,514,637,517,540,646,526,672,511,913,168,573,"1,301",659,"1,217",47
2020년07월_남_80~89세,"3,069",121,135,200,121,145,229,192,180,174,303,49,207,405,192,401,15
2020년07월_남_90~99세,275,5,10,12,9,15,19,22,12,14,33,8,24,33,12,44,3
2020년07월_남_100세 이상,40,1,4,0,1,2,1,2,0,2,23,0,0,1,1,1,1
2020년07월_여_총인구수,"120,214","3,051","5,061","5,793","3,940","4,569","8,853","8,639","6,924","8,818","14,360","1,119","5,169","15,358","10,187","17,812",561
2020년07월_여_연령구간인구수,"120,214","3,051","5,061","5,793","3,940","4,569","8,853","8,639","6,924","8,818","14,360","1,119","5,169","15,358","10,187","17,812",561
2020년07월_여_0~9세,"6,543",51,191,183,125,149,420,597,284,504,"1,300",33,262,628,649,"1,123",44
2020년07월_여_10~19세,"8,893",145,253,294,172,246,718,691,393,643,"1,130",53,340,"1,099",975,"1,689",52
2020년07월_여_20~29세,"15,482",254,533,553,391,408,"1,256","1,133",745,"2,404","1,655",83,477,"2,131","1,216","2,208",35
2020년07월_여_30~39세,"12,541",215,462,499,350,402,897,"1,056",707,902,"2,075",77,479,"1,447","1,109","1,820",44
2020년07월_여_40~49세,"16,435",332,567,617,404,520,"1,281","1,250",903,"1,080","2,391",109,676,"1,933","1,566","2,720",86
2020년07월_여_50~59세,"21,769",581,"1,054","1,215",801,809,"1,634","1,548","1,257","1,208","2,078",228,954,"3,054","1,952","3,305",91
2020년07월_여_60~69세,"20,302",754,"1,124","1,241",924,"1,006","1,375","1,295","1,466","1,093","1,839",244,"1,026","2,632","1,493","2,683",107
2020년07월_여_70~79세,"11,760",460,588,824,534,692,810,650,814,632,"1,134",173,619,"1,594",777,"1,401",58
2020년07월_여_80~89세,"5,475",219,245,318,204,309,398,353,302,306,550,106,294,722,382,731,36
2020년07월_여_90~99세,858,30,34,38,33,27,58,62,52,38,133,10,38,111,62,125,7
2020년07월_여_100세 이상,156,10,10,11,2,1,6,4,1,8,75,3,4,7,6,7,1
