,울산광역시 남구,울산광역시 남구 신정1동,울산광역시 남구 신정2동,울산광역시 남구 신정3동,울산광역시 남구 신정4동,울산광역시 남구 신정5동,울산광역시 남구 달동,울산광역시 남구 삼산동,울산광역시 남구 삼호동,울산광역시 남구 무거동,울산광역시 남구 옥동,울산광역시 남구 대현동,울산광역시 남구 수암동,울산광역시 남구 선암동,울산광역시 남구 야음장생포동
2021년10월_계_총인구수,"314,706","18,372","24,270","16,410","21,004","8,855","27,155","48,971","20,405","31,828","26,446","29,922","16,756","14,273","10,039"
2021년10월_계_연령구간인구수,"314,706","18,372","24,270","16,410","21,004","8,855","27,155","48,971","20,405","31,828","26,446","29,922","16,756","14,273","10,039"
2021년10월_계_0~9세,"22,724",792,"1,878","1,244","1,725",462,"1,566","3,403","1,112","2,011","2,069","3,273","1,513","1,072",604
2021년10월_계_10~19세,"29,261","1,063","3,042","1,208","2,272",580,"2,003","4,280","1,588","3,323","3,061","3,288","1,806","1,226",521
2021년10월_계_20~29세,"43,791","2,408","3,103","2,050","2,764","1,332","4,128","7,788","3,021","5,660","3,538","3,158","2,113","1,757",971
2021년10월_계_30~39세,"41,091","2,200","2,717","2,057","2,653","1,271","3,845","7,673","2,254","3,530","3,133","4,331","2,275","1,853","1,299"
2021년10월_계_40~49세,"49,797","2,374","4,242","2,475","3,577","1,397","4,045","8,268","2,799","4,929","4,126","5,408","2,557","2,281","1,319"
2021년10월_계_50~59세,"60,781","3,528","4,714","3,245","3,736","1,683","5,181","9,360","4,596","6,682","5,448","4,847","3,221","2,685","1,855"
2021년10월_계_60~69세,"43,563","3,640","2,851","2,602","2,718","1,310","4,158","5,783","3,190","3,743","3,503","3,562","2,280","2,249","1,974"
2021년10월_계_70~79세,"17,043","1,740","1,284","1,086","1,145",598,"1,507","1,806","1,262","1,344","1,126","1,513",740,828,"1,064"
2021년10월_계_80~89세,"5,934",571,386,388,360,202,653,532,521,539,395,492,221,292,382
2021년10월_계_90~99세,701,51,52,55,53,20,66,78,61,67,47,47,28,29,47
2021년10월_계_100세 이상,20,5,1,0,1,0,3,0,1,0,0,3,2,1,3
2021년10월_남_총인구수,"160,481","9,263","12,409","8,359","10,612","4,728","13,711","25,433","10,416","16,327","13,264","14,934","8,386","7,357","5,282"
2021년10월_남_연령구간인구수,"160,481","9,263","12,409","8,359","10,612","4,728","13,711","25,433","10,416","16,327","13,264","14,934","8,386","7,357","5,282"
2021년10월_남_0~9세,"11,677",411,994,627,892,230,805,"1,729",618,"1,045","1,074","1,648",751,542,311
2021년10월_남_10~19세,"15,456",544,"1,634",647,"1,174",309,"1,073","2,268",827,"1,718","1,680","1,708",941,649,284
2021년10월_남_20~29세,"24,420","1,342","1,761","1,126","1,520",772,"2,252","4,289","1,697","3,285","2,028","1,691","1,149",957,551
2021년10월_남_30~39세,"21,964","1,232","1,412","1,098","1,423",725,"2,117","4,225","1,239","1,899","1,585","2,121","1,145","1,002",741
2021년10월_남_40~49세,"24,534","1,292","1,969","1,283","1,719",760,"2,040","4,098","1,421","2,312","1,816","2,666","1,200","1,192",766
2021년10월_남_50~59세,"30,384","1,719","2,429","1,638","1,874",879,"2,490","4,705","2,258","3,327","2,603","2,457","1,600","1,368","1,037"
2021년10월_남_60~69세,"21,682","1,727","1,435","1,274","1,316",676,"2,012","2,970","1,614","1,909","1,778","1,723","1,146","1,128",974
2021년10월_남_70~79세,"8,125",779,613,503,548,296,694,951,554,627,560,729,375,424,472
2021년10월_남_80~89세,"2,117",210,154,155,136,79,214,183,178,192,133,177,76,89,141
2021년10월_남_90~99세,121,7,8,8,10,2,14,15,10,13,7,14,3,5,5
2021년10월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021년10월_여_총인구수,"154,225","9,109","11,861","8,051","10,392","4,127","13,444","23,538","9,989","15,501","13,182","14,988","8,370","6,916","4,757"
2021년10월_여_연령구간인구수,"154,225","9,109","11,861","8,051","10,392","4,127","13,444","23,538","9,989","15,501","13,182","14,988","8,370","6,916","4,757"
2021년10월_여_0~9세,"11,047",381,884,617,833,232,761,"1,674",494,966,995,"1,625",762,530,293
2021년10월_여_10~19세,"13,805",519,"1,408",561,"1,098",271,930,"2,012",761,"1,605","1,381","1,580",865,577,237
2021년10월_여_20~29세,"19,371","1,066","1,342",924,"1,244",560,"1,876","3,499","1,324","2,375","1,510","1,467",964,800,420
2021년10월_여_30~39세,"19,127",968,"1,305",959,"1,230",546,"1,728","3,448","1,015","1,631","1,548","2,210","1,130",851,558
2021년10월_여_40~49세,"25,263","1,082","2,273","1,192","1,858",637,"2,005","4,170","1,378","2,617","2,310","2,742","1,357","1,089",553
2021년10월_여_50~59세,"30,397","1,809","2,285","1,607","1,862",804,"2,691","4,655","2,338","3,355","2,845","2,390","1,621","1,317",818
2021년10월_여_60~69세,"21,881","1,913","1,416","1,328","1,402",634,"2,146","2,813","1,576","1,834","1,725","1,839","1,134","1,121","1,000"
2021년10월_여_70~79세,"8,918",961,671,583,597,302,813,855,708,717,566,784,365,404,592
2021년10월_여_80~89세,"3,817",361,232,233,224,123,439,349,343,347,262,315,145,203,241
2021년10월_여_90~99세,580,44,44,47,43,18,52,63,51,54,40,33,25,24,42
2021년10월_여_100세 이상,19,5,1,0,1,0,3,0,1,0,0,3,2,0,3
