카테고리,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2021년05월_계_총인구수,"102,194","10,948","4,080","3,846","3,202","2,226","3,197","1,216","4,225","5,888","4,446","3,096","28,644","9,761","4,745","8,552","4,122"
2021년05월_계_연령구간인구수,"102,194","10,948","4,080","3,846","3,202","2,226","3,197","1,216","4,225","5,888","4,446","3,096","28,644","9,761","4,745","8,552","4,122"
2021년05월_계_0~9세,"5,673",401,105,104,72,62,77,13,113,247,77,84,"2,402",728,156,793,239
2021년05월_계_10~19세,"6,722",481,135,212,93,95,134,38,142,216,130,83,"2,832",939,279,725,188
2021년05월_계_20~29세,"10,122",945,281,216,174,115,173,83,259,951,260,208,"3,421","1,250",489,914,383
2021년05월_계_30~39세,"9,282",763,279,204,176,93,165,40,216,438,227,192,"3,425","1,100",379,"1,157",428
2021년05월_계_40~49세,"12,488","1,230",352,336,260,165,234,67,356,512,393,244,"4,551","1,468",529,"1,311",480
2021년05월_계_50~59세,"18,152","2,225",726,640,567,398,587,258,710,844,775,567,"5,129","1,689",867,"1,376",794
2021년05월_계_60~69세,"19,185","2,359","1,048",957,785,583,841,314,"1,008","1,165","1,131",858,"3,900","1,332",975,"1,174",755
2021년05월_계_70~79세,"12,615","1,597",717,695,622,383,601,224,865,909,856,506,"1,889",813,686,736,516
2021년05월_계_80~89세,"7,106",858,390,424,406,289,335,158,496,550,529,314,986,394,347,336,294
2021년05월_계_90~99세,826,87,46,57,46,41,49,20,60,55,64,39,104,47,37,29,45
2021년05월_계_100세 이상,23,2,1,1,1,2,1,1,0,1,4,1,5,1,1,1,0
2021년05월_남_총인구수,"52,047","5,733","2,122","1,885","1,675","1,109","1,677",604,"2,137","3,267","2,302","1,642","14,101","4,929","2,363","4,267","2,234"
2021년05월_남_연령구간인구수,"52,047","5,733","2,122","1,885","1,675","1,109","1,677",604,"2,137","3,267","2,302","1,642","14,101","4,929","2,363","4,267","2,234"
2021년05월_남_0~9세,"2,877",203,59,58,41,38,38,6,59,131,36,42,"1,195",382,74,388,127
2021년05월_남_10~19세,"3,637",297,75,105,55,52,99,21,77,115,67,41,"1,505",474,144,405,105
2021년05월_남_20~29세,"6,049",538,171,135,128,64,110,46,157,760,156,120,"1,944",708,267,502,243
2021년05월_남_30~39세,"5,044",430,171,118,98,55,103,25,117,258,141,125,"1,776",578,214,584,251
2021년05월_남_40~49세,"6,863",713,222,186,158,100,154,41,222,317,240,164,"2,261",791,306,690,298
2021년05월_남_50~59세,"9,703","1,279",397,366,342,214,330,131,399,452,442,342,"2,553",827,473,685,471
2021년05월_남_60~69세,"9,698","1,220",544,468,433,312,439,180,502,621,605,458,"1,790",681,475,571,399
2021년05월_남_70~79세,"5,665",739,351,299,284,175,285,95,393,425,424,232,785,345,292,308,233
2021년05월_남_80~89세,"2,315",291,123,142,123,94,107,54,190,174,178,107,270,134,108,124,96
2021년05월_남_90~99세,191,22,9,7,13,4,12,5,21,14,12,10,22,9,10,10,11
2021년05월_남_100세 이상,5,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
2021년05월_여_총인구수,"50,147","5,215","1,958","1,961","1,527","1,117","1,520",612,"2,088","2,621","2,144","1,454","14,543","4,832","2,382","4,285","1,888"
2021년05월_여_연령구간인구수,"50,147","5,215","1,958","1,961","1,527","1,117","1,520",612,"2,088","2,621","2,144","1,454","14,543","4,832","2,382","4,285","1,888"
2021년05월_여_0~9세,"2,796",198,46,46,31,24,39,7,54,116,41,42,"1,207",346,82,405,112
2021년05월_여_10~19세,"3,085",184,60,107,38,43,35,17,65,101,63,42,"1,327",465,135,320,83
2021년05월_여_20~29세,"4,073",407,110,81,46,51,63,37,102,191,104,88,"1,477",542,222,412,140
2021년05월_여_30~39세,"4,238",333,108,86,78,38,62,15,99,180,86,67,"1,649",522,165,573,177
2021년05월_여_40~49세,"5,625",517,130,150,102,65,80,26,134,195,153,80,"2,290",677,223,621,182
2021년05월_여_50~59세,"8,449",946,329,274,225,184,257,127,311,392,333,225,"2,576",862,394,691,323
2021년05월_여_60~69세,"9,487","1,139",504,489,352,271,402,134,506,544,526,400,"2,110",651,500,603,356
2021년05월_여_70~79세,"6,950",858,366,396,338,208,316,129,472,484,432,274,"1,104",468,394,428,283
2021년05월_여_80~89세,"4,791",567,267,282,283,195,228,104,306,376,351,207,716,260,239,212,198
2021년05월_여_90~99세,635,65,37,50,33,37,37,15,39,41,52,29,82,38,27,19,34
2021년05월_여_100세 이상,18,1,1,0,1,1,1,1,0,1,3,0,5,1,1,1,0
