카테고리,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2020년02월_계_총인구수,"238,208","6,525","10,347","11,639","8,728","8,928","17,073","17,513","13,550","17,932","27,982","2,420","10,195","30,379","19,455","34,426","1,116"
2020년02월_계_연령구간인구수,"238,208","6,525","10,347","11,639","8,728","8,928","17,073","17,513","13,550","17,932","27,982","2,420","10,195","30,379","19,455","34,426","1,116"
2020년02월_계_0~9세,"13,991",123,389,380,321,337,942,"1,300",611,"1,015","2,788",80,552,"1,365","1,349","2,352",87
2020년02월_계_10~19세,"18,839",341,548,625,416,527,"1,489","1,461",869,"1,275","2,518",116,737,"2,336","1,930","3,533",118
2020년02월_계_20~29세,"34,110",657,"1,225","1,283",911,938,"2,587","2,459","1,651","5,471","3,544",216,"1,127","4,732","2,565","4,664",80
2020년02월_계_30~39세,"26,725",558,"1,042","1,166",927,909,"1,874","2,286","1,582","2,005","3,954",198,"1,020","3,228","2,237","3,649",90
2020년02월_계_40~49세,"33,463",871,"1,294","1,435","1,074","1,195","2,459","2,495","1,896","2,192","4,764",264,"1,334","3,933","2,969","5,105",183
2020년02월_계_50~59세,"42,210","1,304","2,136","2,396","1,741","1,554","3,094","3,059","2,359","2,364","3,936",499,"1,819","5,861","3,592","6,315",181
2020년02월_계_60~69세,"37,776","1,410","2,166","2,392","1,925","1,793","2,521","2,530","2,585","1,961","3,279",526,"1,885","4,856","2,746","4,992",209
2020년02월_계_70~79세,"21,387",869,"1,104","1,405","1,050","1,201","1,430","1,256","1,449","1,129","2,086",344,"1,156","2,833","1,424","2,543",108
2020년02월_계_80~89세,"8,373",345,383,495,312,429,599,573,475,463,850,153,496,"1,087",567,"1,100",46
2020년02월_계_90~99세,"1,141",36,46,50,48,42,72,89,72,47,167,21,65,141,69,164,12
2020년02월_계_100세 이상,193,11,14,12,3,3,6,5,1,10,96,3,4,7,7,9,2
2020년02월_남_총인구수,"116,606","3,314","5,167","5,867","4,590","4,302","8,228","8,391","6,559","9,184","13,483","1,279","5,012","14,904","9,248","16,533",545
2020년02월_남_연령구간인구수,"116,606","3,314","5,167","5,867","4,590","4,302","8,228","8,391","6,559","9,184","13,483","1,279","5,012","14,904","9,248","16,533",545
2020년02월_남_0~9세,"7,203",65,189,198,181,176,498,663,315,487,"1,471",41,277,713,688,"1,199",42
2020년02월_남_10~19세,"9,715",182,282,321,228,268,779,732,471,636,"1,374",62,391,"1,193",933,"1,801",62
2020년02월_남_20~29세,"18,496",374,669,722,507,514,"1,367","1,289",877,"3,152","1,850",128,655,"2,566","1,358","2,422",46
2020년02월_남_30~39세,"13,814",331,575,667,523,493,939,"1,150",830,"1,084","1,890",121,516,"1,758","1,094","1,801",42
2020년02월_남_40~49세,"16,629",511,704,799,636,652,"1,147","1,193",981,"1,124","2,333",141,643,"1,954","1,380","2,338",93
