,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2020년03월_계_총인구수,"41,764","2,181","2,970","6,602","10,730","4,715","1,088","1,047","4,898","7,533"
2020년03월_계_연령구간인구수,"41,764","2,181","2,970","6,602","10,730","4,715","1,088","1,047","4,898","7,533"
2020년03월_계_0~9세,"1,458",41,87,231,411,126,21,14,207,320
2020년03월_계_10~19세,"2,208",80,109,426,623,214,45,29,229,453
2020년03월_계_20~29세,"5,507",443,326,920,"1,461",530,110,74,825,818
2020년03월_계_30~39세,"4,535",334,255,706,"1,148",491,115,104,676,706
2020년03월_계_40~49세,"5,596",262,365,938,"1,502",573,123,113,716,"1,004"
2020년03월_계_50~59세,"7,229",344,569,"1,119","1,843",833,199,207,723,"1,392"
2020년03월_계_60~69세,"7,781",375,590,"1,145","1,926","1,008",263,291,767,"1,416"
2020년03월_계_70~79세,"4,977",189,459,739,"1,224",607,128,156,486,989
2020년03월_계_80~89세,"2,035",86,169,299,509,266,61,47,224,374
2020년03월_계_90~99세,356,25,36,70,70,43,19,11,36,46
2020년03월_계_100세 이상,82,2,5,9,13,24,4,1,9,15
2020년03월_남_총인구수,"20,454","1,103","1,488","3,126","5,237","2,243",546,579,"2,467","3,665"
2020년03월_남_연령구간인구수,"20,454","1,103","1,488","3,126","5,237","2,243",546,579,"2,467","3,665"
2020년03월_남_0~9세,767,20,44,124,212,72,12,9,108,166
2020년03월_남_10~19세,"1,123",39,54,198,320,113,26,13,113,247
2020년03월_남_20~29세,"2,753",203,161,456,739,254,64,42,398,436
2020년03월_남_30~39세,"2,455",171,143,367,609,266,62,63,386,388
2020년03월_남_40~49세,"3,026",149,210,487,799,314,64,70,415,518
2020년03월_남_50~59세,"3,631",189,292,526,938,395,94,131,376,690
2020년03월_남_60~69세,"3,672",191,277,547,877,465,136,164,373,642
2020년03월_남_70~79세,"2,157",99,226,301,512,261,57,71,208,422
2020년03월_남_80~89세,755,35,68,104,209,86,24,10,78,141
2020년03월_남_90~99세,97,7,12,12,19,12,5,6,10,14
2020년03월_남_100세 이상,18,0,1,4,3,5,2,0,2,1
2020년03월_여_총인구수,"21,310","1,078","1,482","3,476","5,493","2,472",542,468,"2,431","3,868"
2020년03월_여_연령구간인구수,"21,310","1,078","1,482","3,476","5,493","2,472",542,468,"2,431","3,868"
2020년03월_여_0~9세,691,21,43,107,199,54,9,5,99,154
2020년03월_여_10~19세,"1,085",41,55,228,303,101,19,16,116,206
2020년03월_여_20~29세,"2,754",240,165,464,722,276,46,32,427,382
2020년03월_여_30~39세,"2,080",163,112,339,539,225,53,41,290,318
2020년03월_여_40~49세,"2,570",113,155,451,703,259,59,43,301,486
2020년03월_여_50~59세,"3,598",155,277,593,905,438,105,76,347,702
2020년03월_여_60~69세,"4,109",184,313,598,"1,049",543,127,127,394,774
2020년03월_여_70~79세,"2,820",90,233,438,712,346,71,85,278,567
2020년03월_여_80~89세,"1,280",51,101,195,300,180,37,37,146,233
2020년03월_여_90~99세,259,18,24,58,51,31,14,5,26,32
2020년03월_여_100세 이상,64,2,4,5,10,19,2,1,7,14
