카테고리,경기도 수원시,경기도 수원시 장안구,경기도 수원시 장안구 파장동,경기도 수원시 장안구 율천동,경기도 수원시 장안구 정자1동,경기도 수원시 장안구 정자2동,경기도 수원시 장안구 정자3동,경기도 수원시 장안구 영화동,경기도 수원시 장안구 송죽동,경기도 수원시 장안구 조원1동,경기도 수원시 장안구 조원2동,경기도 수원시 장안구 연무동,경기도 수원시 권선구,경기도 수원시 권선구 세류1동,경기도 수원시 권선구 세류2동,경기도 수원시 권선구 세류3동,경기도 수원시 권선구 평동,경기도 수원시 권선구 서둔동,경기도 수원시 권선구 구운동,경기도 수원시 권선구 금곡동,경기도 수원시 권선구 호매실동,경기도 수원시 권선구 권선1동,경기도 수원시 권선구 권선2동,경기도 수원시 권선구 곡선동,경기도 수원시 권선구 입북동,경기도 수원시 팔달구,경기도 수원시 팔달구 매교동,경기도 수원시 팔달구 매산동,경기도 수원시 팔달구 고등동,경기도 수원시 팔달구 화서1동,경기도 수원시 팔달구 화서2동,경기도 수원시 팔달구 지동,경기도 수원시 팔달구 우만1동,경기도 수원시 팔달구 우만2동,경기도 수원시 팔달구 인계동,경기도 수원시 팔달구 행궁동,경기도 수원시 영통구,경기도 수원시 영통구 매탄1동,경기도 수원시 영통구 매탄2동,경기도 수원시 영통구 매탄3동,경기도 수원시 영통구 매탄4동,경기도 수원시 영통구 원천동,경기도 수원시 영통구 영통1동,경기도 수원시 영통구 영통2동,경기도 수원시 영통구 영통3동,경기도 수원시 영통구 망포1동,경기도 수원시 영통구 망포2동,경기도 수원시 영통구 광교1동,경기도 수원시 영통구 광교2동
2020년06월_계_총인구수,"1,191,542","275,875","23,764","43,207","30,104","30,368","43,279","20,356","19,889","29,108","19,357","16,443","370,648","10,551","23,838","19,661","41,007","38,548","25,103","45,906","46,329","24,875","50,079","27,732","17,019","175,468","5,968","10,764","9,127","23,455","27,030","11,547","20,903","17,392","38,270","11,012","369,551","18,688","15,372","36,528","22,306","39,285","36,324","26,519","33,042","31,841","28,434","53,019","28,193"
2020년06월_계_연령구간인구수,"1,191,542","275,875","23,764","43,207","30,104","30,368","43,279","20,356","19,889","29,108","19,357","16,443","370,648","10,551","23,838","19,661","41,007","38,548","25,103","45,906","46,329","24,875","50,079","27,732","17,019","175,468","5,968","10,764","9,127","23,455","27,030","11,547","20,903","17,392","38,270","11,012","369,551","18,688","15,372","36,528","22,306","39,285","36,324","26,519","33,042","31,841","28,434","53,019","28,193"
2020년06월_계_0~9세,"100,857","19,176","1,440","3,214","2,630","2,082","3,867",891,"1,197","1,593","1,523",739,"33,680",914,"1,157","1,017","3,185","2,568","1,516","5,160","7,267","1,392","5,943","1,776","1,785","9,926",242,441,373,"1,578","2,094",459,975,"1,252","2,232",280,"38,075","1,256","1,003","3,043","1,480","4,682","3,786","2,632","2,796","3,616","4,430","5,858","3,493"
2020년06월_계_10~19세,"120,611","29,315","1,925","4,217","3,614","3,258","7,112","1,246","1,790","2,908","2,133","1,112","34,000",641,"1,663","1,614","3,699","3,290","2,128","5,014","4,442","1,773","5,509","2,355","1,872","14,336",324,509,606,"2,267","3,120",752,"1,516","1,889","2,860",493,"42,960","2,012","1,579","4,545","2,398","3,540","5,017","2,209","4,409","4,184","3,217","6,924","2,926"
2020년06월_계_20~29세,"187,086","44,199","3,429","10,085","4,210","4,396","6,257","2,717","3,080","4,430","3,020","2,575","54,975","1,532","3,618","2,791","6,358","5,927","4,025","6,232","5,151","4,969","6,940","5,361","2,071","28,666",919,"1,922","1,116","3,216","4,159","1,360","3,278","3,646","7,521","1,529","59,246","3,162","2,528","6,568","3,769","6,642","4,972","5,779","6,377","4,583","3,475","8,314","3,077"
2020년06월_계_30~39세,"182,108","33,474","2,983","5,869","3,575","3,801","4,595","2,541","2,759","3,344","2,140","1,867","59,710","1,750","3,574","2,696","5,811","5,527","3,324","6,886","9,603","4,483","8,244","5,495","2,317","24,894",873,"1,690","1,081","2,753","3,542","1,275","3,019","2,269","7,074","1,318","64,030","2,532","2,019","5,572","3,238","7,820","5,669","6,621","4,547","5,085","6,007","9,561","5,359"
2020년06월_계_40~49세,"204,658","46,417","3,797","6,645","5,543","5,154","9,283","3,031","3,139","4,620","2,967","2,238","61,778","1,483","3,775","3,184","6,224","6,093","3,840","8,116","8,099","3,723","8,960","4,995","3,286","27,780",877,"1,456","1,375","3,931","4,629","1,714","3,143","2,788","6,366","1,501","68,683","3,150","2,499","6,886","3,868","7,138","7,275","4,212","6,259","5,951","5,401","10,740","5,304"
2020년06월_계_50~59세,"196,414","49,378","4,453","6,830","5,307","5,466","7,359","4,005","3,694","5,517","3,857","2,890","62,480","1,904","4,339","3,482","7,664","6,871","4,932","7,628","5,945","4,258","8,056","4,579","2,822","30,729","1,115","1,989","1,761","4,179","5,104","2,160","3,778","2,733","5,694","2,216","53,827","3,303","2,793","5,506","3,799","4,705","5,654","3,023","5,294","5,165","3,636","7,018","3,931"
2020년06월_계_60~69세,"115,514","29,693","3,237","3,600","2,926","3,276","2,684","3,383","2,443","3,611","1,952","2,581","38,287","1,315","3,311","2,774","4,789","4,857","3,152","3,965","3,554","2,683","4,207","1,956","1,724","21,785",873,"1,560","1,479","3,048","2,504","2,027","2,845","1,634","3,853","1,962","25,749","1,988","1,713","2,633","2,247","2,858","2,311","1,139","2,029","2,054","1,447","2,867","2,463"
2020년06월_계_70~79세,"55,854","15,620","1,662","1,729","1,474","1,954","1,333","1,749","1,176","1,984","1,013","1,546","17,198",669,"1,632","1,468","2,169","2,374","1,430","1,886","1,537","1,057","1,463",742,771,"11,810",515,812,941,"1,738","1,221","1,228","1,642",783,"1,778","1,152","11,226",893,821,"1,167",979,"1,284","1,040",590,795,821,529,"1,179","1,128"
2020년06월_계_80~89세,"24,312","7,321",711,879,699,847,686,674,518,938,640,729,"7,321",283,661,539,931,902,664,888,651,459,630,391,322,"4,735",200,329,332,640,569,489,619,341,759,457,"4,935",329,359,529,452,518,523,273,460,320,251,476,445
