,경상북도 안동시,경상북도 안동시 풍산읍,경상북도 안동시 와룡면,경상북도 안동시 북후면,경상북도 안동시 서후면,경상북도 안동시 풍천면,경상북도 안동시 일직면,경상북도 안동시 남후면,경상북도 안동시 남선면,경상북도 안동시 임하면,경상북도 안동시 길안면,경상북도 안동시 임동면,경상북도 안동시 예안면,경상북도 안동시 도산면,경상북도 안동시 녹전면,경상북도 안동시 중구동,경상북도 안동시 명륜동,경상북도 안동시 용상동,경상북도 안동시 서구동,경상북도 안동시 태화동,경상북도 안동시 평화동,경상북도 안동시 안기동,경상북도 안동시 옥동,경상북도 안동시 송하동,경상북도 안동시 강남동
2021년11월_계_총인구수,"157,177","6,372","3,971","2,947","3,484","7,007","2,663","1,725","2,085","2,795","2,707","1,720","1,825","1,592","1,717","5,068","4,943","22,050","8,991","13,060","6,289","6,184","21,322","16,149","10,511"
2021년11월_계_연령구간인구수,"157,177","6,372","3,971","2,947","3,484","7,007","2,663","1,725","2,085","2,795","2,707","1,720","1,825","1,592","1,717","5,068","4,943","22,050","8,991","13,060","6,289","6,184","21,322","16,149","10,511"
2021년11월_계_0~9세,"10,060",184,79,54,70,473,39,21,49,53,42,32,47,21,27,211,265,"1,814",603,878,353,308,"1,883","1,488","1,066"
2021년11월_계_10~19세,"13,347",274,190,82,123,372,116,58,83,108,78,49,46,43,61,330,411,"2,275",895,927,513,543,"2,580","1,696","1,494"
2021년11월_계_20~29세,"16,363",437,260,129,270,969,126,73,141,155,107,67,79,63,58,613,507,"2,979",828,"1,359",642,675,"2,568","1,968","1,290"
2021년11월_계_30~39세,"15,086",370,179,145,209,"1,123",110,67,119,137,110,53,73,66,67,475,397,"2,511",741,"1,446",564,550,"2,353","2,065","1,156"
2021년11월_계_40~49세,"21,582",549,304,295,321,792,224,144,168,243,160,134,105,111,117,613,680,"3,457","1,355","1,834",882,820,"3,695","2,558","2,021"
2021년11월_계_50~59세,"25,713","1,048",639,510,577,934,416,269,420,488,506,275,332,262,270,785,905,"3,449","1,399","2,164","1,023","1,139","3,485","2,744","1,674"
2021년11월_계_60~69세,"26,820","1,477",963,702,895,"1,033",625,413,519,741,735,502,508,433,497,913,889,"2,944","1,540","2,263","1,167","1,201","2,723","2,140",997
2021년11월_계_70~79세,"16,653","1,114",716,523,539,745,555,351,317,478,532,335,349,340,328,712,558,"1,629","1,015","1,433",733,649,"1,276",907,519
