카테고리,충청남도 서산시,충청남도 서산시 대산읍,충청남도 서산시 인지면,충청남도 서산시 부석면,충청남도 서산시 팔봉면,충청남도 서산시 지곡면,충청남도 서산시 성연면,충청남도 서산시 음암면,충청남도 서산시 운산면,충청남도 서산시 해미면,충청남도 서산시 고북면,충청남도 서산시 부춘동,충청남도 서산시 동문1동,충청남도 서산시 동문2동,충청남도 서산시 수석동,충청남도 서산시 석남동
2021년08월_계_총인구수,"176,360","13,553","7,278","5,307","3,338","8,127","15,519","9,297","5,046","7,288","6,108","19,036","18,699","8,715","15,821","33,228"
2021년08월_계_연령구간인구수,"176,360","13,553","7,278","5,307","3,338","8,127","15,519","9,297","5,046","7,288","6,108","19,036","18,699","8,715","15,821","33,228"
2021년08월_계_0~9세,"15,037",678,468,117,60,570,"2,885",465,123,236,347,"1,564","1,615",527,"1,335","4,047"
2021년08월_계_10~19세,"17,107",993,677,205,111,764,"1,242",743,258,441,433,"1,978","2,269",856,"1,909","4,228"
2021년08월_계_20~29세,"19,015","1,746",599,262,153,671,"1,575",827,277,669,558,"2,582","2,099","1,061","1,977","3,959"
2021년08월_계_30~39세,"21,787","1,439",591,266,145,902,"3,849",780,251,458,519,"2,627","2,079",824,"1,869","5,188"
2021년08월_계_40~49세,"27,790","1,927","1,065",468,278,"1,221","2,417","1,300",518,822,820,"3,217","3,336","1,406","2,781","6,214"
2021년08월_계_50~59세,"28,474","3,025","1,317",839,577,"1,361","1,629","1,687",812,"1,308",794,"3,154","3,254","1,520","2,509","4,688"
2021년08월_계_60~69세,"23,451","2,049","1,163","1,346",889,"1,292","1,049","1,616","1,178","1,484","1,113","2,146","2,162","1,355","1,854","2,755"
2021년08월_계_70~79세,"13,988",993,776,"1,000",676,795,511,"1,054",929,"1,123",825,"1,076","1,171",756,994,"1,309"
2021년08월_계_80~89세,"8,394",599,543,705,398,467,311,726,615,644,618,590,606,347,511,714
2021년08월_계_90~99세,"1,279",102,72,98,50,83,50,97,83,102,75,99,103,61,80,124
2021년08월_계_100세 이상,38,2,7,1,1,1,1,2,2,1,6,3,5,2,2,2
2021년08월_남_총인구수,"92,005","7,904","3,721","2,689","1,691","4,376","8,148","4,784","2,566","3,775","3,151","9,932","9,781","4,415","8,020","17,052"
2021년08월_남_연령구간인구수,"92,005","7,904","3,721","2,689","1,691","4,376","8,148","4,784","2,566","3,775","3,151","9,932","9,781","4,415","8,020","17,052"
2021년08월_남_0~9세,"7,673",354,240,52,38,280,"1,479",242,66,120,174,831,851,277,651,"2,018"
2021년08월_남_10~19세,"9,076",528,362,111,56,400,633,393,139,244,221,"1,042","1,343",455,920,"2,229"
2021년08월_남_20~29세,"11,370","1,212",363,163,95,431,884,504,164,421,382,"1,485","1,270",591,"1,123","2,282"
2021년08월_남_30~39세,"12,106",969,317,171,84,567,"2,068",427,140,266,295,"1,477","1,107",457,"1,063","2,698"
2021년08월_남_40~49세,"14,870","1,182",552,295,170,716,"1,341",718,315,488,481,"1,652","1,674",735,"1,409","3,142"
2021년08월_남_50~59세,"15,289","1,836",733,457,321,743,847,900,453,711,432,"1,663","1,668",784,"1,298","2,443"
2021년08월_남_60~69세,"11,798","1,137",591,676,444,681,552,815,580,749,547,"1,048","1,052",642,918,"1,366"
2021년08월_남_70~79세,"6,583",469,361,474,336,382,234,504,462,536,382,502,562,324,455,600
2021년08월_남_80~89세,"2,974",189,187,271,139,160,101,263,229,220,218,217,231,134,164,251
2021년08월_남_90~99세,264,28,15,19,8,16,9,18,17,20,19,15,22,16,19,23
2021년08월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2021년08월_여_총인구수,"84,355","5,649","3,557","2,618","1,647","3,751","7,371","4,513","2,480","3,513","2,957","9,104","8,918","4,300","7,801","16,176"
2021년08월_여_연령구간인구수,"84,355","5,649","3,557","2,618","1,647","3,751","7,371","4,513","2,480","3,513","2,957","9,104","8,918","4,300","7,801","16,176"
2021년08월_여_0~9세,"7,364",324,228,65,22,290,"1,406",223,57,116,173,733,764,250,684,"2,029"
2021년08월_여_10~19세,"8,031",465,315,94,55,364,609,350,119,197,212,936,926,401,989,"1,999"
2021년08월_여_20~29세,"7,645",534,236,99,58,240,691,323,113,248,176,"1,097",829,470,854,"1,677"
2021년08월_여_30~39세,"9,681",470,274,95,61,335,"1,781",353,111,192,224,"1,150",972,367,806,"2,490"
2021년08월_여_40~49세,"12,920",745,513,173,108,505,"1,076",582,203,334,339,"1,565","1,662",671,"1,372","3,072"
2021년08월_여_50~59세,"13,185","1,189",584,382,256,618,782,787,359,597,362,"1,491","1,586",736,"1,211","2,245"
2021년08월_여_60~69세,"11,653",912,572,670,445,611,497,801,598,735,566,"1,098","1,110",713,936,"1,389"
2021년08월_여_70~79세,"7,405",524,415,526,340,413,277,550,467,587,443,574,609,432,539,709
2021년08월_여_80~89세,"5,420",410,356,434,259,307,210,463,386,424,400,373,375,213,347,463
2021년08월_여_90~99세,"1,015",74,57,79,42,67,41,79,66,82,56,84,81,45,61,101
2021년08월_여_100세 이상,36,2,7,1,1,1,1,2,1,1,6,3,4,2,2,2
