카테고리,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2021년04월_계_총인구수,"30,445","10,865","2,989","3,592","3,468","3,424","3,144","2,316",264,383
2021년04월_계_연령구간인구수,"30,445","10,865","2,989","3,592","3,468","3,424","3,144","2,316",264,383
2021년04월_계_0~9세,"1,637",878,106,180,116,112,105,100,15,25
2021년04월_계_10~19세,"2,189","1,151",164,246,160,186,110,122,8,42
2021년04월_계_20~29세,"2,532","1,251",194,255,216,223,216,142,15,20
2021년04월_계_30~39세,"2,187","1,120",166,249,185,172,144,117,14,20
2021년04월_계_40~49세,"3,550","1,600",309,384,358,309,229,280,31,50
2021년04월_계_50~59세,"4,953","1,690",515,560,605,599,494,379,46,65
2021년04월_계_60~69세,"5,395","1,513",598,735,716,661,654,413,43,62
2021년04월_계_70~79세,"4,635","1,053",529,542,642,660,667,426,49,67
2021년04월_계_80~89세,"2,978",540,362,385,411,428,470,314,41,27
2021년04월_계_90~99세,376,66,45,53,58,74,53,20,2,5
2021년04월_계_100세 이상,13,3,1,3,1,0,2,3,0,0
2021년04월_남_총인구수,"15,101","5,358","1,514","1,752","1,779","1,643","1,515","1,203",140,197
2021년04월_남_연령구간인구수,"15,101","5,358","1,514","1,752","1,779","1,643","1,515","1,203",140,197
2021년04월_남_0~9세,795,418,55,96,64,52,47,44,8,11
2021년04월_남_10~19세,"1,116",590,80,122,86,90,55,63,8,22
2021년04월_남_20~29세,"1,487",727,124,140,125,122,136,92,6,15
2021년04월_남_30~39세,"1,185",565,100,138,116,96,82,69,8,11
2021년04월_남_40~49세,"2,069",822,186,232,242,188,157,184,23,35
2021년04월_남_50~59세,"2,780",862,297,307,356,337,293,255,29,44
2021년04월_남_60~69세,"2,739",731,318,366,367,346,322,235,26,28
2021년04월_남_70~79세,"1,986",463,232,227,276,285,282,174,23,24
2021년04월_남_80~89세,878,166,113,117,135,118,130,85,8,6
2021년04월_남_90~99세,66,14,9,7,12,9,11,2,1,1
2021년04월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2021년04월_여_총인구수,"15,344","5,507","1,475","1,840","1,689","1,781","1,629","1,113",124,186
2021년04월_여_연령구간인구수,"15,344","5,507","1,475","1,840","1,689","1,781","1,629","1,113",124,186
2021년04월_여_0~9세,842,460,51,84,52,60,58,56,7,14
2021년04월_여_10~19세,"1,073",561,84,124,74,96,55,59,0,20
2021년04월_여_20~29세,"1,045",524,70,115,91,101,80,50,9,5
2021년04월_여_30~39세,"1,002",555,66,111,69,76,62,48,6,9
2021년04월_여_40~49세,"1,481",778,123,152,116,121,72,96,8,15
2021년04월_여_50~59세,"2,173",828,218,253,249,262,201,124,17,21
2021년04월_여_60~69세,"2,656",782,280,369,349,315,332,178,17,34
2021년04월_여_70~79세,"2,649",590,297,315,366,375,385,252,26,43
2021년04월_여_80~89세,"2,100",374,249,268,276,310,340,229,33,21
2021년04월_여_90~99세,310,52,36,46,46,65,42,18,1,4
2021년04월_여_100세 이상,13,3,1,3,1,0,2,3,0,0
