카테고리,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2020년04월_계_총인구수,"588,281","42,315","23,445","21,521","32,056","53,226","18,874","22,286","21,531","35,255","25,046","25,747","33,717","14,909","15,921","38,215","44,266","27,231","45,135","23,484","24,101"
2020년04월_계_연령구간인구수,"588,281","42,315","23,445","21,521","32,056","53,226","18,874","22,286","21,531","35,255","25,046","25,747","33,717","14,909","15,921","38,215","44,266","27,231","45,135","23,484","24,101"
2020년04월_계_0~9세,"42,474","4,310","1,380","1,440","1,800","3,069","1,352","1,392","1,288","2,518","1,377","1,525","1,864",552,793,"3,722","4,030","2,699","4,613","1,239","1,511"
2020년04월_계_10~19세,"46,391","4,580","1,444","1,706","2,261","2,672","1,550","1,654","1,444","2,576","1,749","1,708","2,018",491,667,"5,123","5,554","1,750","4,300","1,545","1,599"
2020년04월_계_20~29세,"87,486","5,631","4,593","3,351","4,314","9,140","2,595","3,296","2,981","5,803","4,145","3,900","8,263","1,833","1,963","4,759","5,330","3,910","5,503","3,430","2,746"
2020년04월_계_30~39세,"101,236","7,400","5,610","3,651","4,712","10,988","3,085","3,361","3,567","6,615","4,137","4,508","8,011","2,586","3,186","4,612","5,858","5,201","6,805","3,543","3,800"
2020년04월_계_40~49세,"92,731","7,792","3,315","3,130","4,133","7,720","3,237","3,290","3,319","5,766","3,740","4,060","4,537","1,475","2,014","7,480","8,745","4,205","7,882","3,296","3,595"
2020년04월_계_50~59세,"88,164","6,043","3,076","3,568","5,600","7,672","2,882","3,468","3,540","4,974","4,074","3,898","4,250","2,416","2,390","5,735","6,557","3,875","6,616","3,748","3,782"
2020년04월_계_60~69세,"74,715","4,068","2,144","2,839","5,025","6,927","2,421","3,399","3,104","4,117","3,559","3,473","3,040","3,180","2,638","3,803","4,890","3,164","5,491","3,594","3,839"
2020년04월_계_70~79세,"38,207","1,718","1,102","1,304","2,497","3,725","1,319","1,774","1,639","2,095","1,625","2,032","1,175","1,507","1,528","2,085","2,447","1,675","2,740","2,106","2,114"
