,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2021년04월_계_총인구수,"490,968","37,072","15,397","12,935","36,317","32,728","15,089","13,261","31,576","22,270","17,962","7,005","35,076","16,367","19,060","34,020","29,205","16,385","18,931","31,575","12,687","12,679","23,371"
2021년04월_계_연령구간인구수,"490,968","37,072","15,397","12,935","36,317","32,728","15,089","13,261","31,576","22,270","17,962","7,005","35,076","16,367","19,060","34,020","29,205","16,385","18,931","31,575","12,687","12,679","23,371"
2021년04월_계_0~9세,"31,886","2,298",823,615,"2,458","2,406","1,039",640,"2,644","1,185","1,194",330,"2,734",841,"1,154","2,318","2,388",827,"1,314","1,864","1,033",666,"1,115"
2021년04월_계_10~19세,"42,448","2,882","1,185",856,"2,348","2,283",906,"1,011","3,768","2,012","1,723",503,"2,965","1,241","1,437","3,522","4,164","1,075","1,720","3,263","1,036","1,004","1,544"
2021년04월_계_20~29세,"69,129","5,991","2,082","1,642","5,832","5,167","2,131","1,681","4,049","2,899","2,622",908,"4,860","2,559","2,494","4,716","3,748","2,101","2,574","4,771","1,593","1,645","3,064"
2021년04월_계_30~39세,"66,497","5,911","2,135","1,685","6,384","5,898","2,397","1,597","3,671","2,314","2,146",810,"5,226","2,174","2,682","3,874","2,962","2,008","2,587","4,013","1,777","1,346","2,900"
2021년04월_계_40~49세,"76,219","5,664","2,395","1,870","5,538","5,286","2,235","1,832","5,491","3,104","2,741","1,061","5,286","2,339","2,485","5,608","5,725","2,358","2,982","5,152","1,798","1,893","3,376"
2021년04월_계_50~59세,"89,007","6,166","2,725","2,331","6,061","5,293","2,569","2,528","5,628","4,023","3,374","1,468","6,391","3,258","3,521","6,511","5,335","2,913","3,396","6,145","2,160","2,485","4,726"
2021년04월_계_60~69세,"67,999","4,745","2,262","2,166","4,498","3,749","2,187","2,277","3,890","3,643","2,440","1,184","4,714","2,407","3,182","4,365","2,962","2,881","2,564","3,836","2,053","2,064","3,930"
2021년04월_계_70~79세,"31,324","2,173","1,240","1,157","2,151","1,747","1,035","1,110","1,643","1,913","1,059",504,"1,914","1,049","1,345","1,901","1,235","1,564","1,212","1,623",855,"1,049","1,845"
2021년04월_계_80~89세,"14,231","1,070",481,522,925,768,519,497,680,990,576,188,874,433,636,"1,028",577,585,525,784,338,465,770
2021년04월_계_90~99세,"2,116",165,68,89,120,121,61,85,109,173,87,37,108,64,119,173,106,70,51,121,43,59,87
2021년04월_계_100세 이상,112,7,1,2,2,10,10,3,3,14,0,12,4,2,5,4,3,3,6,3,1,3,14
2021년04월_남_총인구수,"242,605","17,841","7,670","6,443","17,973","16,181","7,456","6,704","15,535","10,843","8,567","3,740","17,544","8,263","9,272","16,674","14,169","8,227","9,220","15,236","6,512","6,453","12,082"
2021년04월_남_연령구간인구수,"242,605","17,841","7,670","6,443","17,973","16,181","7,456","6,704","15,535","10,843","8,567","3,740","17,544","8,263","9,272","16,674","14,169","8,227","9,220","15,236","6,512","6,453","12,082"
2021년04월_남_0~9세,"16,283","1,156",404,319,"1,260","1,212",564,344,"1,343",626,612,159,"1,417",409,579,"1,201","1,203",416,650,953,549,363,544
2021년04월_남_10~19세,"21,998","1,434",609,452,"1,225","1,142",471,528,"1,982","1,074",883,253,"1,567",697,762,"1,790","2,135",565,852,"1,651",560,529,837
2021년04월_남_20~29세,"35,512","2,862","1,088",858,"2,878","2,558","1,028",931,"2,108","1,557","1,339",508,"2,507","1,369","1,290","2,499","1,921","1,108","1,322","2,415",899,876,"1,591"
2021년04월_남_30~39세,"34,324","3,060","1,168",909,"3,315","3,155","1,214",866,"1,757","1,189","1,041",448,"2,693","1,170","1,368","1,973","1,410","1,076","1,290","1,956",952,715,"1,599"
2021년04월_남_40~49세,"38,411","2,783","1,257",980,"2,835","2,811","1,204",948,"2,654","1,532","1,291",601,"2,722","1,220","1,260","2,698","2,618","1,290","1,484","2,445",957,972,"1,849"
2021년04월_남_50~59세,"43,517","2,926","1,344","1,165","2,967","2,524","1,236","1,303","2,721","1,910","1,542",815,"3,134","1,592","1,602","3,238","2,692","1,456","1,615","2,907","1,025","1,319","2,484"
2021년04월_남_60~69세,"33,104","2,205","1,039","1,063","2,160","1,742","1,064","1,089","1,925","1,715","1,187",645,"2,305","1,178","1,584","2,155","1,474","1,359","1,232","1,918","1,037","1,020","2,008"
2021년04월_남_70~79세,"14,173",980,575,499,969,757,472,520,791,879,462,246,863,472,626,805,514,729,569,723,403,465,854
2021년04월_남_80~89세,"4,831",395,169,176,340,251,193,159,230,325,193,54,315,150,175,278,189,208,190,241,121,180,299
2021년04월_남_90~99세,431,39,17,22,23,28,9,16,23,34,17,7,19,6,23,37,13,20,13,27,9,14,15
2021년04월_남_100세 이상,21,1,0,0,1,1,1,0,1,2,0,4,2,0,3,0,0,0,3,0,0,0,2
2021년04월_여_총인구수,"248,363","19,231","7,727","6,492","18,344","16,547","7,633","6,557","16,041","11,427","9,395","3,265","17,532","8,104","9,788","17,346","15,036","8,158","9,711","16,339","6,175","6,226","11,289"
2021년04월_여_연령구간인구수,"248,363","19,231","7,727","6,492","18,344","16,547","7,633","6,557","16,041","11,427","9,395","3,265","17,532","8,104","9,788","17,346","15,036","8,158","9,711","16,339","6,175","6,226","11,289"
2021년04월_여_0~9세,"15,603","1,142",419,296,"1,198","1,194",475,296,"1,301",559,582,171,"1,317",432,575,"1,117","1,185",411,664,911,484,303,571
2021년04월_여_10~19세,"20,450","1,448",576,404,"1,123","1,141",435,483,"1,786",938,840,250,"1,398",544,675,"1,732","2,029",510,868,"1,612",476,475,707
2021년04월_여_20~29세,"33,617","3,129",994,784,"2,954","2,609","1,103",750,"1,941","1,342","1,283",400,"2,353","1,190","1,204","2,217","1,827",993,"1,252","2,356",694,769,"1,473"
2021년04월_여_30~39세,"32,173","2,851",967,776,"3,069","2,743","1,183",731,"1,914","1,125","1,105",362,"2,533","1,004","1,314","1,901","1,552",932,"1,297","2,057",825,631,"1,301"
2021년04월_여_40~49세,"37,808","2,881","1,138",890,"2,703","2,475","1,031",884,"2,837","1,572","1,450",460,"2,564","1,119","1,225","2,910","3,107","1,068","1,498","2,707",841,921,"1,527"
2021년04월_여_50~59세,"45,490","3,240","1,381","1,166","3,094","2,769","1,333","1,225","2,907","2,113","1,832",653,"3,257","1,666","1,919","3,273","2,643","1,457","1,781","3,238","1,135","1,166","2,242"
2021년04월_여_60~69세,"34,895","2,540","1,223","1,103","2,338","2,007","1,123","1,188","1,965","1,928","1,253",539,"2,409","1,229","1,598","2,210","1,488","1,522","1,332","1,918","1,016","1,044","1,922"
2021년04월_여_70~79세,"17,151","1,193",665,658,"1,182",990,563,590,852,"1,034",597,258,"1,051",577,719,"1,096",721,835,643,900,452,584,991
2021년04월_여_80~89세,"9,400",675,312,346,585,517,326,338,450,665,383,134,559,283,461,750,388,377,335,543,217,285,471
2021년04월_여_90~99세,"1,685",126,51,67,97,93,52,69,86,139,70,30,89,58,96,136,93,50,38,94,34,45,72
2021년04월_여_100세 이상,91,6,1,2,1,9,9,3,2,12,0,8,2,2,2,4,3,3,3,3,1,3,12
