,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2021년09월_계_총인구수,"101,670","10,696","4,023","3,795","3,166","2,196","3,212","1,218","4,194","5,647","4,411","3,058","28,328","9,681","4,686","9,274","4,085"
2021년09월_계_연령구간인구수,"101,670","10,696","4,023","3,795","3,166","2,196","3,212","1,218","4,194","5,647","4,411","3,058","28,328","9,681","4,686","9,274","4,085"
2021년09월_계_0~9세,"5,586",373,102,98,64,52,78,15,114,244,78,82,"2,314",714,148,873,237
2021년09월_계_10~19세,"6,597",449,129,199,93,89,129,35,143,213,127,81,"2,751",937,259,775,188
2021년09월_계_20~29세,"9,701",879,267,203,166,111,177,80,247,723,243,197,"3,345","1,230",476,"1,007",350
2021년09월_계_30~39세,"9,145",730,257,206,156,81,162,39,206,421,213,187,"3,347","1,079",365,"1,276",420
2021년09월_계_40~49세,"12,355","1,155",348,324,260,161,231,62,347,498,387,245,"4,470","1,438",506,"1,454",469
2021년09월_계_50~59세,"18,016","2,196",707,625,564,389,582,260,693,834,756,540,"5,083","1,666",861,"1,480",780
2021년09월_계_60~69세,"19,464","2,346","1,054",961,785,588,851,320,"1,013","1,180","1,142",857,"4,000","1,352",975,"1,259",781
2021년09월_계_70~79세,"12,702","1,598",716,693,619,389,602,221,867,921,851,512,"1,922",815,688,770,518
2021년09월_계_80~89세,"7,216",876,393,431,407,286,346,163,506,553,544,314,984,405,366,344,298
2021년09월_계_90~99세,866,92,49,54,51,48,53,22,57,59,67,42,108,44,41,35,44
2021년09월_계_100세 이상,22,2,1,1,1,2,1,1,1,1,3,1,4,1,1,1,0
2021년09월_남_총인구수,"51,648","5,591","2,091","1,865","1,661","1,087","1,686",606,"2,131","3,052","2,290","1,608","13,956","4,886","2,340","4,590","2,208"
2021년09월_남_연령구간인구수,"51,648","5,591","2,091","1,865","1,661","1,087","1,686",606,"2,131","3,052","2,290","1,608","13,956","4,886","2,340","4,590","2,208"
2021년09월_남_0~9세,"2,837",199,60,56,38,29,35,8,62,130,36,37,"1,158",377,71,419,122
2021년09월_남_10~19세,"3,545",263,71,101,53,47,97,19,79,113,66,39,"1,460",479,132,423,103
2021년09월_남_20~29세,"5,711",501,159,121,121,63,119,45,151,556,149,108,"1,896",695,257,544,226
2021년09월_남_30~39세,"4,961",410,155,121,92,45,94,23,113,248,130,118,"1,741",566,207,648,250
2021년09월_남_40~49세,"6,793",671,221,186,161,98,147,37,219,306,235,162,"2,225",769,305,755,296
2021년09월_남_50~59세,"9,659","1,256",388,363,339,211,333,134,388,451,441,329,"2,537",818,477,740,454
2021년09월_남_60~69세,"9,827","1,223",549,463,435,316,443,183,511,624,612,457,"1,843",682,467,601,418
2021년09월_남_70~79세,"5,757",748,351,300,283,177,295,96,401,428,426,236,804,353,299,326,234
2021년09월_남_80~89세,"2,358",296,127,147,125,95,110,54,189,182,181,110,271,138,115,123,95
2021년09월_남_90~99세,195,23,10,6,14,5,13,7,18,14,13,11,21,9,10,11,10
2021년09월_남_100세 이상,5,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
2021년09월_여_총인구수,"50,022","5,105","1,932","1,930","1,505","1,109","1,526",612,"2,063","2,595","2,121","1,450","14,372","4,795","2,346","4,684","1,877"
2021년09월_여_연령구간인구수,"50,022","5,105","1,932","1,930","1,505","1,109","1,526",612,"2,063","2,595","2,121","1,450","14,372","4,795","2,346","4,684","1,877"
2021년09월_여_0~9세,"2,749",174,42,42,26,23,43,7,52,114,42,45,"1,156",337,77,454,115
2021년09월_여_10~19세,"3,052",186,58,98,40,42,32,16,64,100,61,42,"1,291",458,127,352,85
2021년09월_여_20~29세,"3,990",378,108,82,45,48,58,35,96,167,94,89,"1,449",535,219,463,124
2021년09월_여_30~39세,"4,184",320,102,85,64,36,68,16,93,173,83,69,"1,606",513,158,628,170
2021년09월_여_40~49세,"5,562",484,127,138,99,63,84,25,128,192,152,83,"2,245",669,201,699,173
2021년09월_여_50~59세,"8,357",940,319,262,225,178,249,126,305,383,315,211,"2,546",848,384,740,326
2021년09월_여_60~69세,"9,637","1,123",505,498,350,272,408,137,502,556,530,400,"2,157",670,508,658,363
2021년09월_여_70~79세,"6,945",850,365,393,336,212,307,125,466,493,425,276,"1,118",462,389,444,284
2021년09월_여_80~89세,"4,858",580,266,284,282,191,236,109,317,371,363,204,713,267,251,221,203
2021년09월_여_90~99세,671,69,39,48,37,43,40,15,39,45,54,31,87,35,31,24,34
2021년09월_여_100세 이상,17,1,1,0,1,1,1,1,1,1,2,0,4,1,1,1,0
