카테고리,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2020년01월_계_총인구수,"2,122,455","652,845","259,416","393,429","106,294","100,908","314,238","174,663","118,781","42,735","166,815","52,120","66,676","52,702","31,577","100,347","79,126","62,628"
2020년01월_계_연령구간인구수,"2,122,455","652,845","259,416","393,429","106,294","100,908","314,238","174,663","118,781","42,735","166,815","52,120","66,676","52,702","31,577","100,347","79,126","62,628"
2020년01월_계_0~9세,"180,865","64,235","21,727","42,508","6,168","6,480","34,800","15,985","7,692","4,090","16,527","2,774","3,152","2,445","1,365","8,003","3,890","3,259"
2020년01월_계_10~19세,"207,409","69,915","27,141","42,774","8,661","8,613","34,332","17,687","10,252","6,505","15,768","4,440","5,020","3,665","2,157","9,812","5,963","4,619"
2020년01월_계_20~29세,"245,107","95,044","35,447","59,597","11,945","9,824","36,177","19,201","11,984","4,924","16,625","4,231","5,756","4,121","2,915","9,871","7,182","5,307"
2020년01월_계_30~39세,"277,923","106,759","34,629","72,130","10,049","9,976","50,629","22,756","11,394","4,742","23,913","4,120","4,731","3,732","2,224","10,958","6,431","5,509"
2020년01월_계_40~49세,"328,866","111,279","43,609","67,670","13,786","14,186","55,122","27,647","15,963","8,462","26,418","6,491","7,562","6,116","3,323","14,668","9,935","7,908"
2020년01월_계_50~59세,"341,152","101,845","44,212","57,633","18,915","17,544","45,351","28,170","20,374","6,761","25,929","9,286","11,377","8,802","5,514","16,135","14,130","11,019"
2020년01월_계_60~69세,"262,421","58,120","28,803","29,317","17,528","16,283","29,625","20,521","19,163","4,058","19,853","9,339","12,506","9,938","5,892","13,960","14,111","11,524"
2020년01월_계_70~79세,"167,116","29,055","15,026","14,029","11,245","10,974","17,535","13,507","12,823","1,944","12,877","6,746","9,378","7,932","4,496","9,840","10,226","8,538"
2020년01월_계_80~89세,"97,385","14,361","7,621","6,740","6,988","6,112","9,359","7,980","7,940","1,069","7,805","4,145","6,217","5,171","3,252","6,228","6,419","4,339"
2020년01월_계_90~99세,"13,328","2,069","1,117",952,950,862,"1,198","1,145","1,109",169,"1,035",516,922,738,419,810,802,584
2020년01월_계_100세 이상,883,163,84,79,59,54,110,64,87,11,65,32,55,42,20,62,37,22
2020년01월_남_총인구수,"1,081,552","332,818","131,605","201,213","53,252","51,031","162,713","90,387","59,429","21,250","88,199","26,240","33,011","26,045","15,937","49,896","39,721","31,623"
2020년01월_남_연령구간인구수,"1,081,552","332,818","131,605","201,213","53,252","51,031","162,713","90,387","59,429","21,250","88,199","26,240","33,011","26,045","15,937","49,896","39,721","31,623"
2020년01월_남_0~9세,"92,704","32,825","11,200","21,625","3,194","3,253","17,883","8,221","3,960","2,089","8,448","1,414","1,679","1,225",703,"4,167","2,009","1,634"
2020년01월_남_10~19세,"107,651","36,286","14,148","22,138","4,482","4,484","17,664","9,347","5,304","3,383","8,252","2,321","2,609","1,884","1,134","5,016","3,083","2,402"
2020년01월_남_20~29세,"134,646","49,726","18,833","30,893","6,592","5,690","19,917","11,248","6,728","2,744","9,635","2,430","3,320","2,398","1,647","5,413","4,060","3,098"
2020년01월_남_30~39세,"149,019","56,623","18,144","38,479","5,384","5,413","26,920","12,422","5,988","2,327","13,518","2,163","2,583","2,081","1,264","5,693","3,570","3,070"
2020년01월_남_40~49세,"175,334","57,277","22,454","34,823","7,278","7,755","30,026","14,740","8,544","4,101","14,833","3,637","4,130","3,385","1,949","7,679","5,481","4,519"
2020년01월_남_50~59세,"179,360","52,378","22,599","29,779","9,807","9,281","24,402","14,921","10,620","3,403","14,440","5,063","5,863","4,708","2,972","8,338","7,414","5,750"
2020년01월_남_60~69세,"130,566","29,290","14,493","14,797","8,750","7,950","14,585","10,228","9,631","1,968","10,001","4,712","6,237","4,856","3,005","6,824","7,000","5,529"
2020년01월_남_70~79세,"74,953","13,000","6,835","6,165","5,068","4,857","7,728","6,268","5,599",872,"6,009","2,965","4,182","3,463","1,983","4,372","4,617","3,970"
2020년01월_남_80~89세,"34,011","4,915","2,638","2,277","2,437","2,146","3,278","2,753","2,748",327,"2,793","1,400","2,178","1,868","1,169","2,172","2,300","1,527"
2020년01월_남_90~99세,"3,108",454,240,214,248,191,279,231,284,36,257,125,222,167,108,205,181,120
2020년01월_남_100세 이상,200,44,21,23,12,11,31,8,23,0,13,10,8,10,3,17,6,4
2020년01월_여_총인구수,"1,040,903","320,027","127,811","192,216","53,042","49,877","151,525","84,276","59,352","21,485","78,616","25,880","33,665","26,657","15,640","50,451","39,405","31,005"
2020년01월_여_연령구간인구수,"1,040,903","320,027","127,811","192,216","53,042","49,877","151,525","84,276","59,352","21,485","78,616","25,880","33,665","26,657","15,640","50,451","39,405","31,005"
2020년01월_여_0~9세,"88,161","31,410","10,527","20,883","2,974","3,227","16,917","7,764","3,732","2,001","8,079","1,360","1,473","1,220",662,"3,836","1,881","1,625"
2020년01월_여_10~19세,"99,758","33,629","12,993","20,636","4,179","4,129","16,668","8,340","4,948","3,122","7,516","2,119","2,411","1,781","1,023","4,796","2,880","2,217"
2020년01월_여_20~29세,"110,461","45,318","16,614","28,704","5,353","4,134","16,260","7,953","5,256","2,180","6,990","1,801","2,436","1,723","1,268","4,458","3,122","2,209"
2020년01월_여_30~39세,"128,904","50,136","16,485","33,651","4,665","4,563","23,709","10,334","5,406","2,415","10,395","1,957","2,148","1,651",960,"5,265","2,861","2,439"
2020년01월_여_40~49세,"153,532","54,002","21,155","32,847","6,508","6,431","25,096","12,907","7,419","4,361","11,585","2,854","3,432","2,731","1,374","6,989","4,454","3,389"
2020년01월_여_50~59세,"161,792","49,467","21,613","27,854","9,108","8,263","20,949","13,249","9,754","3,358","11,489","4,223","5,514","4,094","2,542","7,797","6,716","5,269"
2020년01월_여_60~69세,"131,855","28,830","14,310","14,520","8,778","8,333","15,040","10,293","9,532","2,090","9,852","4,627","6,269","5,082","2,887","7,136","7,111","5,995"
2020년01월_여_70~79세,"92,163","16,055","8,191","7,864","6,177","6,117","9,807","7,239","7,224","1,072","6,868","3,781","5,196","4,469","2,513","5,468","5,609","4,568"
2020년01월_여_80~89세,"63,374","9,446","4,983","4,463","4,551","3,966","6,081","5,227","5,192",742,"5,012","2,745","4,039","3,303","2,083","4,056","4,119","2,812"
2020년01월_여_90~99세,"10,220","1,615",877,738,702,671,919,914,825,133,778,391,700,571,311,605,621,464
2020년01월_여_100세 이상,683,119,63,56,47,43,79,56,64,11,52,22,47,32,17,45,31,18
