카테고리,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2020년09월_계_총인구수,"403,500","14,663","14,413","17,079","17,155","18,012","7,571","48,288","31,420","19,212","23,505","26,685","20,769","17,079","9,074","14,195","17,605","22,804","13,094","21,570","15,575","13,732"
2020년09월_계_연령구간인구수,"403,500","14,663","14,413","17,079","17,155","18,012","7,571","48,288","31,420","19,212","23,505","26,685","20,769","17,079","9,074","14,195","17,605","22,804","13,094","21,570","15,575","13,732"
2020년09월_계_0~9세,"27,444","1,150","1,104","1,039",665,"1,360",302,"4,286","2,254","1,222","1,746","2,187","1,354",952,492,620,866,"2,108",606,"1,356","1,046",729
2020년09월_계_10~19세,"31,802",938,880,"1,374",978,"1,343",383,"4,920","3,476","1,816","1,587","2,037",909,"1,107",689,887,"1,194","1,828","1,005","1,951","1,326","1,174"
2020년09월_계_20~29세,"57,118","1,890","2,104","2,196","3,860","2,672",840,"6,948","4,154","2,453","3,314","3,422","4,333","2,139","1,241","1,694","2,532","2,887","1,584","2,893","2,096","1,866"
2020년09월_계_30~39세,"55,567","2,211","2,420","2,242","1,793","2,885",856,"6,609","3,321","2,242","3,670","4,300","4,345","2,133","1,035","1,608","2,408","3,616","1,435","2,583","1,965","1,890"
2020년09월_계_40~49세,"63,384","2,193","2,098","2,578","2,110","2,642","1,037","8,451","5,560","3,031","3,601","4,104","3,172","2,401","1,389","1,944","2,682","3,940","1,975","3,381","2,308","2,787"
2020년09월_계_50~59세,"67,363","2,410","2,314","2,841","2,656","2,739","1,290","7,863","5,549","3,374","3,792","4,237","3,130","2,968","1,535","2,421","3,122","3,423","2,367","3,984","2,816","2,532"
2020년09월_계_60~69세,"54,888","2,048","1,830","2,468","2,516","2,312","1,405","5,281","4,054","2,663","3,107","3,647","2,132","2,833","1,397","2,569","2,607","2,811","2,206","3,065","2,342","1,595"
2020년09월_계_70~79세,"31,126","1,216","1,042","1,581","1,778","1,452",945,"2,666","2,122","1,603","1,826","1,876",960,"1,708",909,"1,696","1,451","1,442","1,289","1,631","1,127",806
2020년09월_계_80~89세,"12,647",525,510,665,674,505,431,"1,101",799,681,728,758,369,720,338,640,635,641,528,641,460,298
2020년09월_계_90~99세,"1,982",78,95,89,111,89,69,160,124,116,126,105,62,106,44,105,100,99,88,81,83,52
2020년09월_계_100세 이상,179,4,16,6,14,13,13,3,7,11,8,12,3,12,5,11,8,9,11,4,6,3
2020년09월_남_총인구수,"203,233","7,434","7,234","8,577","9,222","9,124","3,964","24,007","15,609","9,447","11,691","13,602","10,832","8,658","4,609","7,072","8,802","11,371","6,387","10,561","7,661","7,369"
2020년09월_남_연령구간인구수,"203,233","7,434","7,234","8,577","9,222","9,124","3,964","24,007","15,609","9,447","11,691","13,602","10,832","8,658","4,609","7,072","8,802","11,371","6,387","10,561","7,661","7,369"
2020년09월_남_0~9세,"14,041",576,575,529,344,729,155,"2,200","1,120",598,895,"1,080",725,483,267,310,436,"1,079",304,690,576,370
2020년09월_남_10~19세,"16,370",491,452,743,492,744,194,"2,531","1,820",931,761,"1,057",457,591,351,432,601,944,540,973,663,602
2020년09월_남_20~29세,"30,223",997,"1,044","1,151","2,442","1,347",498,"3,571","2,213","1,339","1,684","1,792","2,140","1,181",684,928,"1,308","1,457",856,"1,540","1,075",976
2020년09월_남_30~39세,"29,853","1,204","1,322","1,215","1,047","1,573",501,"3,332","1,691","1,157","1,935","2,365","2,456","1,141",568,891,"1,344","1,889",773,"1,370",990,"1,089"
2020년09월_남_40~49세,"33,466","1,225","1,134","1,334","1,235","1,376",617,"4,300","2,710","1,523","1,927","2,222","1,793","1,317",748,"1,047","1,443","2,086","1,016","1,682","1,163","1,568"
2020년09월_남_50~59세,"33,813","1,223","1,156","1,439","1,376","1,381",708,"3,902","2,794","1,652","1,889","2,119","1,583","1,524",785,"1,242","1,559","1,689","1,113","1,893","1,307","1,479"
