카테고리,경기도 양평군,경기도 양평군 양평읍,경기도 양평군 강상면,경기도 양평군 강하면,경기도 양평군 양서면,경기도 양평군 옥천면,경기도 양평군 서종면,경기도 양평군 단월면,경기도 양평군 청운면,경기도 양평군 양동면,경기도 양평군 지평면,경기도 양평군 용문면,경기도 양평군 개군면
2021년09월_계_총인구수,"120,997","30,872","10,485","4,823","13,973","8,182","9,933","3,907","3,800","4,650","6,974","18,180","5,218"
2021년09월_계_연령구간인구수,"120,997","30,872","10,485","4,823","13,973","8,182","9,933","3,907","3,800","4,650","6,974","18,180","5,218"
2021년09월_계_0~9세,"7,168","2,146",900,179,755,483,617,124,102,131,246,"1,247",238
2021년09월_계_10~19세,"9,985","3,208",956,252,"1,096",579,885,220,158,202,386,"1,731",312
2021년09월_계_20~29세,"10,652","3,578",822,332,"1,260",753,605,249,216,278,471,"1,701",387
2021년09월_계_30~39세,"10,729","3,152","1,164",359,"1,171",779,834,268,191,287,416,"1,730",378
2021년09월_계_40~49세,"16,320","4,783","1,675",504,"1,855","1,084","1,518",412,359,390,724,"2,425",591
2021년09월_계_50~59세,"20,766","5,343","1,630",883,"2,444","1,419","1,736",680,662,905,"1,209","2,951",904
2021년09월_계_60~69세,"24,477","4,816","1,880","1,317","2,876","1,726","2,178","1,037","1,057","1,220","1,785","3,300","1,285"
2021년09월_계_70~79세,"13,198","2,447",972,700,"1,654",888,"1,047",561,611,710,"1,016","1,887",705
2021년09월_계_80~89세,"6,624","1,228",425,252,734,411,426,310,390,440,600,"1,037",371
2021년09월_계_90~99세,"1,030",163,57,42,116,59,84,45,50,83,118,167,46
2021년09월_계_100세 이상,48,8,4,3,12,1,3,1,4,4,3,4,1
2021년09월_남_총인구수,"60,791","15,470","5,218","2,424","6,989","4,166","4,934","1,985","1,946","2,325","3,557","9,148","2,629"
2021년09월_남_연령구간인구수,"60,791","15,470","5,218","2,424","6,989","4,166","4,934","1,985","1,946","2,325","3,557","9,148","2,629"
2021년09월_남_0~9세,"3,665","1,098",448,95,402,235,299,61,61,78,141,634,113
2021년09월_남_10~19세,"5,306","1,646",506,147,595,312,469,112,91,105,231,924,168
2021년09월_남_20~29세,"5,944","1,992",438,185,693,443,342,142,122,160,260,951,216
2021년09월_남_30~39세,"5,431","1,609",562,190,586,405,386,152,101,161,214,875,190
2021년09월_남_40~49세,"8,289","2,298",830,250,950,586,768,226,212,211,401,"1,242",315
2021년09월_남_50~59세,"10,684","2,744",846,443,"1,209",729,868,356,350,482,645,"1,521",491
2021년09월_남_60~69세,"12,169","2,416",910,628,"1,396",863,"1,048",533,536,599,949,"1,655",636
2021년09월_남_70~79세,"6,500","1,190",499,376,808,428,560,276,297,344,472,895,355
2021년09월_남_80~89세,"2,552",434,165,101,317,148,174,121,162,167,210,416,137
2021년09월_남_90~99세,240,42,14,8,27,17,20,6,13,17,33,35,8
2021년09월_남_100세 이상,11,1,0,1,6,0,0,0,1,1,1,0,0
2021년09월_여_총인구수,"60,206","15,402","5,267","2,399","6,984","4,016","4,999","1,922","1,854","2,325","3,417","9,032","2,589"
2021년09월_여_연령구간인구수,"60,206","15,402","5,267","2,399","6,984","4,016","4,999","1,922","1,854","2,325","3,417","9,032","2,589"
2021년09월_여_0~9세,"3,503","1,048",452,84,353,248,318,63,41,53,105,613,125
2021년09월_여_10~19세,"4,679","1,562",450,105,501,267,416,108,67,97,155,807,144
2021년09월_여_20~29세,"4,708","1,586",384,147,567,310,263,107,94,118,211,750,171
2021년09월_여_30~39세,"5,298","1,543",602,169,585,374,448,116,90,126,202,855,188
2021년09월_여_40~49세,"8,031","2,485",845,254,905,498,750,186,147,179,323,"1,183",276
2021년09월_여_50~59세,"10,082","2,599",784,440,"1,235",690,868,324,312,423,564,"1,430",413
2021년09월_여_60~69세,"12,308","2,400",970,689,"1,480",863,"1,130",504,521,621,836,"1,645",649
2021년09월_여_70~79세,"6,698","1,257",473,324,846,460,487,285,314,366,544,992,350
2021년09월_여_80~89세,"4,072",794,260,151,417,263,252,189,228,273,390,621,234
2021년09월_여_90~99세,790,121,43,34,89,42,64,39,37,66,85,132,38
2021년09월_여_100세 이상,37,7,4,2,6,1,3,1,3,3,2,4,1
