카테고리,서울특별시,서울특별시 종로구,서울특별시 중구,서울특별시 용산구,서울특별시 성동구,서울특별시 광진구,서울특별시 동대문구,서울특별시 중랑구,서울특별시 성북구,서울특별시 강북구,서울특별시 도봉구,서울특별시 노원구,서울특별시 은평구,서울특별시 서대문구,서울특별시 마포구,서울특별시 양천구,서울특별시 강서구,서울특별시 구로구,서울특별시 금천구,서울특별시 영등포구,서울특별시 동작구,서울특별시 관악구,서울특별시 서초구,서울특별시 강남구,서울특별시 송파구,서울특별시 강동구
2020년05월_계_총인구수,"9,724,496","150,623","126,120","229,393","297,820","349,800","345,815","394,982","442,148","312,270","330,149","529,617","478,029","312,869","374,837","458,181","587,553","405,030","232,425","372,568","395,180","499,431","429,340","541,915","672,089","456,312"
2020년05월_계_연령구간인구수,"9,724,496","150,623","126,120","229,393","297,820","349,800","345,815","394,982","442,148","312,270","330,149","529,617","478,029","312,869","374,837","458,181","587,553","405,030","232,425","372,568","395,180","499,431","429,340","541,915","672,089","456,312"
2020년05월_계_0~9세,"648,909","7,948","7,113","13,968","21,133","20,774","21,584","23,795","30,189","16,805","19,825","34,989","30,614","20,633","26,009","33,083","42,183","29,415","13,258","25,506","25,852","23,869","35,174","38,023","52,265","34,902"
2020년05월_계_10~19세,"803,192","11,368","7,188","16,011","20,911","26,803","24,802","27,667","38,579","22,916","26,651","55,137","39,616","24,405","29,224","51,664","46,184","30,812","15,290","24,526","28,860","30,010","45,479","59,435","60,137","39,517"
2020년05월_계_20~29세,"1,463,920","23,432","18,564","33,190","45,596","62,450","55,941","56,090","67,090","43,391","44,508","73,995","66,251","49,970","61,568","60,666","87,368","55,544","36,586","57,944","66,831","109,054","56,232","75,174","95,325","61,160"
2020년05월_계_30~39세,"1,498,555","20,175","20,356","38,129","50,017","57,272","51,044","58,501","61,348","39,957","42,280","66,600","68,701","45,318","65,486","59,527","101,119","63,724","35,612","67,220","63,364","88,167","65,541","84,261","113,227","71,609"
2020년05월_계_40~49세,"1,550,099","22,720","18,453","35,958","46,158","53,749","51,751","58,487","71,440","48,238","49,892","88,464","77,244","48,072","62,124","80,275","92,483","63,915","33,610","55,814","60,013","69,911","78,286","99,688","109,852","73,502"
2020년05월_계_50~59세,"1,536,375","25,763","20,973","36,700","48,100","55,236","54,124","70,294","69,958","53,424","58,076","88,497","77,058","49,692","54,455","77,067","88,027","63,568","40,988","56,478","59,020","69,028","63,093","80,020","103,761","72,975"
2020년05월_계_60~69세,"1,211,955","19,510","17,163","27,919","35,688","41,299","45,443","56,229","53,770","44,914","48,444","66,218","62,297","37,550","38,749","55,794","74,848","54,322","32,088","45,567","48,215","58,123","47,020","58,160","81,799","60,826"
2020년05월_계_70~79세,"694,958","12,571","10,570","17,205","20,551","22,208","28,123","30,871","33,615","29,838","27,435","37,087","38,614","24,410","24,486","27,799","38,364","31,169","17,763","26,771","29,471","36,752","26,993","33,361","39,257","29,674"
2020년05월_계_80~89세,"268,829","5,825","4,686","8,381","8,272","8,553","11,136","11,289","13,809","11,078","11,249","15,977","15,162","10,940","10,796","10,481","14,342","10,946","6,249","10,935","11,514","12,540","9,515","11,325","13,742","10,087"
2020년05월_계_90~99세,"41,193","1,044",858,"1,567","1,155","1,248","1,569","1,562","1,973","1,465","1,619","2,388","2,059","1,597","1,615","1,652","2,402","1,446",810,"1,533","1,734","1,663","1,790","2,187","2,440","1,817"
2020년05월_계_100세 이상,"6,511",267,196,365,239,208,298,197,377,244,170,265,413,282,325,173,233,169,171,274,306,314,217,281,284,243
2020년05월_남_총인구수,"4,735,431","73,407","61,747","110,537","145,567","169,049","171,565","195,693","213,614","152,333","161,195","256,045","230,062","150,058","176,985","225,084","284,115","200,098","117,899","184,535","191,281","250,628","205,264","259,158","324,643","224,869"
2020년05월_남_연령구간인구수,"4,735,431","73,407","61,747","110,537","145,567","169,049","171,565","195,693","213,614","152,333","161,195","256,045","230,062","150,058","176,985","225,084","284,115","200,098","117,899","184,535","191,281","250,628","205,264","259,158","324,643","224,869"
2020년05월_남_0~9세,"333,248","4,021","3,610","7,231","10,801","10,578","11,031","12,289","15,418","8,693","10,216","18,038","15,701","10,602","13,184","16,993","21,533","15,030","6,783","12,968","13,210","12,260","18,217","19,718","27,018","18,105"
2020년05월_남_10~19세,"411,862","5,734","3,609","8,142","10,442","13,648","12,540","14,135","19,592","11,793","13,741","28,557","20,216","12,172","14,761","26,934","23,529","15,878","7,746","12,821","14,787","15,388","23,166","30,979","30,738","20,814"
2020년05월_남_20~29세,"713,036","11,568","8,921","15,861","22,614","29,501","27,953","27,989","32,560","21,288","22,677","38,125","32,093","24,131","28,032","31,115","40,827","27,275","18,701","27,326","32,341","53,275","27,045","35,963","45,523","30,332"
2020년05월_남_30~39세,"749,894","10,033","10,208","19,003","24,557","28,281","26,464","30,269","30,549","21,010","21,636","33,214","34,181","22,532","31,034","29,295","51,339","32,548","19,713","34,645","32,067","48,579","30,084","38,547","54,369","35,737"
2020년05월_남_40~49세,"767,985","11,050","9,388","17,691","23,156","26,538","26,672","30,134","35,168","24,697","24,683","42,184","38,209","23,764","30,233","38,448","46,447","32,811","17,541","28,694","30,050","37,228","36,897","46,421","52,983","36,898"
2020년05월_남_50~59세,"753,933","12,947","10,678","18,183","24,043","26,954","27,235","34,739","34,437","26,086","27,646","42,893","37,077","24,085","26,791","38,297","41,994","31,314","20,643","28,693","28,319","34,389","30,885","39,889","50,179","35,537"
2020년05월_남_60~69세,"572,501","9,677","8,532","13,266","17,304","19,617","22,008","27,292","25,287","20,893","23,230","30,848","28,767","17,628","17,917","26,873","34,741","25,659","15,746","22,156","22,173","27,006","21,668","26,569","38,714","28,930"
2020년05월_남_70~79세,"316,917","5,600","4,744","7,458","9,179","10,213","12,689","14,084","14,680","13,017","12,601","16,018","17,088","10,427","10,355","13,075","18,009","14,847","8,293","12,340","13,257","16,882","12,707","15,810","19,184","14,360"
2020년05월_남_80~89세,"103,579","2,325","1,730","3,104","3,087","3,330","4,425","4,354","5,319","4,385","4,278","5,503","6,072","4,201","4,151","3,606","5,059","4,348","2,472","4,397","4,528","5,157","4,065","4,679","5,294","3,710"
2020년05월_남_90~99세,"10,776",364,263,493,316,340,459,363,511,410,442,584,580,441,448,404,563,351,204,428,459,397,475,527,570,384
2020년05월_남_100세 이상,"1,700",88,64,105,68,49,89,45,93,61,45,81,78,75,79,44,74,37,57,67,90,67,55,56,71,62
2020년05월_여_총인구수,"4,989,065","77,216","64,373","118,856","152,253","180,751","174,250","199,289","228,534","159,937","168,954","273,572","247,967","162,811","197,852","233,097","303,438","204,932","114,526","188,033","203,899","248,803","224,076","282,757","347,446","231,443"
2020년05월_여_연령구간인구수,"4,989,065","77,216","64,373","118,856","152,253","180,751","174,250","199,289","228,534","159,937","168,954","273,572","247,967","162,811","197,852","233,097","303,438","204,932","114,526","188,033","203,899","248,803","224,076","282,757","347,446","231,443"
