카테고리,부산광역시,부산광역시 중구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 동래구,부산광역시 남구,부산광역시 북구,부산광역시 해운대구,부산광역시 사하구,부산광역시 금정구,부산광역시 강서구,부산광역시 연제구,부산광역시 수영구,부산광역시 사상구,부산광역시 기장군
2020년03월_계_총인구수,"3,409,932","41,764","107,669","89,289","115,886","356,661","272,319","272,381","289,575","405,155","318,866","237,508","131,140","210,326","176,967","216,840","167,586"
2020년03월_계_연령구간인구수,"3,409,932","41,764","107,669","89,289","115,886","356,661","272,319","272,381","289,575","405,155","318,866","237,508","131,140","210,326","176,967","216,840","167,586"
2020년03월_계_0~9세,"240,857","1,458","5,609","4,246","5,630","21,826","20,195","19,055","20,098","29,522","21,498","13,852","19,462","15,323","10,593","13,409","19,081"
2020년03월_계_10~19세,"279,909","2,208","7,417","5,359","7,798","25,737","25,347","24,019","24,688","39,311","26,595","18,758","10,673","16,923","12,270","15,907","16,899"
2020년03월_계_20~29세,"435,280","5,507","13,527","10,594","12,367","51,504","33,535","35,500","39,033","49,937","41,262","34,053","11,877","26,467","24,288","29,744","16,085"
2020년03월_계_30~39세,"430,494","4,535","11,421","10,499","11,324","47,394","34,024","32,016","35,160","48,091","39,361","26,514","26,565","28,131","24,127","26,562","24,770"
2020년03월_계_40~49세,"516,889","5,596","14,680","12,198","15,842","51,828","43,452","42,839","41,781","67,128","47,515","33,268","21,672","32,143","25,757","30,389","30,801"
2020년03월_계_50~59세,"579,584","7,229","18,347","15,031","20,346","59,153","45,147","43,919","55,939","71,115","56,674","42,032","16,501","34,722","27,947","42,734","22,748"
2020년03월_계_60~69세,"513,485","7,781","18,525","15,683","21,650","53,960","39,865","40,214","43,392","55,690","49,610","37,843","14,807","31,500","27,833","35,264","19,868"
2020년03월_계_70~79세,"286,808","4,977","12,163","10,606","14,450","31,179","21,714","24,540","20,638","30,204","25,596","21,426","6,578","17,684","16,791","16,534","11,728"
2020년03월_계_80~89세,"110,254","2,035","5,125","4,417","5,613","12,364","7,859","9,037","7,739","12,357","9,319","8,428","2,529","6,533","6,446","5,588","4,865"
2020년03월_계_90~99세,"14,551",356,740,558,738,"1,493","1,045","1,109","1,007","1,644","1,274","1,140",435,821,850,642,699
2020년03월_계_100세 이상,"1,821",82,115,98,128,223,136,133,100,156,162,194,41,79,65,67,42
2020년03월_남_총인구수,"1,672,252","20,454","52,230","43,844","57,150","172,634","132,743","133,353","143,363","195,405","159,079","116,174","67,778","101,595","83,806","109,636","83,008"
