카테고리,경기도 안산시,경기도 안산시 상록구,경기도 안산시 상록구 일동,경기도 안산시 상록구 이동,경기도 안산시 상록구 사동,경기도 안산시 상록구 사이동,경기도 안산시 상록구 해양동,경기도 안산시 상록구 본오1동,경기도 안산시 상록구 본오2동,경기도 안산시 상록구 본오3동,경기도 안산시 상록구 부곡동,경기도 안산시 상록구 월피동,경기도 안산시 상록구 성포동,경기도 안산시 상록구 반월동,경기도 안산시 상록구 안산동,경기도 안산시 단원구,경기도 안산시 단원구 와동,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 중앙동,경기도 안산시 단원구 호수동,경기도 안산시 단원구 원곡동,경기도 안산시 단원구 백운동,경기도 안산시 단원구 신길동,경기도 안산시 단원구 초지동,경기도 안산시 단원구 선부1동,경기도 안산시 단원구 선부2동,경기도 안산시 단원구 선부3동,경기도 안산시 단원구 대부동
2021년08월_계_총인구수,"654,477","352,166","24,756","23,984","32,737","32,755","41,057","37,473","26,411","19,823","21,734","38,242","26,432","17,695","9,067","302,311","38,530","21,658","25,037","43,999","6,154","19,815","22,536","46,985","17,772","16,019","34,768","9,038"
2021년08월_계_연령구간인구수,"654,477","352,166","24,756","23,984","32,737","32,755","41,057","37,473","26,411","19,823","21,734","38,242","26,432","17,695","9,067","302,311","38,530","21,658","25,037","43,999","6,154","19,815","22,536","46,985","17,772","16,019","34,768","9,038"
2021년08월_계_0~9세,"42,718","22,534","1,604","1,034","1,691","2,376","4,418","2,453","1,466",881,"1,398","2,114","1,616","1,043",440,"20,184","2,493","1,109","1,503","3,353",279,"1,427","1,540","3,720","1,286",859,"2,303",312
2021년08월_계_10~19세,"62,144","33,539","2,402","1,546","2,743","3,471","5,129","3,890","2,656","1,644","2,058","3,552","2,461","1,240",747,"28,605","3,784","1,817","2,063","5,114",321,"1,829","2,412","4,564","1,394","1,468","3,475",364
2021년08월_계_20~29세,"106,321","58,405","3,762","4,391","6,003","5,310","7,075","5,881","4,361","3,467","3,352","7,037","4,541","2,126","1,099","47,916","5,965","4,111","5,241","7,390",459,"2,944","3,088","7,350","2,660","2,389","5,600",719
2021년08월_계_30~39세,"85,208","44,022","3,000","3,732","4,518","4,185","5,706","4,438","2,904","2,414","2,400","4,436","3,264","2,091",934,"41,186","4,933","3,116","3,902","5,493",629,"2,814","2,822","7,255","2,965","1,785","4,798",674
2021년08월_계_40~49세,"105,259","56,389","4,352","3,857","5,352","5,343","7,151","6,661","4,167","2,961","3,487","5,736","3,444","2,576","1,302","48,870","6,924","3,156","3,594","7,054",947,"2,954","3,951","7,957","2,689","2,700","5,964",980
2021년08월_계_50~59세,"127,762","69,125","4,710","4,504","6,371","6,333","6,836","7,374","5,479","4,191","4,714","8,047","5,542","3,178","1,846","58,637","7,566","4,095","4,446","8,891","1,573","3,886","4,349","8,279","3,286","3,542","6,784","1,940"
2021년08월_계_60~69세,"77,543","41,192","2,751","2,864","3,141","3,659","3,448","3,984","3,128","2,467","2,609","4,671","3,701","3,119","1,650","36,351","4,207","2,588","2,973","4,681","1,069","2,665","2,820","4,823","2,266","2,065","3,863","2,331"
2021년08월_계_70~79세,"30,103","16,935","1,436","1,336","1,563","1,298",867,"1,796","1,421","1,110","1,059","1,618","1,139","1,604",688,"13,168","1,704","1,075",847,"1,250",585,923,"1,001","1,911",775,789,"1,235","1,073"
2021년08월_계_80~89세,"15,110","8,683",637,620,"1,145",678,362,887,727,621,589,900,584,618,315,"6,427",833,530,392,652,268,327,472,966,394,371,667,555
2021년08월_계_90~99세,"2,213","1,289",98,94,199,98,65,109,97,67,65,124,131,97,45,924,115,60,71,119,24,37,78,155,55,48,77,85
2021년08월_계_100세 이상,96,53,4,6,11,4,0,0,5,0,3,7,9,3,1,43,6,1,5,2,0,9,3,5,2,3,2,5
2021년08월_남_총인구수,"335,701","179,726","12,646","12,799","17,204","16,580","20,686","19,403","13,087","9,927","11,197","19,566","12,972","8,917","4,742","155,975","20,348","10,832","12,467","22,128","3,534","9,996","12,118","24,138","9,121","8,678","17,849","4,766"
2021년08월_남_연령구간인구수,"335,701","179,726","12,646","12,799","17,204","16,580","20,686","19,403","13,087","9,927","11,197","19,566","12,972","8,917","4,742","155,975","20,348","10,832","12,467","22,128","3,534","9,996","12,118","24,138","9,121","8,678","17,849","4,766"
2021년08월_남_0~9세,"21,822","11,488",808,509,883,"1,244","2,167","1,274",739,463,720,"1,097",844,515,225,"10,334","1,276",553,776,"1,691",141,725,799,"1,914",676,427,"1,170",186
2021년08월_남_10~19세,"32,005","17,181","1,174",797,"1,440","1,778","2,610","2,028","1,296",833,"1,015","1,892","1,282",648,388,"14,824","2,002",949,"1,033","2,672",166,921,"1,240","2,325",730,791,"1,801",194
2021년08월_남_20~29세,"56,563","31,108","1,947","2,333","3,303","2,811","3,789","3,127","2,257","1,805","1,781","3,777","2,390","1,161",627,"25,455","3,297","2,047","2,615","3,792",283,"1,523","1,778","3,956","1,426","1,292","3,028",418
