카테고리,전라남도 담양군,전라남도 담양군 담양읍,전라남도 담양군 봉산면,전라남도 담양군 고서면,전라남도 담양군 가사문학면,전라남도 담양군 창평면,전라남도 담양군 대덕면,전라남도 담양군 무정면,전라남도 담양군 금성면,전라남도 담양군 용면,전라남도 담양군 월산면,전라남도 담양군 수북면,전라남도 담양군 대전면
2021년03월_계_총인구수,"46,541","15,096","2,774","3,159","1,234","3,682","1,944","2,759","2,640","1,847","2,471","4,545","4,390"
2021년03월_계_연령구간인구수,"46,541","15,096","2,774","3,159","1,234","3,682","1,944","2,759","2,640","1,847","2,471","4,545","4,390"
2021년03월_계_0~9세,"2,341","1,136",123,113,28,144,61,66,87,67,103,216,197
2021년03월_계_10~19세,"2,984","1,250",106,159,52,228,104,106,117,80,120,322,340
2021년03월_계_20~29세,"4,773","1,731",220,275,87,310,180,564,217,162,189,426,412
2021년03월_계_30~39세,"3,684","1,613",203,225,73,245,124,141,185,113,189,279,294
2021년03월_계_40~49세,"5,246","2,039",290,316,108,355,175,215,256,167,244,566,515
2021년03월_계_50~59세,"8,189","2,429",504,586,243,693,388,427,460,335,448,863,813
2021년03월_계_60~69세,"8,493","2,220",592,686,283,731,406,504,533,403,520,850,765
2021년03월_계_70~79세,"6,305","1,632",442,500,193,557,284,405,428,319,399,566,580
2021년03월_계_80~89세,"3,901",891,249,258,141,377,189,286,304,172,231,387,416
2021년03월_계_90~99세,599,148,44,38,25,40,32,44,48,27,26,69,58
2021년03월_계_100세 이상,26,7,1,3,1,2,1,1,5,2,2,1,0
2021년03월_남_총인구수,"23,599","7,616","1,418","1,589",626,"1,858","1,004","1,543","1,340",915,"1,239","2,280","2,171"
2021년03월_남_연령구간인구수,"23,599","7,616","1,418","1,589",626,"1,858","1,004","1,543","1,340",915,"1,239","2,280","2,171"
2021년03월_남_0~9세,"1,170",547,61,55,9,79,35,34,44,40,45,120,101
2021년03월_남_10~19세,"1,556",669,57,79,26,113,63,54,59,37,59,177,163
2021년03월_남_20~29세,"2,830",988,124,149,48,175,98,475,119,83,101,236,234
2021년03월_남_30~39세,"1,902",821,107,125,37,128,69,79,107,51,90,143,145
2021년03월_남_40~49세,"3,021","1,116",194,184,63,211,97,127,172,102,156,307,292
2021년03월_남_50~59세,"4,489","1,280",282,314,141,382,210,236,263,184,253,477,467
2021년03월_남_60~69세,"4,397","1,118",299,368,158,392,235,253,263,199,270,439,403
2021년03월_남_70~79세,"2,821",738,194,222,89,239,125,185,198,150,193,253,235
2021년03월_남_80~89세,"1,277",306,90,82,48,130,66,90,104,60,69,108,124
2021년03월_남_90~99세,136,33,10,11,7,9,6,10,11,9,3,20,7
2021년03월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년03월_여_총인구수,"22,942","7,480","1,356","1,570",608,"1,824",940,"1,216","1,300",932,"1,232","2,265","2,219"
2021년03월_여_연령구간인구수,"22,942","7,480","1,356","1,570",608,"1,824",940,"1,216","1,300",932,"1,232","2,265","2,219"
2021년03월_여_0~9세,"1,171",589,62,58,19,65,26,32,43,27,58,96,96
2021년03월_여_10~19세,"1,428",581,49,80,26,115,41,52,58,43,61,145,177
2021년03월_여_20~29세,"1,943",743,96,126,39,135,82,89,98,79,88,190,178
2021년03월_여_30~39세,"1,782",792,96,100,36,117,55,62,78,62,99,136,149
2021년03월_여_40~49세,"2,225",923,96,132,45,144,78,88,84,65,88,259,223
2021년03월_여_50~59세,"3,700","1,149",222,272,102,311,178,191,197,151,195,386,346
2021년03월_여_60~69세,"4,096","1,102",293,318,125,339,171,251,270,204,250,411,362
2021년03월_여_70~79세,"3,484",894,248,278,104,318,159,220,230,169,206,313,345
2021년03월_여_80~89세,"2,624",585,159,176,93,247,123,196,200,112,162,279,292
2021년03월_여_90~99세,463,115,34,27,18,31,26,34,37,18,23,49,51
2021년03월_여_100세 이상,26,7,1,3,1,2,1,1,5,2,2,1,0
