카테고리,경상북도 안동시,경상북도 안동시 풍산읍,경상북도 안동시 와룡면,경상북도 안동시 북후면,경상북도 안동시 서후면,경상북도 안동시 풍천면,경상북도 안동시 일직면,경상북도 안동시 남후면,경상북도 안동시 남선면,경상북도 안동시 임하면,경상북도 안동시 길안면,경상북도 안동시 임동면,경상북도 안동시 예안면,경상북도 안동시 도산면,경상북도 안동시 녹전면,경상북도 안동시 중구동,경상북도 안동시 명륜동,경상북도 안동시 용상동,경상북도 안동시 서구동,경상북도 안동시 태화동,경상북도 안동시 평화동,경상북도 안동시 안기동,경상북도 안동시 옥동,경상북도 안동시 송하동,경상북도 안동시 강남동
2021년04월_계_총인구수,"158,210","6,351","4,074","2,993","3,534","6,874","2,746","1,771","2,109","2,829","2,723","1,754","1,855","1,631","1,736","5,181","5,013","22,190","9,124","13,146","6,280","6,189","21,547","16,144","10,416"
2021년04월_계_연령구간인구수,"158,210","6,351","4,074","2,993","3,534","6,874","2,746","1,771","2,109","2,829","2,723","1,754","1,855","1,631","1,736","5,181","5,013","22,190","9,124","13,146","6,280","6,189","21,547","16,144","10,416"
2021년04월_계_0~9세,"10,421",191,100,61,82,436,44,29,56,57,44,31,44,22,31,230,298,"1,884",631,884,373,334,"1,938","1,530","1,091"
2021년04월_계_10~19세,"13,564",266,191,83,129,377,128,56,78,108,77,49,54,47,63,356,416,"2,337",884,940,515,551,"2,598","1,738","1,523"
2021년04월_계_20~29세,"16,544",438,280,139,288,972,145,82,152,173,120,68,83,72,64,621,514,"2,967",848,"1,390",627,665,"2,658","1,903","1,275"
2021년04월_계_30~39세,"15,345",369,208,154,208,"1,049",112,80,134,145,118,59,76,64,72,502,427,"2,531",798,"1,492",564,559,"2,398","2,115","1,111"
2021년04월_계_40~49세,"21,956",566,322,306,350,778,231,159,159,259,172,149,116,121,123,623,702,"3,536","1,369","1,849",889,837,"3,729","2,576","2,035"
2021년04월_계_50~59세,"26,083","1,066",667,530,597,935,436,275,429,507,519,288,352,285,279,804,930,"3,475","1,441","2,205","1,041","1,154","3,526","2,728","1,614"
2021년04월_계_60~69세,"26,279","1,446",933,685,884,"1,018",640,407,507,716,702,492,500,432,475,928,854,"2,830","1,522","2,240","1,168","1,179","2,693","2,073",955
2021년04월_계_70~79세,"16,523","1,094",719,533,533,742,547,352,317,472,543,344,341,335,342,716,558,"1,630","1,002","1,414",705,634,"1,241",892,517
2021년04월_계_80~89세,"9,929",779,564,436,383,479,401,281,235,325,383,246,264,218,256,337,277,873,550,649,342,237,667,497,250
2021년04월_계_90~99세,"1,502",126,85,66,80,82,59,49,41,65,44,23,24,35,31,63,37,125,74,78,54,39,95,85,42
2021년04월_계_100세 이상,64,10,5,0,0,6,3,1,1,2,1,5,1,0,0,1,0,2,5,5,2,0,4,7,3
2021년04월_남_총인구수,"78,279","3,198","2,107","1,570","1,861","3,503","1,334",884,"1,080","1,483","1,379",907,964,854,903,"2,527","2,392","11,033","4,400","6,532","3,036","3,066","10,274","7,854","5,138"
2021년04월_남_연령구간인구수,"78,279","3,198","2,107","1,570","1,861","3,503","1,334",884,"1,080","1,483","1,379",907,964,854,903,"2,527","2,392","11,033","4,400","6,532","3,036","3,066","10,274","7,854","5,138"
2021년04월_남_0~9세,"5,455",104,55,35,41,225,25,16,28,29,17,20,26,13,20,128,160,972,342,442,185,177,"1,014",811,570
2021년04월_남_10~19세,"7,076",147,117,50,76,191,79,34,37,54,40,24,38,25,30,189,194,"1,234",449,505,268,283,"1,316",892,804
2021년04월_남_20~29세,"9,050",258,158,93,167,504,87,48,98,104,71,41,53,44,37,349,266,"1,658",461,778,349,363,"1,394","1,023",646
2021년04월_남_30~39세,"7,976",209,121,101,130,580,62,59,81,88,72,34,45,44,46,241,210,"1,294",395,797,311,299,"1,169","1,068",520
2021년04월_남_40~49세,"11,410",344,201,201,222,437,139,101,104,173,125,99,74,83,83,348,369,"1,770",689,992,453,424,"1,783","1,242",954
2021년04월_남_50~59세,"13,388",588,379,315,343,526,252,151,232,303,302,177,186,169,163,415,472,"1,760",734,"1,085",490,562,"1,655","1,289",840
2021년04월_남_60~69세,"12,739",726,502,355,470,505,306,221,259,392,386,270,270,215,265,403,390,"1,324",664,"1,033",513,544,"1,245","1,009",472
2021년04월_남_70~79세,"7,394",517,338,250,256,341,244,155,153,217,222,152,167,168,163,316,238,698,444,634,323,308,487,361,242
