,경상북도 울릉군,경상북도 울릉군 울릉읍,경상북도 울릉군 서면,경상북도 울릉군 서면태하출장소,경상북도 울릉군 북면
2020년05월_계_총인구수,"9,243","6,532",883,473,"1,355"
2020년05월_계_연령구간인구수,"9,243","6,532",883,473,"1,355"
2020년05월_계_0~9세,420,306,43,17,54
2020년05월_계_10~19세,490,387,38,17,48
2020년05월_계_20~29세,828,606,73,27,122
2020년05월_계_30~39세,922,685,62,37,138
2020년05월_계_40~49세,"1,331","1,017",97,35,182
2020년05월_계_50~59세,"1,895","1,351",200,96,248
2020년05월_계_60~69세,"1,756","1,203",174,110,269
2020년05월_계_70~79세,"1,019",654,113,84,168
2020년05월_계_80~89세,496,278,76,35,107
2020년05월_계_90~99세,75,34,7,15,19
2020년05월_계_100세 이상,11,11,0,0,0
2020년05월_남_총인구수,"5,033","3,567",475,246,745
2020년05월_남_연령구간인구수,"5,033","3,567",475,246,745
2020년05월_남_0~9세,222,163,21,11,27
2020년05월_남_10~19세,243,181,25,11,26
2020년05월_남_20~29세,492,353,48,12,79
2020년05월_남_30~39세,548,408,34,22,84
2020년05월_남_40~49세,828,623,61,23,121
2020년05월_남_50~59세,"1,081",774,118,51,138
2020년05월_남_60~69세,932,644,96,54,138
2020년05월_남_70~79세,465,295,44,45,81
2020년05월_남_80~89세,197,112,26,13,46
2020년05월_남_90~99세,20,9,2,4,5
2020년05월_남_100세 이상,5,5,0,0,0
2020년05월_여_총인구수,"4,210","2,965",408,227,610
2020년05월_여_연령구간인구수,"4,210","2,965",408,227,610
2020년05월_여_0~9세,198,143,22,6,27
2020년05월_여_10~19세,247,206,13,6,22
2020년05월_여_20~29세,336,253,25,15,43
2020년05월_여_30~39세,374,277,28,15,54
2020년05월_여_40~49세,503,394,36,12,61
2020년05월_여_50~59세,814,577,82,45,110
2020년05월_여_60~69세,824,559,78,56,131
2020년05월_여_70~79세,554,359,69,39,87
2020년05월_여_80~89세,299,166,50,22,61
2020년05월_여_90~99세,55,25,5,11,14
2020년05월_여_100세 이상,6,6,0,0,0
