,경상북도 영덕군,경상북도 영덕군 영덕읍,경상북도 영덕군 강구면,경상북도 영덕군 남정면,경상북도 영덕군 달산면,경상북도 영덕군 지품면,경상북도 영덕군 지품면원전출장소,경상북도 영덕군 축산면,경상북도 영덕군 축산면축산출장소,경상북도 영덕군 영해면,경상북도 영덕군 병곡면,경상북도 영덕군 창수면
2020년08월_계_총인구수,"36,591","11,134","6,297","2,388","1,142","1,488",536,943,"1,751","6,440","2,783","1,689"
2020년08월_계_연령구간인구수,"36,591","11,134","6,297","2,388","1,142","1,488",536,943,"1,751","6,440","2,783","1,689"
2020년08월_계_0~9세,"1,738",841,241,53,17,37,8,34,40,357,84,26
2020년08월_계_10~19세,"2,117",931,294,66,44,38,18,36,77,445,120,48
2020년08월_계_20~29세,"2,495",969,453,132,52,77,16,50,89,481,119,57
2020년08월_계_30~39세,"2,510","1,078",402,113,50,56,12,37,84,480,135,63
2020년08월_계_40~49세,"3,969","1,594",715,196,68,111,31,86,170,690,202,106
2020년08월_계_50~59세,"6,243","1,864","1,151",408,181,279,77,146,309,"1,122",445,261
2020년08월_계_60~69세,"7,304","1,789","1,373",555,273,361,145,192,414,"1,190",609,403
2020년08월_계_70~79세,"5,965","1,243","1,076",480,250,307,141,198,366,942,563,399
2020년08월_계_80~89세,"3,723",708,526,333,177,197,79,145,185,638,450,285
2020년08월_계_90~99세,500,108,64,51,28,24,9,17,17,94,54,34
2020년08월_계_100세 이상,27,9,2,1,2,1,0,2,0,1,2,7
2020년08월_남_총인구수,"17,334","5,322","2,975","1,160",506,735,252,449,827,"2,979","1,299",830
2020년08월_남_연령구간인구수,"17,334","5,322","2,975","1,160",506,735,252,449,827,"2,979","1,299",830
2020년08월_남_0~9세,859,404,127,29,10,21,3,20,25,164,43,13
2020년08월_남_10~19세,"1,093",464,166,40,22,21,9,20,43,229,56,23
2020년08월_남_20~29세,"1,439",554,259,82,29,48,10,29,46,276,72,34
2020년08월_남_30~39세,"1,288",520,217,66,29,29,8,18,47,242,75,37
2020년08월_남_40~49세,"2,225",822,405,128,35,75,24,52,102,366,142,74
2020년08월_남_50~59세,"3,290",991,586,229,98,155,43,86,159,562,241,140
2020년08월_남_60~69세,"3,491",833,641,288,140,184,68,90,196,548,291,212
2020년08월_남_70~79세,"2,375",492,407,184,90,127,56,85,147,384,226,177
2020년08월_남_80~89세,"1,173",218,161,103,48,66,30,43,55,196,142,111
2020년08월_남_90~99세,94,21,5,11,5,9,1,5,7,12,11,7
2020년08월_남_100세 이상,7,3,1,0,0,0,0,1,0,0,0,2
2020년08월_여_총인구수,"19,257","5,812","3,322","1,228",636,753,284,494,924,"3,461","1,484",859
2020년08월_여_연령구간인구수,"19,257","5,812","3,322","1,228",636,753,284,494,924,"3,461","1,484",859
2020년08월_여_0~9세,879,437,114,24,7,16,5,14,15,193,41,13
2020년08월_여_10~19세,"1,024",467,128,26,22,17,9,16,34,216,64,25
2020년08월_여_20~29세,"1,056",415,194,50,23,29,6,21,43,205,47,23
2020년08월_여_30~39세,"1,222",558,185,47,21,27,4,19,37,238,60,26
2020년08월_여_40~49세,"1,744",772,310,68,33,36,7,34,68,324,60,32
2020년08월_여_50~59세,"2,953",873,565,179,83,124,34,60,150,560,204,121
2020년08월_여_60~69세,"3,813",956,732,267,133,177,77,102,218,642,318,191
2020년08월_여_70~79세,"3,590",751,669,296,160,180,85,113,219,558,337,222
2020년08월_여_80~89세,"2,550",490,365,230,129,131,49,102,130,442,308,174
2020년08월_여_90~99세,406,87,59,40,23,15,8,12,10,82,43,27
2020년08월_여_100세 이상,20,6,1,1,2,1,0,1,0,1,2,5
