카테고리,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2020년03월_계_총인구수,"406,829","14,529","13,978","17,122","17,305","18,171","7,655","47,318","32,217","19,591","23,884","26,907","20,728","18,271","9,010","14,508","17,831","23,026","13,316","21,887","15,797","13,778"
2020년03월_계_연령구간인구수,"406,829","14,529","13,978","17,122","17,305","18,171","7,655","47,318","32,217","19,591","23,884","26,907","20,728","18,271","9,010","14,508","17,831","23,026","13,316","21,887","15,797","13,778"
2020년03월_계_0~9세,"28,606","1,160","1,060","1,095",698,"1,393",304,"4,469","2,408","1,297","1,802","2,221","1,433","1,054",528,642,896,"2,179",662,"1,430","1,102",773
2020년03월_계_10~19세,"32,685",963,843,"1,375","1,043","1,407",399,"4,902","3,591","1,893","1,645","2,081",915,"1,209",707,914,"1,271","1,879","1,051","1,997","1,355","1,245"
2020년03월_계_20~29세,"57,106","1,876","2,030","2,161","3,761","2,773",860,"6,336","4,241","2,535","3,381","3,490","4,339","2,326","1,123","1,719","2,604","2,866","1,619","2,971","2,213","1,882"
2020년03월_계_30~39세,"57,082","2,200","2,374","2,320","1,879","2,913",872,"6,520","3,547","2,373","3,851","4,324","4,455","2,284","1,028","1,698","2,456","3,805","1,509","2,715","2,046","1,913"
2020년03월_계_40~49세,"64,309","2,165","2,036","2,575","2,184","2,703","1,058","8,448","5,723","3,127","3,675","4,131","3,113","2,644","1,444","1,980","2,722","3,961","2,036","3,468","2,314","2,802"
2020년03월_계_50~59세,"68,093","2,380","2,234","2,837","2,698","2,717","1,346","7,732","5,681","3,424","3,829","4,357","3,116","3,177","1,549","2,522","3,197","3,465","2,405","4,076","2,853","2,498"
2020년03월_계_60~69세,"53,758","2,000","1,787","2,432","2,490","2,287","1,398","5,074","3,973","2,612","3,028","3,586","2,042","2,930","1,375","2,589","2,527","2,717","2,143","2,959","2,270","1,539"
2020년03월_계_70~79세,"30,692","1,193","1,010","1,567","1,755","1,396",930,"2,626","2,127","1,551","1,807","1,851",914,"1,806",891,"1,681","1,408","1,435","1,275","1,574","1,118",777
2020년03월_계_80~89세,"12,434",515,497,659,673,488,413,"1,056",809,657,740,749,346,721,320,648,639,615,520,619,452,298
2020년03월_계_90~99세,"1,888",73,90,95,109,82,62,153,110,111,118,105,52,108,40,104,102,96,88,74,67,49
2020년03월_계_100세 이상,176,4,17,6,15,12,13,2,7,11,8,12,3,12,5,11,9,8,8,4,7,2
2020년03월_남_총인구수,"204,964","7,344","7,054","8,626","9,311","9,186","4,021","23,505","16,046","9,677","11,885","13,680","10,817","9,275","4,590","7,233","8,875","11,485","6,499","10,736","7,782","7,337"
2020년03월_남_연령구간인구수,"204,964","7,344","7,054","8,626","9,311","9,186","4,021","23,505","16,046","9,677","11,885","13,680","10,817","9,275","4,590","7,233","8,875","11,485","6,499","10,736","7,782","7,337"
2020년03월_남_0~9세,"14,620",584,545,562,368,734,152,"2,285","1,218",647,924,"1,098",767,536,280,317,443,"1,119",324,738,596,383
2020년03월_남_10~19세,"16,894",496,431,754,533,778,205,"2,548","1,871",988,805,"1,081",459,639,357,456,642,965,555,"1,009",684,638
2020년03월_남_20~29세,"30,278",991,"1,015","1,122","2,415","1,401",507,"3,296","2,261","1,384","1,704","1,806","2,183","1,292",636,937,"1,327","1,465",853,"1,570","1,121",992
2020년03월_남_30~39세,"30,569","1,182","1,318","1,289","1,076","1,568",517,"3,251","1,797","1,236","2,044","2,370","2,494","1,235",563,941,"1,362","1,958",811,"1,433","1,044","1,080"
2020년03월_남_40~49세,"33,917","1,216","1,098","1,325","1,270","1,411",637,"4,280","2,827","1,555","1,971","2,229","1,724","1,435",774,"1,072","1,471","2,101","1,071","1,712","1,176","1,562"
2020년03월_남_50~59세,"34,090","1,207","1,129","1,440","1,388","1,361",739,"3,825","2,829","1,666","1,909","2,183","1,573","1,643",794,"1,273","1,585","1,707","1,137","1,941","1,314","1,447"
2020년03월_남_60~69세,"25,782",958,900,"1,150","1,172","1,075",673,"2,439","1,961","1,247","1,432","1,789","1,038","1,371",669,"1,192","1,197","1,242",989,"1,394","1,115",779
2020년03월_남_70~79세,"13,879",517,438,737,796,662,400,"1,197",956,713,797,828,437,832,389,768,621,665,540,695,553,338
2020년03월_남_80~89세,"4,462",170,166,214,265,171,167,353,294,213,269,271,132,268,111,256,202,243,198,226,160,113
2020년03월_남_90~99세,426,23,11,33,25,21,21,31,28,23,29,20,8,22,15,18,22,17,19,18,18,4
2020년03월_남_100세 이상,47,0,3,0,3,4,3,0,4,5,1,5,2,2,2,3,3,3,2,0,1,1
2020년03월_여_총인구수,"201,865","7,185","6,924","8,496","7,994","8,985","3,634","23,813","16,171","9,914","11,999","13,227","9,911","8,996","4,420","7,275","8,956","11,541","6,817","11,151","8,015","6,441"
2020년03월_여_연령구간인구수,"201,865","7,185","6,924","8,496","7,994","8,985","3,634","23,813","16,171","9,914","11,999","13,227","9,911","8,996","4,420","7,275","8,956","11,541","6,817","11,151","8,015","6,441"
2020년03월_여_0~9세,"13,986",576,515,533,330,659,152,"2,184","1,190",650,878,"1,123",666,518,248,325,453,"1,060",338,692,506,390
2020년03월_여_10~19세,"15,791",467,412,621,510,629,194,"2,354","1,720",905,840,"1,000",456,570,350,458,629,914,496,988,671,607
2020년03월_여_20~29세,"26,828",885,"1,015","1,039","1,346","1,372",353,"3,040","1,980","1,151","1,677","1,684","2,156","1,034",487,782,"1,277","1,401",766,"1,401","1,092",890
2020년03월_여_30~39세,"26,513","1,018","1,056","1,031",803,"1,345",355,"3,269","1,750","1,137","1,807","1,954","1,961","1,049",465,757,"1,094","1,847",698,"1,282","1,002",833
2020년03월_여_40~49세,"30,392",949,938,"1,250",914,"1,292",421,"4,168","2,896","1,572","1,704","1,902","1,389","1,209",670,908,"1,251","1,860",965,"1,756","1,138","1,240"
2020년03월_여_50~59세,"34,003","1,173","1,105","1,397","1,310","1,356",607,"3,907","2,852","1,758","1,920","2,174","1,543","1,534",755,"1,249","1,612","1,758","1,268","2,135","1,539","1,051"
2020년03월_여_60~69세,"27,976","1,042",887,"1,282","1,318","1,212",725,"2,635","2,012","1,365","1,596","1,797","1,004","1,559",706,"1,397","1,330","1,475","1,154","1,565","1,155",760
2020년03월_여_70~79세,"16,813",676,572,830,959,734,530,"1,429","1,171",838,"1,010","1,023",477,974,502,913,787,770,735,879,565,439
2020년03월_여_80~89세,"7,972",345,331,445,408,317,246,703,515,444,471,478,214,453,209,392,437,372,322,393,292,185
2020년03월_여_90~99세,"1,462",50,79,62,84,61,41,122,82,88,89,85,44,86,25,86,80,79,69,56,49,45
2020년03월_여_100세 이상,129,4,14,6,12,8,10,2,3,6,7,7,1,10,3,8,6,5,6,4,6,1
