,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2021년04월_계_총인구수,"265,194","15,878","32,914","12,536","16,882","15,537","44,711","17,029","12,394","8,646","8,269","13,464","6,884","13,042","13,858","8,634","15,860","8,656"
2021년04월_계_연령구간인구수,"265,194","15,878","32,914","12,536","16,882","15,537","44,711","17,029","12,394","8,646","8,269","13,464","6,884","13,042","13,858","8,634","15,860","8,656"
2021년04월_계_0~9세,"17,540",512,"2,755","1,030","1,054","1,769","3,380","1,386",489,519,506,648,273,624,752,360,"1,146",337
2021년04월_계_10~19세,"22,790",936,"3,162",885,"1,408","1,545","5,091","1,768",887,637,775,948,485,896,"1,191",378,"1,268",530
2021년04월_계_20~29세,"34,872","3,628","6,369","1,243","2,715","1,728","4,901","1,632","1,416",907,"1,042","1,506",654,"1,264","1,675","1,256","1,932","1,004"
2021년04월_계_30~39세,"29,400","1,833","4,147","1,711","1,956","2,155","4,086","1,815","1,117","1,012",792,"1,336",629,"1,228","1,287","1,312","2,148",836
2021년04월_계_40~49세,"41,398","2,037","5,673","1,880","2,594","2,775","7,688","2,834","1,626","1,330","1,273","1,939","1,020","1,826","2,147","1,181","2,425","1,150"
2021년04월_계_50~59세,"42,386","2,210","4,607","1,843","2,491","2,237","7,923","2,657","2,127","1,345","1,468","2,269","1,131","2,112","2,488","1,274","2,663","1,541"
2021년04월_계_60~69세,"41,059","2,329","3,458","2,021","2,418","1,833","6,438","2,790","2,536","1,638","1,356","2,586","1,350","2,701","2,279","1,379","2,314","1,633"
2021년04월_계_70~79세,"24,859","1,670","1,895","1,332","1,558","1,053","3,584","1,526","1,584",894,756,"1,569",939,"1,674","1,418",959,"1,349","1,099"
2021년04월_계_80~89세,"9,691",649,731,539,625,388,"1,421",537,551,316,260,596,369,627,562,481,564,475
2021년04월_계_90~99세,"1,132",64,112,50,61,53,198,78,58,40,40,52,32,87,59,51,51,46
2021년04월_계_100세 이상,67,10,5,2,2,1,1,6,3,8,1,15,2,3,0,3,0,5
2021년04월_남_총인구수,"129,786","7,989","16,072","6,131","8,147","7,476","21,531","8,376","6,006","4,180","4,203","6,865","3,396","6,452","6,753","4,278","7,691","4,240"
2021년04월_남_연령구간인구수,"129,786","7,989","16,072","6,131","8,147","7,476","21,531","8,376","6,006","4,180","4,203","6,865","3,396","6,452","6,753","4,278","7,691","4,240"
2021년04월_남_0~9세,"8,937",242,"1,411",530,558,857,"1,693",705,239,288,267,339,142,350,393,188,569,166
2021년04월_남_10~19세,"11,757",475,"1,625",470,716,819,"2,593",924,453,308,400,512,263,457,606,203,641,292
2021년04월_남_20~29세,"18,466","1,986","3,264",642,"1,329",867,"2,639",908,766,472,607,866,372,713,891,575,"1,013",556
2021년04월_남_30~39세,"15,097","1,072","2,025",877,981,"1,037","1,942",901,620,537,423,725,344,652,662,716,"1,118",465
2021년04월_남_40~49세,"20,784","1,074","2,780","1,006","1,291","1,347","3,571","1,416",836,679,635,"1,065",548,979,"1,080",659,"1,203",615
2021년04월_남_50~59세,"20,741","1,090","2,204",875,"1,218","1,066","3,830","1,291","1,025",635,757,"1,163",590,"1,063","1,224",675,"1,288",747
2021년04월_남_60~69세,"18,897","1,014","1,597",922,"1,092",821,"3,056","1,280","1,136",715,673,"1,249",579,"1,224","1,075",676,"1,034",754
2021년04월_남_70~79세,"11,140",737,863,584,684,497,"1,607",748,727,409,326,706,401,772,612,413,604,450
2021년04월_남_80~89세,"3,716",282,283,214,263,152,544,190,194,119,110,226,152,231,201,163,209,183
2021년04월_남_90~99세,238,15,19,11,14,13,56,12,10,15,5,11,5,10,9,10,12,11
2021년04월_남_100세 이상,13,2,1,0,1,0,0,1,0,3,0,3,0,1,0,0,0,1
2021년04월_여_총인구수,"135,408","7,889","16,842","6,405","8,735","8,061","23,180","8,653","6,388","4,466","4,066","6,599","3,488","6,590","7,105","4,356","8,169","4,416"
2021년04월_여_연령구간인구수,"135,408","7,889","16,842","6,405","8,735","8,061","23,180","8,653","6,388","4,466","4,066","6,599","3,488","6,590","7,105","4,356","8,169","4,416"
2021년04월_여_0~9세,"8,603",270,"1,344",500,496,912,"1,687",681,250,231,239,309,131,274,359,172,577,171
2021년04월_여_10~19세,"11,033",461,"1,537",415,692,726,"2,498",844,434,329,375,436,222,439,585,175,627,238
2021년04월_여_20~29세,"16,406","1,642","3,105",601,"1,386",861,"2,262",724,650,435,435,640,282,551,784,681,919,448
2021년04월_여_30~39세,"14,303",761,"2,122",834,975,"1,118","2,144",914,497,475,369,611,285,576,625,596,"1,030",371
2021년04월_여_40~49세,"20,614",963,"2,893",874,"1,303","1,428","4,117","1,418",790,651,638,874,472,847,"1,067",522,"1,222",535
2021년04월_여_50~59세,"21,645","1,120","2,403",968,"1,273","1,171","4,093","1,366","1,102",710,711,"1,106",541,"1,049","1,264",599,"1,375",794
2021년04월_여_60~69세,"22,162","1,315","1,861","1,099","1,326","1,012","3,382","1,510","1,400",923,683,"1,337",771,"1,477","1,204",703,"1,280",879
2021년04월_여_70~79세,"13,719",933,"1,032",748,874,556,"1,977",778,857,485,430,863,538,902,806,546,745,649
2021년04월_여_80~89세,"5,975",367,448,325,362,236,877,347,357,197,150,370,217,396,361,318,355,292
2021년04월_여_90~99세,894,49,93,39,47,40,142,66,48,25,35,41,27,77,50,41,39,35
2021년04월_여_100세 이상,54,8,4,2,1,1,1,5,3,5,1,12,2,2,0,3,0,4
