카테고리,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 학온동
2020년01월_계_총인구수,"315,920","7,356","9,488","9,882","14,248","14,804","11,248","17,315","13,121","13,660","33,410","13,730","26,793","14,526","21,241","12,999","32,413","47,402","2,284"
2020년01월_계_연령구간인구수,"315,920","7,356","9,488","9,882","14,248","14,804","11,248","17,315","13,121","13,660","33,410","13,730","26,793","14,526","21,241","12,999","32,413","47,402","2,284"
2020년01월_계_0~9세,"25,494",366,400,421,743,964,991,995,"1,175",579,"3,158","1,156","2,626","1,131","1,724","1,157","3,271","4,561",76
2020년01월_계_10~19세,"32,841",611,696,619,960,"1,390","1,165","1,658","1,604","1,043","4,344","1,286","3,281","1,274","2,076","1,608","4,363","4,765",98
2020년01월_계_20~29세,"40,872","1,035","1,349","1,381","1,915","1,838","1,338","2,434","1,731","2,221","4,249","1,692","3,250","1,751","2,505","1,663","3,738","6,560",222
2020년01월_계_30~39세,"44,907",971,"1,162","1,253","2,058","1,910","1,458","2,125","1,759","1,859","4,163","2,448","3,241","2,720","3,181","2,144","4,174","8,044",237
2020년01월_계_40~49세,"54,981","1,101","1,346","1,439","2,045","2,454","1,898","2,617","2,506","2,044","6,301","2,423","5,183","2,590","3,714","2,567","6,352","8,157",244
2020년01월_계_50~59세,"52,477","1,379","1,819","1,911","2,503","2,587","1,912","3,139","2,179","2,844","5,481","2,188","4,476","2,173","3,271","1,967","4,848","7,338",462
2020년01월_계_60~69세,"37,314","1,061","1,508","1,568","2,299","2,060","1,442","2,585","1,278","1,896","3,476","1,513","2,864","1,515","2,465","1,102","3,439","4,749",494
2020년01월_계_70~79세,"18,300",572,861,918,"1,230","1,106",730,"1,218",616,783,"1,485",739,"1,252",820,"1,451",505,"1,494","2,249",271
2020년01월_계_80~89세,"7,512",228,308,323,411,437,266,477,226,331,646,257,525,473,744,253,602,850,155
2020년01월_계_90~99세,"1,081",29,35,45,66,51,41,60,45,51,99,27,87,67,101,32,113,114,18
2020년01월_계_100세 이상,141,3,4,4,18,7,7,7,2,9,8,1,8,12,9,1,19,15,7
2020년01월_남_총인구수,"156,095","3,718","4,610","4,835","6,933","7,309","5,567","8,611","6,418","7,054","16,353","6,901","13,423","6,906","10,103","6,296","15,853","23,913","1,292"
2020년01월_남_연령구간인구수,"156,095","3,718","4,610","4,835","6,933","7,309","5,567","8,611","6,418","7,054","16,353","6,901","13,423","6,906","10,103","6,296","15,853","23,913","1,292"
2020년01월_남_0~9세,"13,058",197,200,205,371,491,489,494,598,298,"1,612",610,"1,343",571,906,597,"1,661","2,373",42
2020년01월_남_10~19세,"16,908",346,334,337,459,732,584,846,814,553,"2,239",675,"1,681",666,"1,065",842,"2,242","2,429",64
2020년01월_남_20~29세,"21,406",570,705,738,"1,008",992,701,"1,308",894,"1,179","2,198",892,"1,774",855,"1,248",839,"1,934","3,446",125
2020년01월_남_30~39세,"22,724",538,631,662,"1,112",999,735,"1,125",852,"1,034","1,928","1,246","1,563","1,390","1,591","1,068","1,966","4,146",138
2020년01월_남_40~49세,"27,240",563,668,742,"1,007","1,262",946,"1,294","1,191","1,055","2,989","1,229","2,568","1,283","1,806","1,206","3,099","4,183",149
2020년01월_남_50~59세,"26,024",692,904,931,"1,197","1,243",968,"1,504","1,084","1,491","2,697","1,099","2,278","1,018","1,588",955,"2,390","3,708",277
2020년01월_남_60~69세,"17,845",502,665,689,"1,060",948,702,"1,266",638,961,"1,722",717,"1,455",658,"1,124",515,"1,649","2,293",281
2020년01월_남_70~79세,"8,146",229,383,397,558,480,352,582,258,348,714,343,581,316,536,193,697,"1,035",144
2020년01월_남_80~89세,"2,454",74,107,116,140,148,79,178,78,118,234,84,160,128,216,75,188,266,65
2020년01월_남_90~99세,256,7,13,16,16,12,10,13,11,14,17,6,19,18,22,6,23,28,5
2020년01월_남_100세 이상,34,0,0,2,5,2,1,1,0,3,3,0,1,3,1,0,4,6,2
2020년01월_여_총인구수,"159,825","3,638","4,878","5,047","7,315","7,495","5,681","8,704","6,703","6,606","17,057","6,829","13,370","7,620","11,138","6,703","16,560","23,489",992
2020년01월_여_연령구간인구수,"159,825","3,638","4,878","5,047","7,315","7,495","5,681","8,704","6,703","6,606","17,057","6,829","13,370","7,620","11,138","6,703","16,560","23,489",992
2020년01월_여_0~9세,"12,436",169,200,216,372,473,502,501,577,281,"1,546",546,"1,283",560,818,560,"1,610","2,188",34
2020년01월_여_10~19세,"15,933",265,362,282,501,658,581,812,790,490,"2,105",611,"1,600",608,"1,011",766,"2,121","2,336",34
2020년01월_여_20~29세,"19,466",465,644,643,907,846,637,"1,126",837,"1,042","2,051",800,"1,476",896,"1,257",824,"1,804","3,114",97
2020년01월_여_30~39세,"22,183",433,531,591,946,911,723,"1,000",907,825,"2,235","1,202","1,678","1,330","1,590","1,076","2,208","3,898",99
2020년01월_여_40~49세,"27,741",538,678,697,"1,038","1,192",952,"1,323","1,315",989,"3,312","1,194","2,615","1,307","1,908","1,361","3,253","3,974",95
2020년01월_여_50~59세,"26,453",687,915,980,"1,306","1,344",944,"1,635","1,095","1,353","2,784","1,089","2,198","1,155","1,683","1,012","2,458","3,630",185
2020년01월_여_60~69세,"19,469",559,843,879,"1,239","1,112",740,"1,319",640,935,"1,754",796,"1,409",857,"1,341",587,"1,790","2,456",213
2020년01월_여_70~79세,"10,154",343,478,521,672,626,378,636,358,435,771,396,671,504,915,312,797,"1,214",127
2020년01월_여_80~89세,"5,058",154,201,207,271,289,187,299,148,213,412,173,365,345,528,178,414,584,90
2020년01월_여_90~99세,825,22,22,29,50,39,31,47,34,37,82,21,68,49,79,26,90,86,13
2020년01월_여_100세 이상,107,3,4,2,13,5,6,6,2,6,5,1,7,9,8,1,15,9,5
