카테고리,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2021년12월_계_총인구수,"317,366","24,706","29,099","13,836","26,496","24,607","21,072","26,837","21,380","18,728","16,614","18,606","28,673","19,669","27,043"
2021년12월_계_연령구간인구수,"317,366","24,706","29,099","13,836","26,496","24,607","21,072","26,837","21,380","18,728","16,614","18,606","28,673","19,669","27,043"
2021년12월_계_0~9세,"17,044","1,424","1,619",678,"1,631","1,430",794,"1,521","1,087",932,767,"1,126","1,446",812,"1,777"
2021년12월_계_10~19세,"24,311","2,049","2,151","1,030","2,516","1,865","1,126","1,588","1,538","1,316","1,002","1,927","2,139","1,411","2,653"
2021년12월_계_20~29세,"41,496","3,216","4,107","1,729","3,508","3,545","2,490","3,156","2,881","2,441","2,413","2,410","3,873","2,566","3,161"
2021년12월_계_30~39세,"39,246","3,254","3,921","1,590","3,297","3,452","2,255","3,454","2,546","2,486","2,318","2,236","3,264","2,125","3,048"
2021년12월_계_40~49세,"46,156","3,911","4,432","2,067","4,209","3,417","2,805","3,629","3,040","2,652","2,385","2,811","4,105","2,680","4,013"
2021년12월_계_50~59세,"56,006","4,210","5,121","2,510","4,822","4,308","3,723","4,386","3,754","3,239","2,871","3,360","5,286","3,729","4,687"
2021년12월_계_60~69세,"51,366","3,590","4,274","2,247","3,727","3,833","3,982","4,892","3,435","3,130","2,536","2,887","4,777","3,455","4,601"
2021년12월_계_70~79세,"27,483","1,945","2,332","1,356","1,699","1,779","2,695","2,813","2,057","1,615","1,583","1,139","2,646","1,916","1,908"
2021년12월_계_80~89세,"12,478",977,"1,027",576,929,851,"1,084","1,199",909,785,657,606,987,865,"1,026"
2021년12월_계_90~99세,"1,691",126,112,48,148,124,115,193,117,114,77,101,146,107,163
2021년12월_계_100세 이상,89,4,3,5,10,3,3,6,16,18,5,3,4,3,6
2021년12월_남_총인구수,"154,487","11,732","14,173","6,920","12,755","11,750","10,632","13,106","10,313","8,952","8,058","8,797","14,234","9,926","13,139"
2021년12월_남_연령구간인구수,"154,487","11,732","14,173","6,920","12,755","11,750","10,632","13,106","10,313","8,952","8,058","8,797","14,234","9,926","13,139"
2021년12월_남_0~9세,"8,884",730,837,361,868,743,392,785,577,479,387,604,726,423,972
2021년12월_남_10~19세,"12,498","1,031","1,118",542,"1,276",943,601,820,737,696,508,970,"1,087",730,"1,439"
2021년12월_남_20~29세,"21,033","1,583","2,050",903,"1,778","1,732","1,335","1,583","1,365","1,239","1,195","1,208","1,974","1,397","1,691"
2021년12월_남_30~39세,"20,073","1,614","1,974",837,"1,599","1,737","1,232","1,765","1,313","1,292","1,210","1,090","1,685","1,188","1,537"
2021년12월_남_40~49세,"22,922","1,909","2,248","1,072","2,001","1,638","1,545","1,835","1,546","1,337","1,220","1,281","2,035","1,379","1,876"
2021년12월_남_50~59세,"26,819","1,975","2,441","1,273","2,267","1,979","1,842","2,159","1,827","1,451","1,355","1,525","2,663","1,868","2,194"
2021년12월_남_60~69세,"24,280","1,640","1,988","1,071","1,793","1,791","1,934","2,290","1,602","1,447","1,186","1,359","2,332","1,689","2,158"
2021년12월_남_70~79세,"12,600",838,"1,058",606,783,822,"1,265","1,343",938,691,688,531,"1,283",873,881
2021년12월_남_80~89세,"4,891",380,434,240,337,329,446,480,370,285,284,202,408,350,346
2021년12월_남_90~99세,459,29,25,13,47,35,39,46,33,29,23,27,40,29,44
2021년12월_남_100세 이상,28,3,0,2,6,1,1,0,5,6,2,0,1,0,1
2021년12월_여_총인구수,"162,879","12,974","14,926","6,916","13,741","12,857","10,440","13,731","11,067","9,776","8,556","9,809","14,439","9,743","13,904"
2021년12월_여_연령구간인구수,"162,879","12,974","14,926","6,916","13,741","12,857","10,440","13,731","11,067","9,776","8,556","9,809","14,439","9,743","13,904"
2021년12월_여_0~9세,"8,160",694,782,317,763,687,402,736,510,453,380,522,720,389,805
2021년12월_여_10~19세,"11,813","1,018","1,033",488,"1,240",922,525,768,801,620,494,957,"1,052",681,"1,214"
2021년12월_여_20~29세,"20,463","1,633","2,057",826,"1,730","1,813","1,155","1,573","1,516","1,202","1,218","1,202","1,899","1,169","1,470"
2021년12월_여_30~39세,"19,173","1,640","1,947",753,"1,698","1,715","1,023","1,689","1,233","1,194","1,108","1,146","1,579",937,"1,511"
2021년12월_여_40~49세,"23,234","2,002","2,184",995,"2,208","1,779","1,260","1,794","1,494","1,315","1,165","1,530","2,070","1,301","2,137"
2021년12월_여_50~59세,"29,187","2,235","2,680","1,237","2,555","2,329","1,881","2,227","1,927","1,788","1,516","1,835","2,623","1,861","2,493"
2021년12월_여_60~69세,"27,086","1,950","2,286","1,176","1,934","2,042","2,048","2,602","1,833","1,683","1,350","1,528","2,445","1,766","2,443"
2021년12월_여_70~79세,"14,883","1,107","1,274",750,916,957,"1,430","1,470","1,119",924,895,608,"1,363","1,043","1,027"
2021년12월_여_80~89세,"7,587",597,593,336,592,522,638,719,539,500,373,404,579,515,680
2021년12월_여_90~99세,"1,232",97,87,35,101,89,76,147,84,85,54,74,106,78,119
2021년12월_여_100세 이상,61,1,3,3,4,2,2,6,11,12,3,3,3,3,5
