카테고리,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2021년05월_계_총인구수,"532,296","16,233","22,602","21,464","26,744","26,543","13,114","29,660","24,512","36,561","19,966","35,466","36,281","21,838","33,540","6,484","21,902","23,744","43,822","23,589","15,370","17,882","14,979"
2021년05월_계_연령구간인구수,"532,296","16,233","22,602","21,464","26,744","26,543","13,114","29,660","24,512","36,561","19,966","35,466","36,281","21,838","33,540","6,484","21,902","23,744","43,822","23,589","15,370","17,882","14,979"
2021년05월_계_0~9세,"35,613",923,690,"1,085","2,103","2,090",834,"2,324","1,844","1,957",706,984,"2,821","1,719","2,829",371,"1,682","1,689","4,229","2,106",716,"1,313",598
2021년05월_계_10~19세,"58,153","1,619",878,"1,308","2,764","2,234","1,253","3,453","5,463","6,041","2,398","1,373","5,454","2,353","4,760",577,"2,469","2,269","4,650","3,337","1,159","1,774",567
2021년05월_계_20~29세,"71,932","2,199","4,609","3,489","3,067","3,729","1,815","3,798","2,427","4,623","3,344","7,438","4,445","2,910","3,893",712,"2,774","3,298","5,316","2,564","2,137","1,827","1,518"
2021년05월_계_30~39세,"79,524","2,262","5,607","4,394","3,207","4,277","1,911","4,784","1,465","3,288","3,319","10,019","5,050","3,124","3,410",659,"2,719","3,651","6,523","2,836","2,217","2,586","2,216"
2021년05월_계_40~49세,"97,804","2,856","3,815","3,858","4,694","4,735","2,117","6,261","5,928","6,950","3,941","6,084","8,493","3,863","6,456",931,"3,646","3,973","7,857","4,487","2,094","3,127","1,638"
2021년05월_계_50~59세,"80,359","2,489","2,828","2,956","4,156","3,974","2,156","4,273","3,897","6,513","3,253","4,193","5,012","3,499","5,497","1,036","3,723","3,960","5,976","3,720","2,458","2,600","2,190"
2021년05월_계_60~69세,"60,210","1,778","2,241","2,269","3,189","3,014","1,696","2,471","1,953","4,343","1,573","3,054","2,628","2,574","3,619","1,193","3,088","3,076","5,040","2,907","2,541","2,589","3,374"
2021년05월_계_70~79세,"34,275","1,388","1,356","1,505","2,399","1,743",943,"1,655","1,101","2,143","1,077","1,653","1,736","1,228","2,146",712,"1,347","1,332","2,730","1,130","1,408","1,545","1,998"
2021년05월_계_80~89세,"12,063",617,502,512,985,623,322,544,354,594,309,565,555,472,780,241,369,414,"1,233",391,522,442,717
2021년05월_계_90~99세,"2,218",97,70,83,168,114,64,84,70,103,45,93,80,93,141,46,79,77,261,107,112,73,158
2021년05월_계_100세 이상,145,5,6,5,12,10,3,13,10,6,1,10,7,3,9,6,6,5,7,4,6,6,5
2021년05월_남_총인구수,"254,558","7,543","10,637","9,987","12,333","12,422","6,487","14,153","12,348","18,537","9,420","17,175","16,976","10,326","15,601","3,164","10,529","11,511","20,788","11,628","7,530","8,668","6,795"
2021년05월_남_연령구간인구수,"254,558","7,543","10,637","9,987","12,333","12,422","6,487","14,153","12,348","18,537","9,420","17,175","16,976","10,326","15,601","3,164","10,529","11,511","20,788","11,628","7,530","8,668","6,795"
2021년05월_남_0~9세,"18,355",494,329,548,"1,000","1,145",446,"1,248","1,002","1,049",348,496,"1,419",834,"1,444",194,854,853,"2,136","1,152",366,691,307
2021년05월_남_10~19세,"30,271",795,423,662,"1,339","1,179",729,"1,902","3,053","3,571","1,285",678,"2,624","1,089","2,094",297,"1,181","1,145","2,290","1,916",651,"1,089",279
2021년05월_남_20~29세,"34,308","1,018","2,072","1,562","1,441","1,685",969,"1,802","1,264","2,507","1,600","3,219","1,872","1,358","1,780",364,"1,416","1,649","2,534","1,343","1,097",983,773
2021년05월_남_30~39세,"36,514","1,005","2,671","1,985","1,362","1,840",906,"2,024",583,"1,526","1,502","4,949","2,185","1,397","1,405",305,"1,273","1,771","2,999","1,296","1,166","1,241","1,123"
2021년05월_남_40~49세,"45,308","1,259","1,858","1,843","2,124","2,167",983,"2,852","2,574","2,964","1,699","3,079","3,899","1,818","2,854",443,"1,686","1,876","3,837","2,056","1,065","1,511",861
