카테고리,충청남도 보령시,충청남도 보령시 웅천읍,충청남도 보령시 주포면,충청남도 보령시 오천면,충청남도 보령시 오천면어항출장소,충청남도 보령시 오천면원산도출장소,충청남도 보령시 천북면,충청남도 보령시 청소면,충청남도 보령시 청라면,충청남도 보령시 남포면,충청남도 보령시 주산면,충청남도 보령시 미산면,충청남도 보령시 성주면,충청남도 보령시 주교면,충청남도 보령시 대천1동,충청남도 보령시 대천2동,충청남도 보령시 대천3동,충청남도 보령시 대천4동,충청남도 보령시 대천5동
2020년03월_계_총인구수,"100,787","6,397","1,643","2,216","1,658","1,155","3,638","2,666","3,988","5,204","2,485","1,799","2,333","5,395","14,788","7,065","16,824","14,905","6,628"
2020년03월_계_연령구간인구수,"100,787","6,397","1,643","2,216","1,658","1,155","3,638","2,666","3,988","5,204","2,485","1,799","2,333","5,395","14,788","7,065","16,824","14,905","6,628"
2020년03월_계_0~9세,"6,444",159,45,49,62,30,130,73,133,146,59,53,82,202,"1,163",536,"1,778","1,465",279
2020년03월_계_10~19세,"8,491",343,97,127,99,70,192,113,230,270,100,62,121,363,"1,555",642,"1,990","1,701",416
2020년03월_계_20~29세,"9,754",474,184,135,143,69,239,148,273,399,121,111,179,491,"1,723",798,"2,011","1,708",548
2020년03월_계_30~39세,"9,817",390,89,138,134,67,231,150,236,314,118,93,175,425,"1,648",772,"2,420","1,823",594
2020년03월_계_40~49세,"14,226",656,179,262,225,120,381,229,391,497,214,150,251,719,"2,384","1,149","3,005","2,611",803
2020년03월_계_50~59세,"17,469","1,172",280,423,331,228,634,430,703,"1,000",366,284,483,"1,011","2,533","1,190","2,631","2,452","1,318"
2020년03월_계_60~69세,"16,432","1,463",373,492,350,251,791,574,870,"1,127",541,408,500,"1,020","2,003",950,"1,682","1,679","1,358"
2020년03월_계_70~79세,"11,030","1,033",245,340,175,179,573,522,659,827,535,367,355,711,"1,183",658,859,954,855
2020년03월_계_80~89세,"6,192",602,126,212,124,123,421,373,437,517,372,229,162,395,528,334,399,439,399
2020년03월_계_90~99세,874,102,25,38,14,17,45,54,52,99,58,41,20,56,59,32,45,62,55
2020년03월_계_100세 이상,58,3,0,0,1,1,1,0,4,8,1,1,5,2,9,4,4,11,3
2020년03월_남_총인구수,"51,027","3,256",859,"1,166",890,621,"1,875","1,318","2,016","2,634","1,211",926,"1,162","2,820","7,441","3,546","8,447","7,389","3,450"
2020년03월_남_연령구간인구수,"51,027","3,256",859,"1,166",890,621,"1,875","1,318","2,016","2,634","1,211",926,"1,162","2,820","7,441","3,546","8,447","7,389","3,450"
2020년03월_남_0~9세,"3,243",77,19,18,33,14,61,43,72,80,42,29,47,105,598,254,890,728,133
2020년03월_남_10~19세,"4,412",181,47,65,56,43,107,70,119,134,48,36,65,185,784,333,"1,029",895,215
2020년03월_남_20~29세,"5,675",297,135,77,89,42,143,83,158,234,72,66,100,305,997,454,"1,137",946,340
2020년03월_남_30~39세,"5,330",239,48,87,77,47,144,91,144,184,68,55,96,259,886,420,"1,212",913,360
2020년03월_남_40~49세,"7,796",386,111,168,147,81,226,134,240,281,130,109,154,433,"1,221",597,"1,559","1,311",508
2020년03월_남_50~59세,"9,254",641,159,264,185,140,352,248,375,564,197,153,270,548,"1,259",629,"1,319","1,251",700
2020년03월_남_60~69세,"8,030",731,193,237,180,128,404,280,446,581,267,217,223,496,961,443,801,787,655
2020년03월_남_70~79세,"4,907",471,107,163,79,81,284,234,297,372,233,170,151,341,523,279,359,399,364
2020년03월_남_80~89세,"2,174",206,36,78,41,42,148,123,155,177,136,83,51,138,192,130,132,144,162
2020년03월_남_90~99세,195,25,4,9,3,3,6,12,10,25,18,8,5,10,18,6,8,12,13
2020년03월_남_100세 이상,11,2,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,3,0
2020년03월_여_총인구수,"49,760","3,141",784,"1,050",768,534,"1,763","1,348","1,972","2,570","1,274",873,"1,171","2,575","7,347","3,519","8,377","7,516","3,178"
2020년03월_여_연령구간인구수,"49,760","3,141",784,"1,050",768,534,"1,763","1,348","1,972","2,570","1,274",873,"1,171","2,575","7,347","3,519","8,377","7,516","3,178"
2020년03월_여_0~9세,"3,201",82,26,31,29,16,69,30,61,66,17,24,35,97,565,282,888,737,146
2020년03월_여_10~19세,"4,079",162,50,62,43,27,85,43,111,136,52,26,56,178,771,309,961,806,201
2020년03월_여_20~29세,"4,079",177,49,58,54,27,96,65,115,165,49,45,79,186,726,344,874,762,208
2020년03월_여_30~39세,"4,487",151,41,51,57,20,87,59,92,130,50,38,79,166,762,352,"1,208",910,234
2020년03월_여_40~49세,"6,430",270,68,94,78,39,155,95,151,216,84,41,97,286,"1,163",552,"1,446","1,300",295
2020년03월_여_50~59세,"8,215",531,121,159,146,88,282,182,328,436,169,131,213,463,"1,274",561,"1,312","1,201",618
2020년03월_여_60~69세,"8,402",732,180,255,170,123,387,294,424,546,274,191,277,524,"1,042",507,881,892,703
2020년03월_여_70~79세,"6,123",562,138,177,96,98,289,288,362,455,302,197,204,370,660,379,500,555,491
2020년03월_여_80~89세,"4,018",396,90,134,83,81,273,250,282,340,236,146,111,257,336,204,267,295,237
2020년03월_여_90~99세,679,77,21,29,11,14,39,42,42,74,40,33,15,46,41,26,37,50,42
2020년03월_여_100세 이상,47,1,0,0,1,1,1,0,4,6,1,1,5,2,7,3,3,8,3
