카테고리,강원도 정선군,강원도 정선군 정선읍,강원도 정선군 고한읍,강원도 정선군 사북읍,강원도 정선군 신동읍,강원도 정선군 신동읍함백출장소,강원도 정선군 남면,강원도 정선군 북평면,강원도 정선군 임계면,강원도 정선군 화암면,강원도 정선군 여량면
2020년02월_계_총인구수,"37,062","10,790","4,692","4,898","1,871","1,701","3,252","2,586","3,549","1,677","2,046"
2020년02월_계_연령구간인구수,"37,062","10,790","4,692","4,898","1,871","1,701","3,252","2,586","3,549","1,677","2,046"
2020년02월_계_0~9세,"1,837",689,248,318,79,48,153,102,109,37,54
2020년02월_계_10~19세,"2,664","1,039",242,413,124,117,190,181,166,94,98
2020년02월_계_20~29세,"2,868","1,002",349,422,130,117,225,169,202,118,134
2020년02월_계_30~39세,"3,335",994,733,541,111,108,322,154,189,75,108
2020년02월_계_40~49세,"5,043","1,690",711,767,222,193,426,315,337,173,209
2020년02월_계_50~59세,"7,226","1,963",788,932,398,340,668,531,782,400,424
2020년02월_계_60~69세,"7,054","1,693",850,847,385,342,719,527,809,387,495
2020년02월_계_70~79세,"4,546","1,104",543,474,279,275,374,352,570,246,329
2020년02월_계_80~89세,"2,104",509,190,164,129,124,147,209,337,128,167
2020년02월_계_90~99세,340,94,29,15,14,27,27,44,45,18,27
2020년02월_계_100세 이상,45,13,9,5,0,10,1,2,3,1,1
2020년02월_남_총인구수,"19,238","5,469","2,458","2,595",962,846,"1,739","1,304","1,885",900,"1,080"
2020년02월_남_연령구간인구수,"19,238","5,469","2,458","2,595",962,846,"1,739","1,304","1,885",900,"1,080"
2020년02월_남_0~9세,955,360,115,170,36,23,84,52,54,25,36
2020년02월_남_10~19세,"1,376",538,115,228,61,60,96,87,93,47,51
2020년02월_남_20~29세,"1,629",573,185,234,73,66,137,104,112,72,73
2020년02월_남_30~39세,"1,889",519,418,295,66,64,208,85,117,48,69
2020년02월_남_40~49세,"2,917",885,440,431,142,119,258,178,220,110,134
2020년02월_남_50~59세,"3,925","1,048",444,511,215,192,339,286,434,235,221
2020년02월_남_60~69세,"3,686",874,401,438,211,165,388,275,448,209,277
2020년02월_남_70~79세,"2,049",482,254,220,108,111,180,157,268,113,156
2020년02월_남_80~89세,714,170,72,62,46,32,43,66,128,39,56
2020년02월_남_90~99세,78,16,11,2,4,8,5,12,11,2,7
2020년02월_남_100세 이상,20,4,3,4,0,6,1,2,0,0,0
2020년02월_여_총인구수,"17,824","5,321","2,234","2,303",909,855,"1,513","1,282","1,664",777,966
2020년02월_여_연령구간인구수,"17,824","5,321","2,234","2,303",909,855,"1,513","1,282","1,664",777,966
2020년02월_여_0~9세,882,329,133,148,43,25,69,50,55,12,18
2020년02월_여_10~19세,"1,288",501,127,185,63,57,94,94,73,47,47
2020년02월_여_20~29세,"1,239",429,164,188,57,51,88,65,90,46,61
2020년02월_여_30~39세,"1,446",475,315,246,45,44,114,69,72,27,39
2020년02월_여_40~49세,"2,126",805,271,336,80,74,168,137,117,63,75
2020년02월_여_50~59세,"3,301",915,344,421,183,148,329,245,348,165,203
2020년02월_여_60~69세,"3,368",819,449,409,174,177,331,252,361,178,218
2020년02월_여_70~79세,"2,497",622,289,254,171,164,194,195,302,133,173
2020년02월_여_80~89세,"1,390",339,118,102,83,92,104,143,209,89,111
2020년02월_여_90~99세,262,78,18,13,10,19,22,32,34,16,20
2020년02월_여_100세 이상,25,9,6,1,0,4,0,0,3,1,1
