,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2021년12월_계_총인구수,"222,222","4,545","24,722","11,997","12,393","8,517","21,942","14,919","10,652","13,687","18,244","20,496","11,954","11,065","14,088","2,415","20,586"
2021년12월_계_연령구간인구수,"222,222","4,545","24,722","11,997","12,393","8,517","21,942","14,919","10,652","13,687","18,244","20,496","11,954","11,065","14,088","2,415","20,586"
2021년12월_계_0~9세,"14,156",117,"2,289",832,759,248,"1,668","1,332",355,749,872,"1,014",830,526,757,62,"1,746"
2021년12월_계_10~19세,"19,474",128,"3,353",859,926,356,"1,828","1,423",729,"1,064","1,708","1,459",909,775,"1,201",128,"2,628"
2021년12월_계_20~29세,"30,090",316,"2,568","1,288","1,456",747,"3,336","1,715","2,808","1,932","2,904","3,945","1,283","2,119","1,449",187,"2,037"
2021년12월_계_30~39세,"25,243",375,"2,691","1,516","1,474",705,"2,978","1,883","1,066","1,392","1,907","3,023","1,405","1,265","1,354",149,"2,060"
2021년12월_계_40~49세,"33,446",473,"4,816","1,738","1,678",970,"3,230","2,384","1,225","2,000","2,608","3,068","1,714","1,504","2,063",238,"3,737"
2021년12월_계_50~59세,"36,280",874,"3,615","1,927","2,140","1,449","3,607","2,367","1,570","2,284","3,285","3,295","2,042","1,834","2,493",453,"3,045"
2021년12월_계_60~69세,"34,291","1,134","3,034","2,006","2,037","1,945","3,101","2,063","1,553","2,296","2,780","2,727","2,017","1,716","2,474",573,"2,835"
2021년12월_계_70~79세,"19,154",761,"1,589","1,214","1,213","1,281","1,487","1,120",908,"1,314","1,439","1,356","1,170",862,"1,508",332,"1,600"
2021년12월_계_80~89세,"8,880",324,655,554,631,708,619,552,387,589,656,548,503,414,700,251,789
2021년12월_계_90~99세,"1,174",41,110,62,78,107,85,78,48,63,81,59,78,50,88,42,104
2021년12월_계_100세 이상,34,2,2,1,1,1,3,2,3,4,4,2,3,0,1,0,5
2021년12월_남_총인구수,"111,953","2,546","12,149","5,855","6,074","4,151","11,053","7,469","5,626","7,038","9,152","10,522","5,941","5,598","7,170","1,252","10,357"
