카테고리,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2020년09월_계_총인구수,"393,554","32,312","12,580","45,394","28,141","25,272","29,146","32,553","23,160","27,459","25,173","14,538","14,772","39,032","23,753","20,269"
2020년09월_계_연령구간인구수,"393,554","32,312","12,580","45,394","28,141","25,272","29,146","32,553","23,160","27,459","25,173","14,538","14,772","39,032","23,753","20,269"
2020년09월_계_0~9세,"25,180","2,000",364,"2,988","2,325","1,294","1,763","2,376",848,"1,801","2,169",767,"1,112","2,323","1,575","1,475"
2020년09월_계_10~19세,"28,295","2,020",601,"3,324","1,949","1,706","1,931","2,195",942,"1,679","1,659",747,"1,000","4,268","2,544","1,730"
2020년09월_계_20~29세,"66,927","5,712","2,197","9,918","4,353","4,245","4,647","5,187","5,243","3,747","3,402","2,548","2,251","6,522","3,408","3,547"
2020년09월_계_30~39세,"62,641","5,481","1,863","6,326","4,764","4,263","4,899","4,664","4,658","4,512","4,142","2,556","2,612","5,476","3,090","3,335"
2020년09월_계_40~49세,"59,457","4,374","1,572","6,594","4,367","3,754","4,430","4,943","2,971","4,117","3,869","2,086","2,346","6,685","4,102","3,247"
2020년09월_계_50~59세,"58,728","4,695","2,194","6,397","4,157","3,885","4,456","5,251","3,123","4,232","3,697","2,138","2,208","5,880","3,729","2,686"
2020년09월_계_60~69세,"48,837","4,222","1,981","5,222","3,259","3,146","3,723","3,995","3,033","3,882","3,423","1,977","1,778","4,131","2,903","2,162"
2020년09월_계_70~79세,"29,685","2,488","1,214","3,078","1,963","2,079","2,250","2,536","1,754","2,440","2,030","1,228","1,014","2,520","1,641","1,450"
2020년09월_계_80~89세,"11,690","1,120",504,"1,289",841,777,915,"1,154",516,882,661,416,372,"1,041",657,545
2020년09월_계_90~99세,"1,800",171,78,218,134,109,119,198,65,134,100,69,66,162,97,80
2020년09월_계_100세 이상,314,29,12,40,29,14,13,54,7,33,21,6,13,24,7,12
2020년09월_남_총인구수,"190,422","16,087","6,490","21,978","13,539","12,087","14,151","15,875","11,025","13,215","12,177","6,934","7,171","18,578","11,457","9,658"
2020년09월_남_연령구간인구수,"190,422","16,087","6,490","21,978","13,539","12,087","14,151","15,875","11,025","13,215","12,177","6,934","7,171","18,578","11,457","9,658"
2020년09월_남_0~9세,"12,831",998,189,"1,507","1,204",663,894,"1,224",432,926,"1,089",404,578,"1,173",800,750
2020년09월_남_10~19세,"14,556","1,048",314,"1,716","1,004",861,"1,042","1,131",492,936,896,381,516,"2,081","1,258",880
