,서울특별시 중구,서울특별시 중구 소공동,서울특별시 중구 회현동,서울특별시 중구 명동,서울특별시 중구 필동,서울특별시 중구 장충동,서울특별시 중구 광희동,서울특별시 중구 을지로동,서울특별시 중구 신당동,서울특별시 중구 다산동,서울특별시 중구 약수동,서울특별시 중구 청구동,서울특별시 중구 신당제5동,서울특별시 중구 동화동,서울특별시 중구 황학동,서울특별시 중구 중림동
2021년06월_계_총인구수,"123,016","2,209","4,852","2,847","4,057","4,560","5,197","1,709","7,588","13,972","16,843","13,740","10,364","10,420","12,553","12,105"
2021년06월_계_연령구간인구수,"123,016","2,209","4,852","2,847","4,057","4,560","5,197","1,709","7,588","13,972","16,843","13,740","10,364","10,420","12,553","12,105"
2021년06월_계_0~9세,"6,505",158,193,80,184,179,124,41,253,537,"1,034",732,560,694,737,999
2021년06월_계_10~19세,"6,663",130,203,131,183,267,193,37,284,787,951,862,534,850,504,747
2021년06월_계_20~29세,"18,323",251,492,366,741,"1,181","1,001",203,"1,350","2,335","2,009","1,923","1,648","1,369","2,092","1,362"
2021년06월_계_30~39세,"19,881",480,528,397,652,663,861,306,"1,300","2,183","2,394","2,155","1,657","1,319","2,796","2,190"
2021년06월_계_40~49세,"17,738",501,663,414,491,571,637,178,"1,052","2,002","2,403","1,896","1,551","1,539","1,807","2,033"
2021년06월_계_50~59세,"20,203",302,934,484,588,592,823,295,"1,347","2,274","2,792","2,300","1,858","1,945","1,780","1,889"
2021년06월_계_60~69세,"17,756",236,"1,038",505,615,530,832,377,"1,061","1,997","2,708","2,011","1,338","1,460","1,564","1,484"
2021년06월_계_70~79세,"10,320",103,522,304,354,360,505,185,638,"1,226","1,588","1,163",823,750,881,918
2021년06월_계_80~89세,"4,769",39,225,140,189,190,190,70,252,538,813,611,347,423,332,410
2021년06월_계_90~99세,799,8,53,22,51,26,29,17,49,83,148,85,45,62,59,62
2021년06월_계_100세 이상,59,1,1,4,9,1,2,0,2,10,3,2,3,9,1,11
2021년06월_남_총인구수,"60,019","1,063","2,554","1,237","2,090","2,318","2,659","1,041","3,781","6,781","7,889","6,505","5,049","5,045","5,988","6,019"
2021년06월_남_연령구간인구수,"60,019","1,063","2,554","1,237","2,090","2,318","2,659","1,041","3,781","6,781","7,889","6,505","5,049","5,045","5,988","6,019"
2021년06월_남_0~9세,"3,363",83,106,47,101,94,65,19,105,286,511,374,282,386,388,516
2021년06월_남_10~19세,"3,320",47,86,59,95,134,88,16,132,425,481,430,264,423,250,390
2021년06월_남_20~29세,"8,575",95,229,166,365,619,420,88,615,"1,111",973,939,752,685,858,660
2021년06월_남_30~39세,"9,934",223,245,209,347,355,479,177,666,"1,149","1,135","1,067",829,622,"1,386","1,045"
2021년06월_남_40~49세,"9,065",262,360,182,279,303,343,114,579,"1,022","1,185",920,794,754,895,"1,073"
2021년06월_남_50~59세,"10,243",149,542,206,339,299,465,219,722,"1,073","1,319","1,117",982,939,903,969
2021년06월_남_60~69세,"8,873",137,613,212,306,266,458,259,548,938,"1,251",959,655,739,761,771
2021년06월_남_70~79세,"4,652",50,265,111,173,166,257,109,298,558,696,454,355,332,411,417
2021년06월_남_80~89세,"1,756",14,94,40,67,73,72,33,102,197,297,221,123,143,122,158
2021년06월_남_90~99세,222,3,14,4,16,9,11,7,12,21,39,23,13,19,14,17
2021년06월_남_100세 이상,16,0,0,1,2,0,1,0,2,1,2,1,0,3,0,3
2021년06월_여_총인구수,"62,997","1,146","2,298","1,610","1,967","2,242","2,538",668,"3,807","7,191","8,954","7,235","5,315","5,375","6,565","6,086"
2021년06월_여_연령구간인구수,"62,997","1,146","2,298","1,610","1,967","2,242","2,538",668,"3,807","7,191","8,954","7,235","5,315","5,375","6,565","6,086"
2021년06월_여_0~9세,"3,142",75,87,33,83,85,59,22,148,251,523,358,278,308,349,483
2021년06월_여_10~19세,"3,343",83,117,72,88,133,105,21,152,362,470,432,270,427,254,357
2021년06월_여_20~29세,"9,748",156,263,200,376,562,581,115,735,"1,224","1,036",984,896,684,"1,234",702
2021년06월_여_30~39세,"9,947",257,283,188,305,308,382,129,634,"1,034","1,259","1,088",828,697,"1,410","1,145"
2021년06월_여_40~49세,"8,673",239,303,232,212,268,294,64,473,980,"1,218",976,757,785,912,960
2021년06월_여_50~59세,"9,960",153,392,278,249,293,358,76,625,"1,201","1,473","1,183",876,"1,006",877,920
2021년06월_여_60~69세,"8,883",99,425,293,309,264,374,118,513,"1,059","1,457","1,052",683,721,803,713
2021년06월_여_70~79세,"5,668",53,257,193,181,194,248,76,340,668,892,709,468,418,470,501
2021년06월_여_80~89세,"3,013",25,131,100,122,117,118,37,150,341,516,390,224,280,210,252
2021년06월_여_90~99세,577,5,39,18,35,17,18,10,37,62,109,62,32,43,45,45
2021년06월_여_100세 이상,43,1,1,3,7,1,1,0,0,9,1,1,3,6,1,8
