,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2021년12월_계_총인구수,"486,765","36,682","14,921","12,746","36,983","31,745","14,975","11,697","31,200","22,079","17,762","6,913","35,302","16,570","18,724","33,290","28,818","16,165","20,059","30,754","12,565","13,933","22,882"
2021년12월_계_연령구간인구수,"486,765","36,682","14,921","12,746","36,983","31,745","14,975","11,697","31,200","22,079","17,762","6,913","35,302","16,570","18,724","33,290","28,818","16,165","20,059","30,754","12,565","13,933","22,882"
2021년12월_계_0~9세,"30,404","2,178",751,603,"2,339","2,327","1,000",537,"2,509","1,119","1,134",299,"2,663",815,"1,076","2,125","2,218",790,"1,400","1,719",951,782,"1,069"
2021년12월_계_10~19세,"41,454","2,799","1,160",809,"2,361","2,157",895,853,"3,705","1,985","1,696",484,"2,949","1,238","1,388","3,376","4,095","1,027","1,785","3,093","1,044","1,098","1,457"
2021년12월_계_20~29세,"67,235","5,766","2,034","1,591","6,041","5,036","2,029","1,427","3,875","2,788","2,515",867,"4,779","2,506","2,373","4,514","3,666","2,010","2,650","4,575","1,555","1,733","2,905"
2021년12월_계_30~39세,"66,031","5,847","2,038","1,669","6,605","5,733","2,352","1,434","3,482","2,278","2,119",820,"5,239","2,219","2,600","3,761","2,872","1,936","2,921","3,917","1,732","1,616","2,841"
2021년12월_계_40~49세,"74,842","5,542","2,281","1,833","5,607","5,144","2,259","1,615","5,446","3,018","2,672","1,022","5,266","2,364","2,465","5,388","5,474","2,304","3,184","4,836","1,786","2,085","3,251"
2021년12월_계_50~59세,"87,957","6,178","2,630","2,267","6,020","5,032","2,592","2,204","5,554","3,989","3,324","1,462","6,472","3,292","3,405","6,381","5,420","2,860","3,496","6,061","2,109","2,647","4,562"
2021년12월_계_60~69세,"70,399","4,890","2,229","2,182","4,693","3,754","2,242","2,102","4,107","3,770","2,547","1,215","4,919","2,547","3,276","4,621","3,095","2,993","2,762","3,995","2,120","2,276","4,064"
2021년12월_계_70~79세,"31,540","2,213","1,261","1,154","2,204","1,695","1,016",989,"1,709","1,910","1,064",505,"1,968","1,052","1,368","1,895","1,260","1,554","1,258","1,648",858,"1,107","1,852"
2021년12월_계_80~89세,"14,661","1,085",478,552,988,757,529,450,709,"1,032",600,197,911,467,651,"1,054",612,613,545,770,364,511,786
2021년12월_계_90~99세,"2,171",177,59,84,123,107,61,82,101,180,91,40,130,66,117,171,101,76,55,137,46,75,92
2021년12월_계_100세 이상,71,7,0,2,2,3,0,4,3,10,0,2,6,4,5,4,5,2,3,3,0,3,3
2021년12월_남_총인구수,"240,348","17,662","7,441","6,353","18,276","15,644","7,375","5,892","15,363","10,713","8,489","3,709","17,630","8,399","9,088","16,284","13,953","8,115","9,814","14,788","6,412","7,072","11,876"
2021년12월_남_연령구간인구수,"240,348","17,662","7,441","6,353","18,276","15,644","7,375","5,892","15,363","10,713","8,489","3,709","17,630","8,399","9,088","16,284","13,953","8,115","9,814","14,788","6,412","7,072","11,876"
2021년12월_남_0~9세,"15,515","1,067",354,315,"1,196","1,179",541,288,"1,279",588,578,143,"1,392",402,536,"1,111","1,092",402,707,886,506,425,528
2021년12월_남_10~19세,"21,521","1,402",603,425,"1,241","1,061",478,455,"1,945","1,057",878,237,"1,558",688,723,"1,715","2,119",533,883,"1,578",571,578,793
2021년12월_남_20~29세,"34,420","2,759","1,053",841,"2,904","2,443",962,776,"2,040","1,499","1,284",485,"2,462","1,341","1,247","2,392","1,880","1,095","1,364","2,299",872,910,"1,512"
2021년12월_남_30~39세,"34,130","3,057","1,121",894,"3,491","3,026","1,181",772,"1,674","1,150","1,057",462,"2,668","1,203","1,333","1,899","1,370","1,017","1,472","1,906",923,867,"1,587"
2021년12월_남_40~49세,"37,815","2,736","1,192",965,"2,864","2,745","1,213",820,"2,598","1,500","1,259",584,"2,744","1,240","1,238","2,641","2,510","1,256","1,598","2,286",948,"1,087","1,791"
