카테고리,경기도 여주시,경기도 여주시 가남읍,경기도 여주시 점동면,경기도 여주시 흥천면,경기도 여주시 금사면,경기도 여주시 능서면,경기도 여주시 대신면,경기도 여주시 북내면,경기도 여주시 강천면,경기도 여주시 산북면,경기도 여주시 여흥동,경기도 여주시 중앙동,경기도 여주시 오학동
2020년02월_계_총인구수,"111,008","15,487","4,622","5,012","2,966","6,446","7,134","4,944","4,128","2,582","22,017","18,595","17,075"
2020년02월_계_연령구간인구수,"111,008","15,487","4,622","5,012","2,966","6,446","7,134","4,944","4,128","2,582","22,017","18,595","17,075"
2020년02월_계_0~9세,"7,685","1,068",172,182,90,300,245,159,144,128,"1,704","1,463","2,030"
2020년02월_계_10~19세,"9,854","1,328",294,281,139,454,456,393,263,148,"2,050","2,337","1,711"
2020년02월_계_20~29세,"11,981","1,622",456,429,246,569,595,422,353,221,"2,805","2,327","1,936"
2020년02월_계_30~39세,"11,899","1,882",308,373,189,528,478,307,318,202,"2,651","2,029","2,634"
2020년02월_계_40~49세,"16,161","2,253",433,505,289,713,744,611,488,283,"3,576","3,268","2,998"
2020년02월_계_50~59세,"20,134","2,818",886,"1,003",594,"1,224","1,399","1,010",838,453,"3,887","3,272","2,750"
2020년02월_계_60~69세,"17,288","2,385",982,"1,105",719,"1,259","1,532",953,828,570,"3,037","2,214","1,704"
2020년02월_계_70~79세,"10,100","1,318",660,684,447,848,"1,013",647,540,368,"1,546","1,149",880
2020년02월_계_80~89세,"5,106",704,384,386,214,466,584,387,296,185,651,471,378
2020년02월_계_90~99세,760,100,46,63,38,85,84,51,58,23,102,62,48
2020년02월_계_100세 이상,40,9,1,1,1,0,4,4,2,1,8,3,6
2020년02월_남_총인구수,"56,378","8,022","2,408","2,615","1,537","3,322","3,694","2,562","2,139","1,277","10,996","9,318","8,488"
2020년02월_남_연령구간인구수,"56,378","8,022","2,408","2,615","1,537","3,322","3,694","2,562","2,139","1,277","10,996","9,318","8,488"
2020년02월_남_0~9세,"3,980",520,106,99,49,127,132,81,70,56,886,771,"1,083"
2020년02월_남_10~19세,"5,109",695,162,157,70,248,246,229,139,70,"1,039","1,214",840
2020년02월_남_20~29세,"6,513",905,259,241,149,325,358,232,208,120,"1,472","1,220","1,024"
2020년02월_남_30~39세,"6,221","1,057",173,219,110,282,272,165,173,106,"1,339","1,042","1,283"
2020년02월_남_40~49세,"8,413","1,210",244,283,159,421,397,339,277,154,"1,825","1,597","1,507"
2020년02월_남_50~59세,"10,549","1,497",481,534,320,667,755,571,472,224,"1,957","1,703","1,368"
2020년02월_남_60~69세,"8,785","1,221",497,579,372,659,815,499,405,289,"1,503","1,092",854
2020년02월_남_70~79세,"4,744",631,339,335,219,418,464,289,273,174,713,500,389
2020년02월_남_80~89세,"1,890",259,134,154,83,157,230,139,114,76,240,169,135
2020년02월_남_90~99세,159,22,12,14,6,18,23,17,7,8,18,10,4
2020년02월_남_100세 이상,15,5,1,0,0,0,2,1,1,0,4,0,1
2020년02월_여_총인구수,"54,630","7,465","2,214","2,397","1,429","3,124","3,440","2,382","1,989","1,305","11,021","9,277","8,587"
2020년02월_여_연령구간인구수,"54,630","7,465","2,214","2,397","1,429","3,124","3,440","2,382","1,989","1,305","11,021","9,277","8,587"
2020년02월_여_0~9세,"3,705",548,66,83,41,173,113,78,74,72,818,692,947
2020년02월_여_10~19세,"4,745",633,132,124,69,206,210,164,124,78,"1,011","1,123",871
2020년02월_여_20~29세,"5,468",717,197,188,97,244,237,190,145,101,"1,333","1,107",912
2020년02월_여_30~39세,"5,678",825,135,154,79,246,206,142,145,96,"1,312",987,"1,351"
2020년02월_여_40~49세,"7,748","1,043",189,222,130,292,347,272,211,129,"1,751","1,671","1,491"
2020년02월_여_50~59세,"9,585","1,321",405,469,274,557,644,439,366,229,"1,930","1,569","1,382"
2020년02월_여_60~69세,"8,503","1,164",485,526,347,600,717,454,423,281,"1,534","1,122",850
2020년02월_여_70~79세,"5,356",687,321,349,228,430,549,358,267,194,833,649,491
2020년02월_여_80~89세,"3,216",445,250,232,131,309,354,248,182,109,411,302,243
2020년02월_여_90~99세,601,78,34,49,32,67,61,34,51,15,84,52,44
2020년02월_여_100세 이상,25,4,0,1,1,0,2,3,1,1,4,3,5
