카테고리,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2020년02월_계_총인구수,"546,436","17,261","23,294","21,626","27,594","29,878","14,709","30,545","25,336","38,591","20,562","36,000","37,269","22,532","34,496","6,895","22,404","18,169","44,839","24,375","16,257","18,027","15,777"
2020년02월_계_연령구간인구수,"546,436","17,261","23,294","21,626","27,594","29,878","14,709","30,545","25,336","38,591","20,562","36,000","37,269","22,532","34,496","6,895","22,404","18,169","44,839","24,375","16,257","18,027","15,777"
2020년02월_계_0~9세,"38,979","1,054",746,"1,203","2,284","2,450",949,"2,587","2,157","2,097",829,"1,136","3,170","1,884","3,065",397,"1,681","1,155","4,944","2,406",809,"1,270",706
2020년02월_계_10~19세,"60,254","1,775",942,"1,322","2,888","2,541","1,417","3,489","5,630","6,676","2,614","1,474","5,498","2,349","4,866",618,"2,666","1,675","4,509","3,458","1,287","1,886",674
2020년02월_계_20~29세,"75,503","2,363","4,679","3,514","3,222","4,262","2,113","3,982","2,494","5,207","3,393","7,664","4,764","3,134","4,100",834,"2,996","2,661","5,391","2,667","2,377","1,984","1,702"
2020년02월_계_30~39세,"85,434","2,535","6,030","4,698","3,631","4,933","2,220","5,292","1,707","3,468","3,427","10,192","5,481","3,416","3,851",735,"2,916","2,838","7,285","3,167","2,399","2,676","2,537"
2020년02월_계_40~49세,"100,856","3,150","3,859","3,713","5,021","5,155","2,424","6,554","6,328","7,720","4,204","6,002","8,741","3,924","6,733",987,"3,739","3,031","7,733","4,695","2,244","3,158","1,741"
2020년02월_계_50~59세,"80,301","2,501","2,804","2,909","3,951","4,522","2,416","3,998","3,717","6,751","3,216","4,235","4,640","3,521","5,464","1,148","3,893","3,111","6,058","3,687","2,672","2,660","2,427"
2020년02월_계_60~69세,"58,212","1,797","2,321","2,222","3,127","3,323","1,764","2,415","1,917","3,988","1,522","2,984","2,597","2,510","3,498","1,201","2,884","2,284","4,778","2,773","2,502","2,486","3,319"
2020년02월_계_70~79세,"33,177","1,405","1,361","1,478","2,406","1,900","1,033","1,651",994,"1,981","1,030","1,664","1,733","1,250","2,059",694,"1,201","1,023","2,660","1,023","1,368","1,424","1,839"
2020년02월_계_80~89세,"11,234",581,460,462,881,622,301,483,327,568,286,534,521,444,699,218,344,317,"1,215",392,492,413,674
2020년02월_계_90~99세,"2,213",90,73,85,167,146,66,82,50,114,31,93,103,92,143,53,75,69,259,102,102,65,153
2020년02월_계_100세 이상,273,10,19,20,16,24,6,12,15,21,10,22,21,8,18,10,9,5,7,5,5,5,5
2020년02월_남_총인구수,"261,466","8,026","10,847","10,042","12,668","14,062","7,323","14,546","12,740","19,600","9,708","17,359","17,485","10,674","16,056","3,330","10,834","8,914","21,353","11,990","7,971","8,712","7,226"
2020년02월_남_연령구간인구수,"261,466","8,026","10,847","10,042","12,668","14,062","7,323","14,546","12,740","19,600","9,708","17,359","17,485","10,674","16,056","3,330","10,834","8,914","21,353","11,990","7,971","8,712","7,226"
2020년02월_남_0~9세,"20,184",547,374,613,"1,094","1,310",522,"1,366","1,178","1,148",415,564,"1,635",900,"1,603",200,844,612,"2,479","1,332",410,676,362
2020년02월_남_10~19세,"31,466",891,453,700,"1,395","1,336",826,"1,912","3,163","3,935","1,425",716,"2,619","1,089","2,157",296,"1,317",860,"2,221","1,958",727,"1,145",325
2020년02월_남_20~29세,"36,165","1,085","2,085","1,566","1,507","1,996","1,153","1,927","1,258","2,809","1,617","3,338","2,052","1,491","1,879",420,"1,512","1,352","2,582","1,381","1,230","1,044",881
2020년02월_남_30~39세,"39,124","1,114","2,798","2,076","1,554","2,155","1,059","2,224",658,"1,611","1,543","4,998","2,362","1,554","1,584",342,"1,410","1,432","3,378","1,440","1,256","1,284","1,292"
2020년02월_남_40~49세,"47,034","1,412","1,884","1,799","2,285","2,386","1,107","3,014","2,811","3,303","1,819","3,058","4,075","1,866","2,999",475,"1,675","1,470","3,844","2,179","1,137","1,517",919
2020년02월_남_50~59세,"39,992","1,236","1,366","1,412","1,917","2,120","1,161","2,028","2,073","3,540","1,601","2,208","2,519","1,688","2,771",572,"1,916","1,492","2,952","1,777","1,270","1,296","1,077"
2020년02월_남_60~69세,"26,585",816,"1,011",957,"1,351","1,542",823,"1,088",935,"1,990",698,"1,409","1,151","1,238","1,641",565,"1,374","1,061","2,119","1,285","1,123","1,028","1,380"
2020년02월_남_70~79세,"15,763",625,656,690,"1,108",905,520,746,509,"1,010",461,805,799,641,"1,055",348,644,484,"1,297",491,645,584,740
2020년02월_남_80~89세,"4,578",271,194,200,420,268,133,220,144,229,124,236,242,178,325,100,128,134,413,131,149,126,213
2020년02월_남_90~99세,524,28,23,23,35,39,17,19,8,21,3,22,29,26,40,12,13,16,67,15,23,12,33
2020년02월_남_100세 이상,51,1,3,6,2,5,2,2,3,4,2,5,2,3,2,0,1,1,1,1,1,0,4
2020년02월_여_총인구수,"284,970","9,235","12,447","11,584","14,926","15,816","7,386","15,999","12,596","18,991","10,854","18,641","19,784","11,858","18,440","3,565","11,570","9,255","23,486","12,385","8,286","9,315","8,551"
2020년02월_여_연령구간인구수,"284,970","9,235","12,447","11,584","14,926","15,816","7,386","15,999","12,596","18,991","10,854","18,641","19,784","11,858","18,440","3,565","11,570","9,255","23,486","12,385","8,286","9,315","8,551"
2020년02월_여_0~9세,"18,795",507,372,590,"1,190","1,140",427,"1,221",979,949,414,572,"1,535",984,"1,462",197,837,543,"2,465","1,074",399,594,344
2020년02월_여_10~19세,"28,788",884,489,622,"1,493","1,205",591,"1,577","2,467","2,741","1,189",758,"2,879","1,260","2,709",322,"1,349",815,"2,288","1,500",560,741,349
2020년02월_여_20~29세,"39,338","1,278","2,594","1,948","1,715","2,266",960,"2,055","1,236","2,398","1,776","4,326","2,712","1,643","2,221",414,"1,484","1,309","2,809","1,286","1,147",940,821
2020년02월_여_30~39세,"46,310","1,421","3,232","2,622","2,077","2,778","1,161","3,068","1,049","1,857","1,884","5,194","3,119","1,862","2,267",393,"1,506","1,406","3,907","1,727","1,143","1,392","1,245"
2020년02월_여_40~49세,"53,822","1,738","1,975","1,914","2,736","2,769","1,317","3,540","3,517","4,417","2,385","2,944","4,666","2,058","3,734",512,"2,064","1,561","3,889","2,516","1,107","1,641",822
2020년02월_여_50~59세,"40,309","1,265","1,438","1,497","2,034","2,402","1,255","1,970","1,644","3,211","1,615","2,027","2,121","1,833","2,693",576,"1,977","1,619","3,106","1,910","1,402","1,364","1,350"
2020년02월_여_60~69세,"31,627",981,"1,310","1,265","1,776","1,781",941,"1,327",982,"1,998",824,"1,575","1,446","1,272","1,857",636,"1,510","1,223","2,659","1,488","1,379","1,458","1,939"
2020년02월_여_70~79세,"17,414",780,705,788,"1,298",995,513,905,485,971,569,859,934,609,"1,004",346,557,539,"1,363",532,723,840,"1,099"
2020년02월_여_80~89세,"6,656",310,266,262,461,354,168,263,183,339,162,298,279,266,374,118,216,183,802,261,343,287,461
2020년02월_여_90~99세,"1,689",62,50,62,132,107,49,63,42,93,28,71,74,66,103,41,62,53,192,87,79,53,120
2020년02월_여_100세 이상,222,9,16,14,14,19,4,10,12,17,8,17,19,5,16,10,8,4,6,4,4,5,1
