카테고리,충청북도 괴산군,충청북도 괴산군 괴산읍,충청북도 괴산군 감물면,충청북도 괴산군 장연면,충청북도 괴산군 연풍면,충청북도 괴산군 칠성면,충청북도 괴산군 문광면,충청북도 괴산군 청천면,충청북도 괴산군 청안면,충청북도 괴산군 사리면,충청북도 괴산군 소수면,충청북도 괴산군 불정면
2020년06월_계_총인구수,"37,493","10,006","2,057","1,886","2,299","3,095","2,158","5,079","3,400","2,733","2,054","2,726"
2020년06월_계_연령구간인구수,"37,493","10,006","2,057","1,886","2,299","3,095","2,158","5,079","3,400","2,733","2,054","2,726"
2020년06월_계_0~9세,"1,294",648,50,33,33,89,53,128,82,65,46,67
2020년06월_계_10~19세,"2,072",946,126,50,92,145,99,210,121,113,62,108
2020년06월_계_20~29세,"2,924","1,267",121,109,131,213,139,274,201,212,118,139
2020년06월_계_30~39세,"2,492","1,029",106,91,99,191,113,248,189,164,121,141
2020년06월_계_40~49세,"3,876","1,485",183,155,188,310,194,406,290,269,176,220
2020년06월_계_50~59세,"7,375","1,646",420,429,460,696,447,"1,100",704,525,400,548
2020년06월_계_60~69세,"8,322","1,463",503,489,618,669,512,"1,317",883,626,557,685
2020년06월_계_70~79세,"5,424",964,300,295,396,479,341,866,512,449,341,481
2020년06월_계_80~89세,"3,250",504,213,205,244,276,225,453,361,280,193,296
2020년06월_계_90~99세,436,50,34,29,35,25,35,72,53,28,37,38
2020년06월_계_100세 이상,28,4,1,1,3,2,0,5,4,2,3,3
2020년06월_남_총인구수,"19,202","5,127","1,075",964,"1,190","1,546","1,078","2,613","1,738","1,410","1,058","1,403"
2020년06월_남_연령구간인구수,"19,202","5,127","1,075",964,"1,190","1,546","1,078","2,613","1,738","1,410","1,058","1,403"
2020년06월_남_0~9세,660,338,26,17,16,35,25,61,40,38,24,40
2020년06월_남_10~19세,"1,064",482,65,25,54,74,43,111,66,51,32,61
2020년06월_남_20~29세,"1,736",729,73,68,81,107,87,167,134,132,70,88
2020년06월_남_30~39세,"1,407",543,65,55,63,115,64,140,104,97,82,79
2020년06월_남_40~49세,"2,229",796,117,92,110,181,108,237,178,161,112,137
2020년06월_남_50~59세,"3,989",895,233,235,249,381,238,609,374,289,201,285
2020년06월_남_60~69세,"4,358",724,266,264,332,360,261,689,468,336,300,358
2020년06월_남_70~79세,"2,515",415,138,133,184,212,178,419,246,200,166,224
2020년06월_남_80~89세,"1,140",192,83,71,91,75,68,164,112,98,63,123
2020년06월_남_90~99세,97,12,9,4,9,6,6,15,15,7,8,6
2020년06월_남_100세 이상,7,1,0,0,1,0,0,1,1,1,0,2
2020년06월_여_총인구수,"18,291","4,879",982,922,"1,109","1,549","1,080","2,466","1,662","1,323",996,"1,323"
2020년06월_여_연령구간인구수,"18,291","4,879",982,922,"1,109","1,549","1,080","2,466","1,662","1,323",996,"1,323"
2020년06월_여_0~9세,634,310,24,16,17,54,28,67,42,27,22,27
2020년06월_여_10~19세,"1,008",464,61,25,38,71,56,99,55,62,30,47
2020년06월_여_20~29세,"1,188",538,48,41,50,106,52,107,67,80,48,51
2020년06월_여_30~39세,"1,085",486,41,36,36,76,49,108,85,67,39,62
2020년06월_여_40~49세,"1,647",689,66,63,78,129,86,169,112,108,64,83
2020년06월_여_50~59세,"3,386",751,187,194,211,315,209,491,330,236,199,263
2020년06월_여_60~69세,"3,964",739,237,225,286,309,251,628,415,290,257,327
2020년06월_여_70~79세,"2,909",549,162,162,212,267,163,447,266,249,175,257
2020년06월_여_80~89세,"2,110",312,130,134,153,201,157,289,249,182,130,173
2020년06월_여_90~99세,339,38,25,25,26,19,29,57,38,21,29,32
2020년06월_여_100세 이상,21,3,1,1,2,2,0,4,3,1,3,1
