카테고리,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2021년05월_계_총인구수,"867,819","82,113","17,419","87,411","42,379","7,084","5,822","6,956","10,923","7,103","9,953","10,324","4,024","11,498","21,965","43,698","34,576","24,110","32,224","13,560","23,008","51,314","35,598","42,123","52,952","43,498","32,790","84,991","28,403"
2021년05월_계_연령구간인구수,"867,819","82,113","17,419","87,411","42,379","7,084","5,822","6,956","10,923","7,103","9,953","10,324","4,024","11,498","21,965","43,698","34,576","24,110","32,224","13,560","23,008","51,314","35,598","42,123","52,952","43,498","32,790","84,991","28,403"
2021년05월_계_0~9세,"102,843","8,105",889,"10,516","4,065",255,222,256,446,169,300,379,97,398,"4,028","4,253","3,656","2,314","4,191","1,236","1,699","6,153","4,109","5,617","8,837","6,289","4,743","14,452","5,169"
2021년05월_계_10~19세,"98,358","9,851","1,433","10,261","3,597",472,319,387,780,290,470,598,168,749,"2,187","3,891","3,601","3,919","4,004","1,776","2,198","6,899","6,606","5,330","9,068","4,296","3,186","9,498","2,524"
2021년05월_계_20~29세,"107,105","10,307","1,782","10,550","5,784",805,592,757,995,539,990,"1,051",399,"1,350","2,357","7,131","5,788","3,008","4,037","1,722","3,118","8,153","3,750","6,378","4,206","5,300","4,678","8,763","2,815"
2021년05월_계_30~39세,"150,633","11,347","1,583","15,766","7,221",629,510,769,899,511,"1,011",897,381,"1,185","4,739","8,728","6,156","2,908","5,688","1,503","2,894","9,550","4,042","8,226","8,741","10,647","7,649","18,934","7,519"
2021년05월_계_40~49세,"167,039","15,839","2,736","17,623","6,945",917,683,989,"1,404",796,"1,448","1,289",477,"1,605","4,262","7,827","6,063","5,250","6,058","2,619","3,885","10,204","8,721","8,439","13,329","8,379","6,356","17,559","5,337"
2021년05월_계_50~59세,"118,063","12,665","3,525","11,238","6,593","1,487","1,180","1,427","2,105","1,592","2,290","2,141",898,"2,416","2,715","5,965","4,714","3,383","4,504","2,292","4,123","6,535","4,832","4,307","5,615","4,393","3,520","8,965","2,643"
2021년05월_계_60~69세,"74,146","8,408","2,881","6,846","4,915","1,363","1,203","1,256","2,188","1,735","2,001","2,154",897,"2,109","1,261","3,616","2,762","1,799","2,622","1,410","3,093","2,435","2,081","2,146","2,092","2,654","1,769","4,770","1,680"
2021년05월_계_70~79세,"32,428","3,782","1,607","2,973","2,109",727,641,708,"1,227",846,843,"1,076",408,"1,008",269,"1,545","1,287","1,023",745,709,"1,345",954,"1,025","1,182",748,"1,073",609,"1,469",490
2021년05월_계_80~89세,"14,990","1,571",864,"1,455",972,381,389,350,736,541,512,672,268,581,128,657,480,451,327,257,578,383,395,439,271,404,235,500,193
2021년05월_계_90~99세,"2,130",223,116,176,172,48,81,53,136,82,84,66,30,90,18,83,68,54,47,35,68,47,35,57,45,61,44,78,33
2021년05월_계_100세 이상,84,15,3,7,6,0,2,4,7,2,4,1,1,7,1,2,1,1,1,1,7,1,2,2,0,2,1,3,0
2021년05월_남_총인구수,"450,855","41,685","9,509","46,831","23,164","3,763","3,299","4,169","5,906","3,924","6,024","5,951","2,480","6,651","11,014","23,648","17,788","11,746","16,297","6,945","12,158","26,456","17,553","21,735","26,365","21,894","16,996","42,587","14,317"
2021년05월_남_연령구간인구수,"450,855","41,685","9,509","46,831","23,164","3,763","3,299","4,169","5,906","3,924","6,024","5,951","2,480","6,651","11,014","23,648","17,788","11,746","16,297","6,945","12,158","26,456","17,553","21,735","26,365","21,894","16,996","42,587","14,317"
2021년05월_남_0~9세,"52,584","4,039",479,"5,457","2,109",131,121,144,227,85,160,210,58,205,"1,988","2,169","1,929","1,173","2,119",632,864,"3,112","2,111","2,905","4,491","3,238","2,421","7,369","2,638"
2021년05월_남_10~19세,"50,181","4,894",738,"5,253","1,845",254,176,213,425,157,243,330,93,406,"1,070","2,003","1,843","1,961","2,081",915,"1,173","3,542","3,303","2,752","4,580","2,189","1,658","4,824","1,260"
2021년05월_남_20~29세,"58,184","5,495","1,080","5,801","3,434",459,355,496,582,350,664,646,279,840,"1,222","4,166","3,214","1,545","2,125",943,"1,792","4,404","1,930","3,524","2,114","2,582","2,380","4,375","1,387"
2021년05월_남_30~39세,"78,496","5,775",957,"8,884","4,216",366,318,524,549,305,687,578,264,791,"2,326","4,979","3,237","1,411","2,823",785,"1,604","4,867","1,805","4,301","3,756","5,404","4,000","9,223","3,761"
2021년05월_남_40~49세,"88,995","8,208","1,620","9,832","3,949",525,436,687,808,492,967,840,335,"1,019","2,237","4,410","3,104","2,522","3,127","1,341","2,151","5,083","4,250","4,336","6,838","4,387","3,423","9,188","2,880"
2021년05월_남_50~59세,"63,582","6,708","2,031","6,249","3,604",834,699,883,"1,216",928,"1,508","1,357",595,"1,479","1,325","3,161","2,369","1,757","2,201","1,209","2,156","3,602","2,565","2,280","3,098","2,249","1,859","4,383","1,277"
2021년05월_남_60~69세,"37,807","4,197","1,509","3,478","2,573",717,706,712,"1,189",947,"1,160","1,202",544,"1,195",669,"1,812","1,339",807,"1,345",688,"1,572","1,235",990,943,"1,056","1,208",885,"2,326",803
2021년05월_남_70~79세,"15,178","1,768",760,"1,334","1,039",327,320,367,585,426,426,506,212,485,133,684,553,413,374,330,641,452,435,504,342,497,281,740,244
2021년05월_남_80~89세,"5,386",552,305,500,360,139,152,133,291,215,188,262,93,213,40,245,189,149,95,97,191,148,160,172,84,128,80,142,63
2021년05월_남_90~99세,444,46,30,39,35,11,15,10,34,19,21,19,7,16,4,18,10,8,7,5,12,11,3,18,6,12,9,15,4
2021년05월_남_100세 이상,18,3,0,4,0,0,1,0,0,0,0,1,0,2,0,1,1,0,0,0,2,0,1,0,0,0,0,2,0
2021년05월_여_총인구수,"416,964","40,428","7,910","40,580","19,215","3,321","2,523","2,787","5,017","3,179","3,929","4,373","1,544","4,847","10,951","20,050","16,788","12,364","15,927","6,615","10,850","24,858","18,045","20,388","26,587","21,604","15,794","42,404","14,086"
2021년05월_여_연령구간인구수,"416,964","40,428","7,910","40,580","19,215","3,321","2,523","2,787","5,017","3,179","3,929","4,373","1,544","4,847","10,951","20,050","16,788","12,364","15,927","6,615","10,850","24,858","18,045","20,388","26,587","21,604","15,794","42,404","14,086"
2021년05월_여_0~9세,"50,259","4,066",410,"5,059","1,956",124,101,112,219,84,140,169,39,193,"2,040","2,084","1,727","1,141","2,072",604,835,"3,041","1,998","2,712","4,346","3,051","2,322","7,083","2,531"
2021년05월_여_10~19세,"48,177","4,957",695,"5,008","1,752",218,143,174,355,133,227,268,75,343,"1,117","1,888","1,758","1,958","1,923",861,"1,025","3,357","3,303","2,578","4,488","2,107","1,528","4,674","1,264"
2021년05월_여_20~29세,"48,921","4,812",702,"4,749","2,350",346,237,261,413,189,326,405,120,510,"1,135","2,965","2,574","1,463","1,912",779,"1,326","3,749","1,820","2,854","2,092","2,718","2,298","4,388","1,428"
2021년05월_여_30~39세,"72,137","5,572",626,"6,882","3,005",263,192,245,350,206,324,319,117,394,"2,413","3,749","2,919","1,497","2,865",718,"1,290","4,683","2,237","3,925","4,985","5,243","3,649","9,711","3,758"
2021년05월_여_40~49세,"78,044","7,631","1,116","7,791","2,996",392,247,302,596,304,481,449,142,586,"2,025","3,417","2,959","2,728","2,931","1,278","1,734","5,121","4,471","4,103","6,491","3,992","2,933","8,371","2,457"
2021년05월_여_50~59세,"54,481","5,957","1,494","4,989","2,989",653,481,544,889,664,782,784,303,937,"1,390","2,804","2,345","1,626","2,303","1,083","1,967","2,933","2,267","2,027","2,517","2,144","1,661","4,582","1,366"
2021년05월_여_60~69세,"36,339","4,211","1,372","3,368","2,342",646,497,544,999,788,841,952,353,914,592,"1,804","1,423",992,"1,277",722,"1,521","1,200","1,091","1,203","1,036","1,446",884,"2,444",877
2021년05월_여_70~79세,"17,250","2,014",847,"1,639","1,070",400,321,341,642,420,417,570,196,523,136,861,734,610,371,379,704,502,590,678,406,576,328,729,246
2021년05월_여_80~89세,"9,604","1,019",559,955,612,242,237,217,445,326,324,410,175,368,88,412,291,302,232,160,387,235,235,267,187,276,155,358,130
2021년05월_여_90~99세,"1,686",177,86,137,137,37,66,43,102,63,63,47,23,74,14,65,58,46,40,30,56,36,32,39,39,49,35,63,29
2021년05월_여_100세 이상,66,12,3,3,6,0,1,4,7,2,4,0,1,5,1,1,0,1,1,1,5,1,1,2,0,2,1,1,0
