,전라남도 장흥군,전라남도 장흥군 장흥읍,전라남도 장흥군 관산읍,전라남도 장흥군 대덕읍,전라남도 장흥군 용산면,전라남도 장흥군 안양면,전라남도 장흥군 장동면,전라남도 장흥군 장평면,전라남도 장흥군 유치면,전라남도 장흥군 부산면,전라남도 장흥군 회진면
2020년05월_계_총인구수,"38,146","15,532","5,035","3,463","2,364","2,883","1,299","2,122","1,121","1,452","2,875"
2020년05월_계_연령구간인구수,"38,146","15,532","5,035","3,463","2,364","2,883","1,299","2,122","1,121","1,452","2,875"
2020년05월_계_0~9세,"2,065","1,345",158,145,85,85,40,40,20,42,105
2020년05월_계_10~19세,"2,903","1,621",320,222,114,138,57,110,44,81,196
2020년05월_계_20~29세,"3,157","1,614",337,245,149,214,77,136,77,91,217
2020년05월_계_30~39세,"2,926","1,659",303,200,141,181,81,94,46,62,159
2020년05월_계_40~49세,"4,252","2,146",438,368,215,269,109,163,105,149,290
2020년05월_계_50~59세,"6,451","2,477",884,589,357,523,213,404,270,251,483
2020년05월_계_60~69세,"6,422","2,124",971,645,488,542,268,369,240,218,557
2020년05월_계_70~79세,"5,496","1,480",909,566,429,485,212,416,180,267,552
2020년05월_계_80~89세,"3,850",892,629,428,327,370,214,348,118,237,287
2020년05월_계_90~99세,599,162,85,50,56,75,26,42,20,54,29
2020년05월_계_100세 이상,25,12,1,5,3,1,2,0,1,0,0
2020년05월_남_총인구수,"18,526","7,569","2,439","1,667","1,139","1,414",622,"1,008",560,700,"1,408"
2020년05월_남_연령구간인구수,"18,526","7,569","2,439","1,667","1,139","1,414",622,"1,008",560,700,"1,408"
2020년05월_남_0~9세,"1,065",682,85,61,49,52,24,19,8,25,60
2020년05월_남_10~19세,"1,525",836,189,115,60,76,25,52,27,38,107
2020년05월_남_20~29세,"1,772",892,191,135,90,124,38,84,39,52,127
2020년05월_남_30~39세,"1,543",824,164,108,88,110,40,53,32,34,90
2020년05월_남_40~49세,"2,357","1,078",257,234,133,158,72,108,63,84,170
2020년05월_남_50~59세,"3,487","1,290",471,327,187,286,120,234,159,158,255
2020년05월_남_60~69세,"3,188","1,024",492,315,267,284,136,187,119,108,256
2020년05월_남_70~79세,"2,297",632,370,229,167,215,96,163,70,111,244
2020년05월_남_80~89세,"1,174",281,202,129,93,94,64,101,37,79,94
2020년05월_남_90~99세,114,29,18,12,5,15,6,7,6,11,5
2020년05월_남_100세 이상,4,1,0,2,0,0,1,0,0,0,0
2020년05월_여_총인구수,"19,620","7,963","2,596","1,796","1,225","1,469",677,"1,114",561,752,"1,467"
2020년05월_여_연령구간인구수,"19,620","7,963","2,596","1,796","1,225","1,469",677,"1,114",561,752,"1,467"
2020년05월_여_0~9세,"1,000",663,73,84,36,33,16,21,12,17,45
2020년05월_여_10~19세,"1,378",785,131,107,54,62,32,58,17,43,89
2020년05월_여_20~29세,"1,385",722,146,110,59,90,39,52,38,39,90
2020년05월_여_30~39세,"1,383",835,139,92,53,71,41,41,14,28,69
2020년05월_여_40~49세,"1,895","1,068",181,134,82,111,37,55,42,65,120
2020년05월_여_50~59세,"2,964","1,187",413,262,170,237,93,170,111,93,228
2020년05월_여_60~69세,"3,234","1,100",479,330,221,258,132,182,121,110,301
2020년05월_여_70~79세,"3,199",848,539,337,262,270,116,253,110,156,308
2020년05월_여_80~89세,"2,676",611,427,299,234,276,150,247,81,158,193
2020년05월_여_90~99세,485,133,67,38,51,60,20,35,14,43,24
2020년05월_여_100세 이상,21,11,1,3,3,1,1,0,1,0,0
