카테고리,대전광역시 서구,대전광역시 서구 복수동,대전광역시 서구 도마1동,대전광역시 서구 도마2동,대전광역시 서구 정림동,대전광역시 서구 변동,대전광역시 서구 용문동,대전광역시 서구 탄방동,대전광역시 서구 괴정동,대전광역시 서구 가장동,대전광역시 서구 내동,대전광역시 서구 갈마1동,대전광역시 서구 갈마2동,대전광역시 서구 월평1동,대전광역시 서구 월평2동,대전광역시 서구 월평3동,대전광역시 서구 가수원동,대전광역시 서구 관저1동,대전광역시 서구 관저2동,대전광역시 서구 기성동,대전광역시 서구 둔산1동,대전광역시 서구 둔산2동,대전광역시 서구 만년동,대전광역시 서구 둔산3동
2020년05월_계_총인구수,"481,449","22,879","15,169","18,507","16,815","16,511","12,834","26,303","19,177","12,511","24,236","22,014","25,371","11,148","15,347","22,276","41,360","15,875","51,138","3,850","17,230","37,127","13,298","20,473"
2020년05월_계_연령구간인구수,"481,449","22,879","15,169","18,507","16,815","16,511","12,834","26,303","19,177","12,511","24,236","22,014","25,371","11,148","15,347","22,276","41,360","15,875","51,138","3,850","17,230","37,127","13,298","20,473"
2020년05월_계_0~9세,"39,714","2,237",741,936,"1,180","1,073",711,"1,615","1,287",917,"2,029","1,246","1,582",430,838,"1,938","5,640","1,325","6,545",111,"1,614","3,424","1,045","1,250"
2020년05월_계_10~19세,"51,038","3,115","1,097","1,537","1,556","1,291",655,"2,440","1,340","1,164","2,709","1,775","2,206",632,"1,379","2,823","4,669","1,676","6,406",160,"3,427","4,574","1,438","2,969"
2020년05월_계_20~29세,"74,031","2,861","2,412","2,584","2,192","2,235","2,574","5,155","4,312","1,689","3,181","4,214","5,583","2,712","1,973","2,960","4,957","2,815","6,833",294,"1,696","5,625","2,416","2,758"
2020년05월_계_30~39세,"67,592","2,843","1,593","1,969","1,817","2,098","2,231","4,302","3,585","1,602","2,914","3,527","4,275","1,825","1,610","2,713","6,886","2,092","8,610",301,"1,485","5,498","2,048","1,768"
2020년05월_계_40~49세,"79,782","4,354","1,849","2,558","2,430","2,374","1,716","4,409","2,876","1,916","4,150","3,278","3,905","1,606","2,078","3,608","7,665","2,423","9,565",411,"4,023","6,700","2,281","3,607"
2020년05월_계_50~59세,"78,090","3,451","2,717","3,264","3,234","3,006","1,912","4,320","2,565","2,019","3,908","3,547","4,116","1,888","2,972","4,077","5,642","2,840","7,230",733,"2,450","6,355","2,225","3,619"
2020년05월_계_60~69세,"52,990","2,349","2,618","3,137","2,547","2,500","1,662","2,418","1,876","1,763","3,054","2,792","2,356","1,248","2,417","2,753","3,645","1,490","3,466",748,"1,327","3,207","1,150","2,467"
2020년05월_계_70~79세,"25,363","1,169","1,487","1,698","1,216","1,337",922,"1,049",923,983,"1,579","1,132",887,541,"1,267",887,"1,520",779,"1,638",608,808,"1,131",455,"1,347"
2020년05월_계_80~89세,"11,132",432,580,726,560,514,395,534,356,394,636,432,414,227,686,452,618,376,736,391,345,531,199,598
2020년05월_계_90~99세,"1,630",66,71,92,81,77,52,59,54,61,69,63,47,36,125,64,114,58,97,87,53,78,41,85
2020년05월_계_100세 이상,87,2,4,6,2,6,4,2,3,3,7,8,0,3,2,1,4,1,12,6,2,4,0,5
2020년05월_남_총인구수,"237,046","11,292","7,651","9,367","8,243","8,427","6,082","12,687","9,335","6,072","11,762","11,268","12,601","5,987","7,301","10,955","20,396","7,591","25,021","1,972","8,499","17,992","6,676","9,869"
2020년05월_남_연령구간인구수,"237,046","11,292","7,651","9,367","8,243","8,427","6,082","12,687","9,335","6,072","11,762","11,268","12,601","5,987","7,301","10,955","20,396","7,591","25,021","1,972","8,499","17,992","6,676","9,869"
2020년05월_남_0~9세,"20,442","1,153",381,516,610,585,388,850,670,452,"1,047",690,801,230,407,960,"2,858",699,"3,357",62,822,"1,738",540,626
2020년05월_남_10~19세,"26,367","1,576",545,810,815,662,333,"1,300",679,606,"1,315",949,"1,025",340,714,"1,528","2,408",860,"3,261",86,"1,805","2,404",745,"1,601"
2020년05월_남_20~29세,"37,746","1,458","1,340","1,430","1,183","1,219","1,141","2,367","1,963",851,"1,713","2,233","2,840","1,465","1,043","1,636","2,500","1,319","3,431",171,889,"2,782","1,298","1,474"
2020년05월_남_30~39세,"34,426","1,391",885,"1,087",925,"1,144","1,167","2,160","1,893",808,"1,470","2,017","2,284","1,088",828,"1,299","3,316","1,049","4,231",179,635,"2,627","1,094",849
2020년05월_남_40~49세,"38,645","2,105",993,"1,360","1,193","1,256",888,"2,125","1,487",933,"1,963","1,629","1,965",891,964,"1,669","3,889","1,107","4,522",253,"1,814","2,983","1,091","1,565"
2020년05월_남_50~59세,"37,818","1,715","1,337","1,601","1,482","1,513",873,"2,049","1,182",971,"1,847","1,686","1,992",985,"1,410","1,862","2,695","1,322","3,613",395,"1,318","3,120","1,036","1,814"
2020년05월_남_60~69세,"25,637","1,134","1,235","1,465","1,270","1,212",739,"1,186",892,831,"1,393","1,327","1,125",634,"1,195","1,432","1,776",754,"1,616",406,663,"1,623",594,"1,135"
2020년05월_남_70~79세,"11,636",584,692,789,545,604,400,455,416,455,754,572,427,262,528,407,709,330,754,278,391,510,196,578
2020년05월_남_80~89세,"3,935",159,226,288,203,211,138,182,142,153,236,155,134,84,184,149,218,135,217,126,138,180,72,205
2020년05월_남_90~99세,377,16,16,20,16,20,15,13,11,12,21,8,8,7,27,13,27,16,15,16,23,25,10,22
2020년05월_남_100세 이상,17,1,1,1,1,1,0,0,0,0,3,2,0,1,1,0,0,0,4,0,1,0,0,0
2020년05월_여_총인구수,"244,403","11,587","7,518","9,140","8,572","8,084","6,752","13,616","9,842","6,439","12,474","10,746","12,770","5,161","8,046","11,321","20,964","8,284","26,117","1,878","8,731","19,135","6,622","10,604"
2020년05월_여_연령구간인구수,"244,403","11,587","7,518","9,140","8,572","8,084","6,752","13,616","9,842","6,439","12,474","10,746","12,770","5,161","8,046","11,321","20,964","8,284","26,117","1,878","8,731","19,135","6,622","10,604"
2020년05월_여_0~9세,"19,272","1,084",360,420,570,488,323,765,617,465,982,556,781,200,431,978,"2,782",626,"3,188",49,792,"1,686",505,624
2020년05월_여_10~19세,"24,671","1,539",552,727,741,629,322,"1,140",661,558,"1,394",826,"1,181",292,665,"1,295","2,261",816,"3,145",74,"1,622","2,170",693,"1,368"
2020년05월_여_20~29세,"36,285","1,403","1,072","1,154","1,009","1,016","1,433","2,788","2,349",838,"1,468","1,981","2,743","1,247",930,"1,324","2,457","1,496","3,402",123,807,"2,843","1,118","1,284"
2020년05월_여_30~39세,"33,166","1,452",708,882,892,954,"1,064","2,142","1,692",794,"1,444","1,510","1,991",737,782,"1,414","3,570","1,043","4,379",122,850,"2,871",954,919
2020년05월_여_40~49세,"41,137","2,249",856,"1,198","1,237","1,118",828,"2,284","1,389",983,"2,187","1,649","1,940",715,"1,114","1,939","3,776","1,316","5,043",158,"2,209","3,717","1,190","2,042"
