,대전광역시,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구
2021년04월_계_총인구수,"1,457,619","223,358","233,213","475,622","350,017","175,409"
2021년04월_계_연령구간인구수,"1,457,619","223,358","233,213","475,622","350,017","175,409"
2021년04월_계_0~9세,"111,757","14,869","14,648","37,149","34,125","10,966"
2021년04월_계_10~19세,"144,580","19,927","21,578","48,899","37,875","16,301"
2021년04월_계_20~29세,"211,361","30,180","30,590","73,706","52,506","24,379"
2021년04월_계_30~39세,"192,055","25,790","25,608","65,395","55,391","19,871"
2021년04월_계_40~49세,"234,618","33,994","36,173","77,468","60,183","26,800"
2021년04월_계_50~59세,"239,844","36,404","39,109","77,024","53,978","33,329"
2021년04월_계_60~69세,"184,422","33,423","34,221","56,471","34,803","25,504"
2021년04월_계_70~79세,"91,427","19,072","20,572","26,176","13,523","12,084"
2021년04월_계_80~89세,"41,422","8,540","9,368","11,572","6,504","5,438"
2021년04월_계_90~99세,"5,932","1,120","1,298","1,703","1,103",708
2021년04월_계_100세 이상,201,39,48,59,26,29
2021년04월_남_총인구수,"727,522","112,660","114,991","233,902","176,715","89,254"
2021년04월_남_연령구간인구수,"727,522","112,660","114,991","233,902","176,715","89,254"
2021년04월_남_0~9세,"57,464","7,685","7,498","19,175","17,568","5,538"
2021년04월_남_10~19세,"74,723","10,301","11,133","25,203","19,561","8,525"
2021년04월_남_20~29세,"110,901","16,020","15,604","37,594","28,149","13,534"
2021년04월_남_30~39세,"100,347","13,969","13,178","33,435","28,916","10,849"
2021년04월_남_40~49세,"117,038","17,848","18,377","37,495","29,603","13,715"
2021년04월_남_50~59세,"119,640","18,731","19,756","37,317","26,916","16,920"
2021년04월_남_60~69세,"89,501","16,196","16,321","27,084","17,304","12,596"
2021년04월_남_70~79세,"41,606","8,551","9,253","12,009","6,291","5,502"
2021년04월_남_80~89세,"14,907","3,072","3,556","4,183","2,163","1,933"
2021년04월_남_90~99세,"1,359",277,307,396,240,139
2021년04월_남_100세 이상,36,10,8,11,4,3
2021년04월_여_총인구수,"730,097","110,698","118,222","241,720","173,302","86,155"
2021년04월_여_연령구간인구수,"730,097","110,698","118,222","241,720","173,302","86,155"
2021년04월_여_0~9세,"54,293","7,184","7,150","17,974","16,557","5,428"
2021년04월_여_10~19세,"69,857","9,626","10,445","23,696","18,314","7,776"
2021년04월_여_20~29세,"100,460","14,160","14,986","36,112","24,357","10,845"
2021년04월_여_30~39세,"91,708","11,821","12,430","31,960","26,475","9,022"
2021년04월_여_40~49세,"117,580","16,146","17,796","39,973","30,580","13,085"
2021년04월_여_50~59세,"120,204","17,673","19,353","39,707","27,062","16,409"
2021년04월_여_60~69세,"94,921","17,227","17,900","29,387","17,499","12,908"
2021년04월_여_70~79세,"49,821","10,521","11,319","14,167","7,232","6,582"
2021년04월_여_80~89세,"26,515","5,468","5,812","7,389","4,341","3,505"
2021년04월_여_90~99세,"4,573",843,991,"1,307",863,569
2021년04월_여_100세 이상,165,29,40,48,22,26
