,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2020년10월_계_총인구수,"497,082","24,579","15,663","30,450","29,355","17,133","35,068","34,182","15,484","26,258","18,465","22,961","18,433","23,837","22,905","21,914","15,901","17,583","23,714","24,236","31,342","27,619"
2020년10월_계_연령구간인구수,"497,082","24,579","15,663","30,450","29,355","17,133","35,068","34,182","15,484","26,258","18,465","22,961","18,433","23,837","22,905","21,914","15,901","17,583","23,714","24,236","31,342","27,619"
2020년10월_계_0~9세,"22,857","1,236","1,326","2,095","1,198",732,"1,291","2,180",441,"1,195","1,040",698,630,825,813,381,"1,258",690,743,943,"1,810","1,332"
2020년10월_계_10~19세,"28,987","1,486","1,151","2,964","1,401",859,"1,696","2,653",617,"1,609",816,869,874,"1,130","1,176",491,"1,443",865,987,"1,599","2,352","1,949"
2020년10월_계_20~29세,"109,402","4,672","1,878","3,995","7,484","5,536","11,198","5,527","4,480","5,797","3,953","6,477","4,438","5,722","5,802","8,415","1,754","4,066","6,220","3,015","4,860","4,113"
2020년10월_계_30~39세,"87,418","4,097","2,648","3,990","6,057","3,575","6,724","5,449","3,027","4,984","3,739","4,630","3,277","4,752","3,944","5,635","1,923","3,313","4,828","2,767","4,328","3,731"
2020년10월_계_40~49세,"69,025","3,441","2,516","5,122","3,691","2,024","4,066","5,312","1,760","3,669","2,332","2,804","2,337","3,287","3,060","2,478","3,006","2,266","3,598","3,478","4,761","4,017"
2020년10월_계_50~59세,"68,372","3,426","2,321","4,817","3,488","1,680","3,881","4,940","1,857","3,513","2,566","2,805","2,442","3,128","3,265","1,759","2,593","2,405","3,185","4,338","5,031","4,932"
2020년10월_계_60~69세,"58,995","3,287","1,981","3,863","3,163","1,354","3,276","4,316","1,677","2,911","2,252","2,540","2,230","2,758","2,569","1,446","2,115","2,184","2,254","4,140","4,628","4,051"
2020년10월_계_70~79세,"37,054","2,125","1,214","2,505","2,108",969,"2,137","2,739","1,150","1,850","1,309","1,520","1,561","1,579","1,637",953,"1,291","1,253","1,321","2,702","2,612","2,519"
2020년10월_계_80~89세,"12,930",702,535,930,652,347,684,932,423,639,393,556,554,559,558,295,442,470,506,"1,051",843,859
2020년10월_계_90~99세,"1,728",98,70,139,96,47,95,117,43,83,62,53,77,77,66,46,63,63,60,175,96,102
2020년10월_계_100세 이상,314,9,23,30,17,10,20,17,9,8,3,9,13,20,15,15,13,8,12,28,21,14
2020년10월_남_총인구수,"249,412","12,057","7,677","14,733","14,277","8,640","16,853","16,717","7,386","12,809","8,932","11,815","9,232","13,065","11,453","11,411","7,830","8,905","14,326","12,121","15,333","13,840"
2020년10월_남_연령구간인구수,"249,412","12,057","7,677","14,733","14,277","8,640","16,853","16,717","7,386","12,809","8,932","11,815","9,232","13,065","11,453","11,411","7,830","8,905","14,326","12,121","15,333","13,840"
2020년10월_남_0~9세,"11,740",631,687,"1,107",615,385,631,"1,160",246,625,551,361,295,419,429,183,639,342,378,494,906,656
2020년10월_남_10~19세,"14,808",770,598,"1,564",694,409,833,"1,341",289,841,385,455,436,574,641,244,732,440,497,846,"1,167","1,052"
2020년10월_남_20~29세,"53,360","2,245",996,"1,979","3,386","2,654","4,919","2,644","1,837","2,733","1,785","3,286","2,248","3,182","2,727","4,068",896,"1,864","3,737","1,622","2,417","2,135"
2020년10월_남_30~39세,"48,263","2,234","1,326","1,991","3,234","1,988","3,570","2,810","1,651","2,611","1,985","2,704","1,863","2,916","2,230","3,230",954,"1,857","3,264","1,560","2,239","2,046"
2020년10월_남_40~49세,"36,848","1,771","1,287","2,547","1,931","1,070","2,122","2,750",954,"1,842","1,207","1,529","1,264","1,991","1,584","1,426","1,513","1,204","2,442","1,861","2,443","2,110"
2020년10월_남_50~59세,"34,151","1,618","1,131","2,331","1,685",875,"1,940","2,397",936,"1,720","1,179","1,338","1,204","1,660","1,615",978,"1,303","1,282","1,994","2,166","2,405","2,394"
2020년10월_남_60~69세,"27,440","1,510",896,"1,747","1,465",652,"1,516","1,959",775,"1,320","1,016","1,162",984,"1,318","1,217",687,989,"1,072","1,165","1,917","2,140","1,933"
2020년10월_남_70~79세,"16,998",974,533,"1,079",960,452,997,"1,238",515,814,619,723,704,748,739,453,609,614,602,"1,199","1,263","1,163"
2020년10월_남_80~89세,"5,323",283,198,342,277,139,290,392,169,275,193,243,216,244,253,130,171,213,231,408,323,333
2020년10월_남_90~99세,414,20,22,42,24,14,28,20,13,26,12,13,13,11,13,11,18,17,13,43,24,17
2020년10월_남_100세 이상,67,1,3,4,6,2,7,6,1,2,0,1,5,2,5,1,6,0,3,5,6,1
2020년10월_여_총인구수,"247,670","12,522","7,986","15,717","15,078","8,493","18,215","17,465","8,098","13,449","9,533","11,146","9,201","10,772","11,452","10,503","8,071","8,678","9,388","12,115","16,009","13,779"
2020년10월_여_연령구간인구수,"247,670","12,522","7,986","15,717","15,078","8,493","18,215","17,465","8,098","13,449","9,533","11,146","9,201","10,772","11,452","10,503","8,071","8,678","9,388","12,115","16,009","13,779"
2020년10월_여_0~9세,"11,117",605,639,988,583,347,660,"1,020",195,570,489,337,335,406,384,198,619,348,365,449,904,676
2020년10월_여_10~19세,"14,179",716,553,"1,400",707,450,863,"1,312",328,768,431,414,438,556,535,247,711,425,490,753,"1,185",897
2020년10월_여_20~29세,"56,042","2,427",882,"2,016","4,098","2,882","6,279","2,883","2,643","3,064","2,168","3,191","2,190","2,540","3,075","4,347",858,"2,202","2,483","1,393","2,443","1,978"
2020년10월_여_30~39세,"39,155","1,863","1,322","1,999","2,823","1,587","3,154","2,639","1,376","2,373","1,754","1,926","1,414","1,836","1,714","2,405",969,"1,456","1,564","1,207","2,089","1,685"
2020년10월_여_40~49세,"32,177","1,670","1,229","2,575","1,760",954,"1,944","2,562",806,"1,827","1,125","1,275","1,073","1,296","1,476","1,052","1,493","1,062","1,156","1,617","2,318","1,907"
