,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2020년09월_계_총인구수,"562,972","24,370","14,854","8,649","28,051","14,533","17,681","31,953","29,604","23,798","16,806","32,063","22,586","43,948","16,697","77,165","39,786","20,418","11,584","36,693","19,837","18,640","13,256"
2020년09월_계_연령구간인구수,"562,972","24,370","14,854","8,649","28,051","14,533","17,681","31,953","29,604","23,798","16,806","32,063","22,586","43,948","16,697","77,165","39,786","20,418","11,584","36,693","19,837","18,640","13,256"
2020년09월_계_0~9세,"41,226","1,747",616,402,"2,173",696,"1,371","2,090","1,891","1,380",901,"1,449","2,206","5,239",637,"9,095","3,065","1,160",389,"2,396",865,789,669
2020년09월_계_10~19세,"56,150","2,063",751,581,"2,368","1,009","1,728","3,673","3,024","2,585","1,423","2,533","2,200","8,336","1,188","8,425","4,886","1,498",611,"3,693","1,344","1,269",962
2020년09월_계_20~29세,"80,224","2,996","2,375","1,303","4,340","2,432","2,522","5,142","4,762","4,153","2,585","6,797","2,789","4,222","1,852","9,293","5,447","3,562","1,293","5,129","2,948","2,554","1,728"
2020년09월_계_30~39세,"67,716","2,894","1,915",969,"3,861","1,807","2,293","3,432","3,381","2,556","2,156","3,674","3,165","4,698","1,341","11,587","4,201","2,890","1,130","3,937","2,303","1,994","1,532"
2020년09월_계_40~49세,"90,453","3,661","1,881","1,145","4,190","2,027","2,823","5,341","4,736","3,790","2,391","4,680","4,053","10,756","2,334","13,728","6,539","2,644","1,247","5,326","2,739","2,444","1,978"
2020년09월_계_50~59세,"104,461","4,282","2,629","1,535","5,264","2,961","3,366","6,701","6,505","5,284","3,589","6,462","3,973","5,925","3,115","11,946","7,387","3,861","2,315","7,404","3,869","3,473","2,615"
2020년09월_계_60~69세,"72,386","3,798","2,491","1,382","3,652","2,213","2,194","3,417","3,288","2,467","2,505","3,644","2,692","2,863","3,123","7,895","5,003","2,963","2,585","5,465","3,232","3,344","2,170"
2020년09월_계_70~79세,"34,068","2,041","1,514",888,"1,601",964,986,"1,490","1,370","1,042",883,"1,867","1,061","1,290","2,072","3,561","2,124","1,240","1,320","2,174","1,727","1,809","1,044"
2020년09월_계_80~89세,"14,507",793,611,400,535,383,356,608,580,490,334,855,395,541,935,"1,451","1,001",520,611,"1,053",728,841,486
2020년09월_계_90~99세,"1,694",87,65,39,65,39,39,57,65,51,39,100,48,70,94,167,128,77,82,116,79,115,72
2020년09월_계_100세 이상,87,8,6,5,2,2,3,2,2,0,0,2,4,8,6,17,5,3,1,0,3,8,0
2020년09월_남_총인구수,"277,979","11,892","7,220","4,192","13,754","7,193","8,728","16,045","14,923","11,974","8,520","16,460","11,190","21,535","8,021","37,930","19,472","10,140","5,582","17,848","9,815","8,974","6,571"
2020년09월_남_연령구간인구수,"277,979","11,892","7,220","4,192","13,754","7,193","8,728","16,045","14,923","11,974","8,520","16,460","11,190","21,535","8,021","37,930","19,472","10,140","5,582","17,848","9,815","8,974","6,571"
2020년09월_남_0~9세,"21,126",852,317,215,"1,089",343,719,"1,089","1,005",705,472,771,"1,092","2,660",353,"4,652","1,558",605,197,"1,238",464,398,332
2020년09월_남_10~19세,"29,145",983,385,299,"1,207",543,897,"1,967","1,611","1,314",747,"1,269","1,044","4,233",620,"4,425","2,688",804,337,"1,913",708,640,511
2020년09월_남_20~29세,"42,807","1,532","1,110",660,"2,186","1,253","1,323","2,754","2,577","2,283","1,411","3,716","1,515","2,314","1,019","4,912","2,973","1,878",736,"2,781","1,537","1,363",974
2020년09월_남_30~39세,"35,231","1,487",994,497,"2,009","1,032","1,190","1,791","1,827","1,369","1,211","2,142","1,627","2,064",727,"5,635","2,075","1,643",647,"2,043","1,269","1,102",850
2020년09월_남_40~49세,"43,820","1,895","1,035",599,"2,054",990,"1,359","2,447","2,222","1,743","1,174","2,411","2,019","4,960","1,211","6,715","2,920","1,289",645,"2,445","1,422","1,235","1,030"
2020년09월_남_50~59세,"50,504","2,138","1,322",735,"2,496","1,391","1,603","3,363","3,164","2,629","1,690","3,275","1,927","3,211","1,554","5,657","3,471","1,757","1,045","3,389","1,831","1,602","1,254"
2020년09월_남_60~69세,"34,951","1,799","1,161",644,"1,749","1,081","1,072","1,708","1,703","1,296","1,287","1,816","1,296","1,325","1,435","3,774","2,448","1,428","1,200","2,684","1,505","1,535","1,005"
2020년09월_남_70~79세,"15,120",915,658,379,751,414,436,702,590,461,395,798,518,572,800,"1,617",961,557,594,976,801,771,454
2020년09월_남_80~89세,"4,885",276,226,155,198,135,119,215,207,164,122,242,139,176,276,497,348,165,161,355,266,303,140
2020년09월_남_90~99세,372,14,11,9,13,10,9,9,17,10,11,20,11,19,25,40,30,14,20,24,12,23,21
2020년09월_남_100세 이상,18,1,1,0,2,1,1,0,0,0,0,0,2,1,1,6,0,0,0,0,0,2,0
2020년09월_여_총인구수,"284,993","12,478","7,634","4,457","14,297","7,340","8,953","15,908","14,681","11,824","8,286","15,603","11,396","22,413","8,676","39,235","20,314","10,278","6,002","18,845","10,022","9,666","6,685"
2020년09월_여_연령구간인구수,"284,993","12,478","7,634","4,457","14,297","7,340","8,953","15,908","14,681","11,824","8,286","15,603","11,396","22,413","8,676","39,235","20,314","10,278","6,002","18,845","10,022","9,666","6,685"
2020년09월_여_0~9세,"20,100",895,299,187,"1,084",353,652,"1,001",886,675,429,678,"1,114","2,579",284,"4,443","1,507",555,192,"1,158",401,391,337
2020년09월_여_10~19세,"27,005","1,080",366,282,"1,161",466,831,"1,706","1,413","1,271",676,"1,264","1,156","4,103",568,"4,000","2,198",694,274,"1,780",636,629,451
2020년09월_여_20~29세,"37,417","1,464","1,265",643,"2,154","1,179","1,199","2,388","2,185","1,870","1,174","3,081","1,274","1,908",833,"4,381","2,474","1,684",557,"2,348","1,411","1,191",754
2020년09월_여_30~39세,"32,485","1,407",921,472,"1,852",775,"1,103","1,641","1,554","1,187",945,"1,532","1,538","2,634",614,"5,952","2,126","1,247",483,"1,894","1,034",892,682
2020년09월_여_40~49세,"46,633","1,766",846,546,"2,136","1,037","1,464","2,894","2,514","2,047","1,217","2,269","2,034","5,796","1,123","7,013","3,619","1,355",602,"2,881","1,317","1,209",948
2020년09월_여_50~59세,"53,957","2,144","1,307",800,"2,768","1,570","1,763","3,338","3,341","2,655","1,899","3,187","2,046","2,714","1,561","6,289","3,916","2,104","1,270","4,015","2,038","1,871","1,361"
2020년09월_여_60~69세,"37,435","1,999","1,330",738,"1,903","1,132","1,122","1,709","1,585","1,171","1,218","1,828","1,396","1,538","1,688","4,121","2,555","1,535","1,385","2,781","1,727","1,809","1,165"
2020년09월_여_70~79세,"18,948","1,126",856,509,850,550,550,788,780,581,488,"1,069",543,718,"1,272","1,944","1,163",683,726,"1,198",926,"1,038",590
2020년09월_여_80~89세,"9,622",517,385,245,337,248,237,393,373,326,212,613,256,365,659,954,653,355,450,698,462,538,346
2020년09월_여_90~99세,"1,322",73,54,30,52,29,30,48,48,41,28,80,37,51,69,127,98,63,62,92,67,92,51
2020년09월_여_100세 이상,69,7,5,5,0,1,2,2,2,0,0,2,2,7,5,11,5,3,1,0,3,6,0
