카테고리,부산광역시 동래구,부산광역시 동래구 수민동,부산광역시 동래구 복산동,부산광역시 동래구 명륜동,부산광역시 동래구 온천제1동,부산광역시 동래구 온천제2동,부산광역시 동래구 온천제3동,부산광역시 동래구 사직제1동,부산광역시 동래구 사직제2동,부산광역시 동래구 사직제3동,부산광역시 동래구 안락제1동,부산광역시 동래구 안락제2동,부산광역시 동래구 명장제1동,부산광역시 동래구 명장제2동
2021년11월_계_총인구수,"266,570","32,611","9,548","24,786","19,876","14,715","38,597","10,615","27,434","17,496","14,619","27,277","14,092","14,904"
2021년11월_계_연령구간인구수,"266,570","32,611","9,548","24,786","19,876","14,715","38,597","10,615","27,434","17,496","14,619","27,277","14,092","14,904"
2021년11월_계_0~9세,"18,676","2,530",311,"2,517","1,008",783,"2,494",771,"2,476","1,465",767,"1,776",951,827
2021년11월_계_10~19세,"24,598","2,798",585,"3,305","1,123","1,410","2,797",994,"4,010","1,832",952,"2,776","1,018",998
2021년11월_계_20~29세,"31,258","3,738",989,"2,414","3,179","1,673","5,316","1,238","3,028","1,787","1,622","3,031","1,511","1,732"
2021년11월_계_30~39세,"31,680","4,210",828,"2,862","3,325","1,342","5,211","1,305","2,593","1,858","1,646","3,017","1,637","1,846"
2021년11월_계_40~49세,"42,352","5,052","1,161","5,043","3,045","2,043","5,588","1,736","5,496","3,205","1,955","4,211","1,928","1,889"
2021년11월_계_50~59세,"43,349","5,237","1,672","3,657","3,042","2,427","6,493","1,648","4,538","2,611","2,462","4,675","2,367","2,520"
2021년11월_계_60~69세,"41,943","5,093","2,021","2,751","2,688","2,594","6,177","1,521","3,286","2,560","2,895","4,600","2,672","3,085"
2021년11월_계_70~79세,"22,718","2,719","1,289","1,523","1,648","1,579","3,196",925,"1,467","1,571","1,620","2,280","1,440","1,461"
2021년11월_계_80~89세,"8,851","1,099",604,628,730,741,"1,183",427,473,545,623,805,509,484
2021년11월_계_90~99세,"1,108",134,85,85,80,123,138,50,65,62,70,100,55,61
2021년11월_계_100세 이상,37,1,3,1,8,0,4,0,2,0,7,6,4,1
2021년11월_남_총인구수,"129,568","15,822","4,646","12,179","9,405","7,059","18,903","5,088","13,230","8,678","7,191","13,277","6,817","7,273"
2021년11월_남_연령구간인구수,"129,568","15,822","4,646","12,179","9,405","7,059","18,903","5,088","13,230","8,678","7,191","13,277","6,817","7,273"
2021년11월_남_0~9세,"9,663","1,270",164,"1,319",507,379,"1,285",396,"1,255",831,414,921,486,436
2021년11월_남_10~19세,"12,777","1,506",312,"1,814",558,726,"1,481",478,"1,924","1,036",509,"1,420",483,530
2021년11월_남_20~29세,"16,291","1,981",540,"1,238","1,411",911,"2,708",650,"1,637",935,861,"1,656",808,955
2021년11월_남_30~39세,"15,935","2,103",457,"1,337","1,679",707,"2,699",654,"1,220",888,872,"1,526",818,975
2021년11월_남_40~49세,"20,742","2,511",610,"2,418","1,471",967,"2,792",839,"2,535","1,602","1,000","2,019","1,006",972
2021년11월_남_50~59세,"20,679","2,437",825,"1,819","1,493","1,148","3,036",812,"2,231","1,305","1,191","2,184","1,083","1,115"
2021년11월_남_60~69세,"19,387","2,322",954,"1,277","1,258","1,200","2,901",663,"1,574","1,155","1,331","2,143","1,227","1,382"
2021년11월_남_70~79세,"10,437","1,247",549,689,718,697,"1,458",415,691,706,750,"1,101",692,724
2021년11월_남_80~89세,"3,399",413,217,250,286,294,504,172,159,209,248,281,200,166
2021년11월_남_90~99세,250,32,18,18,22,30,39,9,4,11,12,25,12,18
2021년11월_남_100세 이상,8,0,0,0,2,0,0,0,0,0,3,1,2,0
2021년11월_여_총인구수,"137,002","16,789","4,902","12,607","10,471","7,656","19,694","5,527","14,204","8,818","7,428","14,000","7,275","7,631"
2021년11월_여_연령구간인구수,"137,002","16,789","4,902","12,607","10,471","7,656","19,694","5,527","14,204","8,818","7,428","14,000","7,275","7,631"
2021년11월_여_0~9세,"9,013","1,260",147,"1,198",501,404,"1,209",375,"1,221",634,353,855,465,391
2021년11월_여_10~19세,"11,821","1,292",273,"1,491",565,684,"1,316",516,"2,086",796,443,"1,356",535,468
2021년11월_여_20~29세,"14,967","1,757",449,"1,176","1,768",762,"2,608",588,"1,391",852,761,"1,375",703,777
2021년11월_여_30~39세,"15,745","2,107",371,"1,525","1,646",635,"2,512",651,"1,373",970,774,"1,491",819,871
2021년11월_여_40~49세,"21,610","2,541",551,"2,625","1,574","1,076","2,796",897,"2,961","1,603",955,"2,192",922,917
2021년11월_여_50~59세,"22,670","2,800",847,"1,838","1,549","1,279","3,457",836,"2,307","1,306","1,271","2,491","1,284","1,405"
2021년11월_여_60~69세,"22,556","2,771","1,067","1,474","1,430","1,394","3,276",858,"1,712","1,405","1,564","2,457","1,445","1,703"
2021년11월_여_70~79세,"12,281","1,472",740,834,930,882,"1,738",510,776,865,870,"1,179",748,737
2021년11월_여_80~89세,"5,452",686,387,378,444,447,679,255,314,336,375,524,309,318
2021년11월_여_90~99세,858,102,67,67,58,93,99,41,61,51,58,75,43,43
2021년11월_여_100세 이상,29,1,3,1,6,0,4,0,2,0,4,5,2,1
