,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사읍,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2021년07월_계_총인구수,"1,079,049","261,482","33,521","26,876","20,463","23,750","8,259","9,128","20,541","24,896","44,672","36,308","13,068","440,630","38,377","30,559","17,577","41,937","13,361","33,433","21,716","26,188","39,103","32,182","32,888","27,305","24,962","24,776","36,266","376,937","36,533","41,349","37,938","56,630","18,392","49,579","48,517","33,595","54,404"
2021년07월_계_연령구간인구수,"1,079,049","261,482","33,521","26,876","20,463","23,750","8,259","9,128","20,541","24,896","44,672","36,308","13,068","440,630","38,377","30,559","17,577","41,937","13,361","33,433","21,716","26,188","39,103","32,182","32,888","27,305","24,962","24,776","36,266","376,937","36,533","41,349","37,938","56,630","18,392","49,579","48,517","33,595","54,404"
2021년07월_계_0~9세,"97,332","20,564","2,237","1,882","1,505","3,163",337,236,"1,218","1,547","4,663","3,111",665,"41,025","3,279","3,330","1,837","4,201",926,"2,861","1,795","3,042","3,152","2,581","3,251","2,552","3,112","1,870","3,236","35,743","2,658","4,539","3,360","4,759","1,463","5,629","4,649","3,195","5,491"
2021년07월_계_10~19세,"122,502","26,542","3,711","2,423","1,794","1,998",554,"1,096","2,944","2,183","4,432","4,299","1,108","50,488","3,529","3,590","1,232","3,331","1,256","4,313","2,177","2,572","4,739","3,056","5,669","4,632","3,137","2,753","4,502","45,472","3,616","5,698","5,331","6,928","1,566","5,372","6,176","4,209","6,576"
2021년07월_계_20~29세,"138,360","34,852","4,788","3,476","2,177","1,841",728,944,"2,580","4,405","7,151","4,923","1,839","57,028","5,027","3,801","2,470","6,629","1,958","4,029","2,590","5,225","4,379","4,089","3,614","3,262","2,362","3,403","4,190","46,480","5,303","4,934","4,059","7,932","2,804","5,551","6,271","3,834","5,792"
2021년07월_계_30~39세,"142,310","33,706","3,896","3,090","2,349","4,092",720,740,"2,444","3,199","7,311","4,469","1,396","57,766","6,028","4,533","3,171","7,596","1,886","3,711","2,760","4,438","4,033","3,966","3,272","2,306","3,336","2,735","3,995","50,838","6,240","6,068","3,915","6,883","3,198","7,703","6,665","4,095","6,071"
2021년07월_계_40~49세,"198,563","43,563","5,958","4,520","3,340","4,316","1,054",992,"3,109","3,860","7,734","6,739","1,941","82,866","6,532","5,928","2,729","7,086","2,338","6,414","3,859","4,502","7,536","5,313","7,743","6,130","5,238","4,284","7,234","72,134","5,955","8,836","7,842","10,583","3,016","9,601","9,302","6,433","10,566"
2021년07월_계_50~59세,"168,445","43,554","5,974","4,781","3,722","3,054","1,566","1,552","3,438","4,217","6,459","6,256","2,535","68,262","6,181","4,934","2,802","6,611","2,274","5,321","3,549","3,243","5,972","5,172","4,881","4,439","2,919","4,540","5,424","56,629","5,469","5,896","5,862","8,959","2,868","7,186","7,139","5,154","8,096"
2021년07월_계_60~69세,"111,752","33,576","3,937","3,862","3,143","3,037","1,791","1,895","2,854","3,189","4,062","3,670","2,136","43,169","4,165","2,721","1,790","3,786","1,352","3,499","2,789","1,953","4,409","3,797","2,222","2,094","2,173","2,852","3,567","35,007","3,802","2,558","3,503","5,397","1,842","4,828","4,204","3,132","5,741"
2021년07월_계_70~79세,"65,966","16,212","1,947","1,863","1,515","1,530",933,929,"1,206","1,478","1,942","1,881",988,"26,423","2,396","1,166",761,"1,873",902,"2,205","1,469",832,"3,212","2,792","1,497","1,237","1,755","1,563","2,763","23,331","2,299","1,745","2,797","3,365","1,045","2,594","2,788","2,406","4,292"
