카테고리,대전광역시,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구
2021년11월_계_총인구수,"1,453,675","223,038","231,306","473,952","351,049","174,330"
2021년11월_계_연령구간인구수,"1,453,675","223,038","231,306","473,952","351,049","174,330"
2021년11월_계_0~9세,"107,912","14,302","14,056","35,892","33,210","10,452"
2021년11월_계_10~19세,"142,601","19,589","21,064","48,332","37,744","15,872"
2021년11월_계_20~29세,"210,148","30,294","30,196","73,110","52,454","24,094"
2021년11월_계_30~39세,"189,983","25,440","25,188","64,807","54,927","19,621"
2021년11월_계_40~49세,"231,153","33,546","35,384","76,314","59,829","26,080"
2021년11월_계_50~59세,"240,267","36,396","38,996","76,970","54,663","33,242"
2021년11월_계_60~69세,"190,076","34,284","34,827","58,289","36,458","26,218"
2021년11월_계_70~79세,"92,291","19,134","20,561","26,449","13,838","12,309"
2021년11월_계_80~89세,"42,957","8,853","9,680","11,977","6,774","5,673"
2021년11월_계_90~99세,"6,098","1,159","1,315","1,758","1,123",743
2021년11월_계_100세 이상,189,41,39,54,29,26
2021년11월_남_총인구수,"725,406","112,408","113,977","233,010","177,352","88,659"
2021년11월_남_연령구간인구수,"725,406","112,408","113,977","233,010","177,352","88,659"
2021년11월_남_0~9세,"55,492","7,430","7,191","18,500","17,093","5,278"
2021년11월_남_10~19세,"73,738","10,147","10,886","24,876","19,558","8,271"
2021년11월_남_20~29세,"110,127","16,006","15,356","37,308","28,142","13,315"
2021년11월_남_30~39세,"99,530","13,761","13,009","33,202","28,785","10,773"
2021년11월_남_40~49세,"115,145","17,529","17,880","36,926","29,428","13,382"
2021년11월_남_50~59세,"120,042","18,836","19,765","37,315","27,269","16,857"
2021년11월_남_60~69세,"92,225","16,590","16,640","27,972","18,048","12,975"
2021년11월_남_70~79세,"42,054","8,608","9,218","12,112","6,482","5,634"
2021년11월_남_80~89세,"15,636","3,205","3,714","4,402","2,296","2,019"
2021년11월_남_90~99세,"1,384",286,310,387,248,153
2021년11월_남_100세 이상,33,10,8,10,3,2
2021년11월_여_총인구수,"728,269","110,630","117,329","240,942","173,697","85,671"
2021년11월_여_연령구간인구수,"728,269","110,630","117,329","240,942","173,697","85,671"
2021년11월_여_0~9세,"52,420","6,872","6,865","17,392","16,117","5,174"
2021년11월_여_10~19세,"68,863","9,442","10,178","23,456","18,186","7,601"
2021년11월_여_20~29세,"100,021","14,288","14,840","35,802","24,312","10,779"
2021년11월_여_30~39세,"90,453","11,679","12,179","31,605","26,142","8,848"
2021년11월_여_40~49세,"116,008","16,017","17,504","39,388","30,401","12,698"
2021년11월_여_50~59세,"120,225","17,560","19,231","39,655","27,394","16,385"
2021년11월_여_60~69세,"97,851","17,694","18,187","30,317","18,410","13,243"
2021년11월_여_70~79세,"50,237","10,526","11,343","14,337","7,356","6,675"
2021년11월_여_80~89세,"27,321","5,648","5,966","7,575","4,478","3,654"
2021년11월_여_90~99세,"4,714",873,"1,005","1,371",875,590
2021년11월_여_100세 이상,156,31,31,44,26,24
