카테고리,경상북도 성주군,경상북도 성주군 성주읍,경상북도 성주군 선남면,경상북도 성주군 용암면,경상북도 성주군 수륜면,경상북도 성주군 가천면,경상북도 성주군 금수면,경상북도 성주군 대가면,경상북도 성주군 벽진면,경상북도 성주군 초전면,경상북도 성주군 월항면
2021년06월_계_총인구수,"42,964","13,548","6,150","3,663","3,071","2,021","1,202","2,446","3,050","4,490","3,323"
2021년06월_계_연령구간인구수,"42,964","13,548","6,150","3,663","3,071","2,021","1,202","2,446","3,050","4,490","3,323"
2021년06월_계_0~9세,"1,857",904,192,111,75,63,29,68,104,185,126
2021년06월_계_10~19세,"2,194","1,257",189,105,94,36,38,91,84,193,107
2021년06월_계_20~29세,"3,334","1,423",453,214,153,115,65,181,182,311,237
2021년06월_계_30~39세,"3,200","1,332",459,239,178,118,58,126,176,298,216
2021년06월_계_40~49세,"4,592","2,004",589,332,218,159,98,227,253,433,279
2021년06월_계_50~59세,"8,180","2,396","1,310",762,565,391,236,430,554,869,667
2021년06월_계_60~69세,"9,697","2,164","1,549",998,821,549,288,593,850,"1,061",824
2021년06월_계_70~79세,"5,853","1,278",895,513,506,316,210,425,517,672,521
2021년06월_계_80~89세,"3,534",690,434,340,396,238,161,271,279,413,312
2021년06월_계_90~99세,513,100,75,49,65,34,19,34,50,54,33
2021년06월_계_100세 이상,10,0,5,0,0,2,0,0,1,1,1
2021년06월_남_총인구수,"22,238","6,886","3,356","2,003","1,532",999,624,"1,233","1,566","2,281","1,758"
2021년06월_남_연령구간인구수,"22,238","6,886","3,356","2,003","1,532",999,624,"1,233","1,566","2,281","1,758"
2021년06월_남_0~9세,928,423,104,56,45,28,19,35,50,100,68
2021년06월_남_10~19세,"1,210",703,102,68,41,17,22,49,45,107,56
2021년06월_남_20~29세,"2,011",826,301,131,102,70,39,104,109,186,143
2021년06월_남_30~39세,"1,732",680,267,154,97,76,38,65,86,158,111
2021년06월_남_40~49세,"2,737","1,074",412,217,128,102,63,141,175,255,170
2021년06월_남_50~59세,"4,501","1,273",726,450,299,201,134,248,302,487,381
2021년06월_남_60~69세,"5,114","1,096",842,563,444,278,154,295,448,538,456
2021년06월_남_70~79세,"2,737",561,441,251,237,144,100,195,253,304,251
2021년06월_남_80~89세,"1,159",232,146,103,123,76,52,92,85,136,114
2021년06월_남_90~99세,109,18,15,10,16,7,3,9,13,10,8
2021년06월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0
2021년06월_여_총인구수,"20,726","6,662","2,794","1,660","1,539","1,022",578,"1,213","1,484","2,209","1,565"
2021년06월_여_연령구간인구수,"20,726","6,662","2,794","1,660","1,539","1,022",578,"1,213","1,484","2,209","1,565"
2021년06월_여_0~9세,929,481,88,55,30,35,10,33,54,85,58
2021년06월_여_10~19세,984,554,87,37,53,19,16,42,39,86,51
2021년06월_여_20~29세,"1,323",597,152,83,51,45,26,77,73,125,94
2021년06월_여_30~39세,"1,468",652,192,85,81,42,20,61,90,140,105
2021년06월_여_40~49세,"1,855",930,177,115,90,57,35,86,78,178,109
2021년06월_여_50~59세,"3,679","1,123",584,312,266,190,102,182,252,382,286
2021년06월_여_60~69세,"4,583","1,068",707,435,377,271,134,298,402,523,368
2021년06월_여_70~79세,"3,116",717,454,262,269,172,110,230,264,368,270
2021년06월_여_80~89세,"2,375",458,288,237,273,162,109,179,194,277,198
2021년06월_여_90~99세,404,82,60,39,49,27,16,25,37,44,25
2021년06월_여_100세 이상,10,0,5,0,0,2,0,0,1,1,1
