,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2021년08월_계_총인구수,"43,279","7,289","18,491","8,841","8,658"
2021년08월_계_연령구간인구수,"43,279","7,289","18,491","8,841","8,658"
2021년08월_계_0~9세,"3,847",601,"1,196","1,341",709
2021년08월_계_10~19세,"6,270",927,"2,304","1,963","1,076"
2021년08월_계_20~29세,"4,874",771,"2,305",810,988
2021년08월_계_30~39세,"4,640",695,"1,740","1,338",867
2021년08월_계_40~49세,"8,279","1,196","3,054","2,495","1,534"
2021년08월_계_50~59세,"7,119","1,340","3,532",723,"1,524"
2021년08월_계_60~69세,"4,823","1,077","2,408",93,"1,245"
2021년08월_계_70~79세,"2,098",443,"1,117",56,482
2021년08월_계_80~89세,"1,134",190,719,20,205
2021년08월_계_90~99세,192,48,114,2,28
2021년08월_계_100세 이상,3,1,2,0,0
2021년08월_남_총인구수,"21,544","3,571","9,036","4,602","4,335"
2021년08월_남_연령구간인구수,"21,544","3,571","9,036","4,602","4,335"
2021년08월_남_0~9세,"1,923",300,605,663,355
2021년08월_남_10~19세,"3,296",466,"1,238","1,027",565
2021년08월_남_20~29세,"2,731",415,"1,249",480,587
2021년08월_남_30~39세,"2,318",331,891,674,422
2021년08월_남_40~49세,"4,024",566,"1,454","1,278",726
2021년08월_남_50~59세,"3,568",669,"1,720",431,748
2021년08월_남_60~69세,"2,320",539,"1,155",26,600
2021년08월_남_70~79세,955,215,478,13,249
2021년08월_남_80~89세,369,64,222,9,74
2021년08월_남_90~99세,39,6,23,1,9
2021년08월_남_100세 이상,1,0,1,0,0
2021년08월_여_총인구수,"21,735","3,718","9,455","4,239","4,323"
2021년08월_여_연령구간인구수,"21,735","3,718","9,455","4,239","4,323"
2021년08월_여_0~9세,"1,924",301,591,678,354
2021년08월_여_10~19세,"2,974",461,"1,066",936,511
2021년08월_여_20~29세,"2,143",356,"1,056",330,401
2021년08월_여_30~39세,"2,322",364,849,664,445
2021년08월_여_40~49세,"4,255",630,"1,600","1,217",808
2021년08월_여_50~59세,"3,551",671,"1,812",292,776
2021년08월_여_60~69세,"2,503",538,"1,253",67,645
2021년08월_여_70~79세,"1,143",228,639,43,233
2021년08월_여_80~89세,765,126,497,11,131
2021년08월_여_90~99세,153,42,91,1,19
2021년08월_여_100세 이상,2,1,1,0,0
