카테고리,경기도 양평군,경기도 양평군 양평읍,경기도 양평군 강상면,경기도 양평군 강하면,경기도 양평군 양서면,경기도 양평군 옥천면,경기도 양평군 서종면,경기도 양평군 단월면,경기도 양평군 청운면,경기도 양평군 양동면,경기도 양평군 지평면,경기도 양평군 용문면,경기도 양평군 개군면
2021년06월_계_총인구수,"120,012","30,731","10,506","4,793","13,842","8,085","9,823","3,891","3,783","4,622","6,877","17,869","5,190"
2021년06월_계_연령구간인구수,"120,012","30,731","10,506","4,793","13,842","8,085","9,823","3,891","3,783","4,622","6,877","17,869","5,190"
2021년06월_계_0~9세,"7,178","2,168",908,175,735,475,621,126,104,137,230,"1,267",232
2021년06월_계_10~19세,"9,783","3,217",962,247,"1,099",572,864,220,154,192,371,"1,566",319
2021년06월_계_20~29세,"10,617","3,545",833,348,"1,240",749,617,254,222,279,485,"1,658",387
2021년06월_계_30~39세,"10,767","3,180","1,179",360,"1,203",773,828,277,195,288,409,"1,689",386
2021년06월_계_40~49세,"16,283","4,777","1,691",500,"1,835","1,072","1,493",417,354,383,700,"2,465",596
2021년06월_계_50~59세,"20,647","5,346","1,635",870,"2,401","1,407","1,717",672,663,909,"1,226","2,915",886
2021년06월_계_60~69세,"23,992","4,671","1,844","1,301","2,826","1,697","2,131","1,004","1,048","1,201","1,748","3,253","1,268"
2021년06월_계_70~79세,"13,171","2,446",971,702,"1,659",883,"1,043",563,605,709,999,"1,878",713
2021년06월_계_80~89세,"6,514","1,211",420,244,718,398,424,315,391,439,594,"1,006",354
2021년06월_계_90~99세,"1,016",162,60,44,115,58,82,42,44,81,112,168,48
2021년06월_계_100세 이상,44,8,3,2,11,1,3,1,3,4,3,4,1
2021년06월_남_총인구수,"60,259","15,400","5,211","2,419","6,913","4,097","4,885","1,980","1,929","2,308","3,506","8,990","2,621"
2021년06월_남_연령구간인구수,"60,259","15,400","5,211","2,419","6,913","4,097","4,885","1,980","1,929","2,308","3,506","8,990","2,621"
2021년06월_남_0~9세,"3,661","1,110",452,95,379,225,303,62,60,79,136,653,107
2021년06월_남_10~19세,"5,203","1,665",508,141,594,312,458,116,88,98,217,835,171
2021년06월_남_20~29세,"5,907","1,970",444,199,672,434,344,144,124,163,270,921,222
2021년06월_남_30~39세,"5,454","1,614",556,194,606,403,393,157,104,160,215,854,198
2021년06월_남_40~49세,"8,260","2,301",846,248,939,567,749,227,206,211,382,"1,266",318
2021년06월_남_50~59세,"10,592","2,747",831,435,"1,197",718,853,355,348,477,650,"1,506",475
2021년06월_남_60~69세,"11,964","2,340",902,625,"1,362",856,"1,034",519,534,598,932,"1,628",634
2021년06월_남_70~79세,"6,473","1,184",499,375,817,425,558,272,291,337,465,893,357
2021년06월_남_80~89세,"2,498",427,159,98,316,141,174,122,162,166,206,397,130
2021년06월_남_90~99세,237,42,14,8,25,16,19,6,11,18,32,37,9
2021년06월_남_100세 이상,10,0,0,1,6,0,0,0,1,1,1,0,0
2021년06월_여_총인구수,"59,753","15,331","5,295","2,374","6,929","3,988","4,938","1,911","1,854","2,314","3,371","8,879","2,569"
2021년06월_여_연령구간인구수,"59,753","15,331","5,295","2,374","6,929","3,988","4,938","1,911","1,854","2,314","3,371","8,879","2,569"
2021년06월_여_0~9세,"3,517","1,058",456,80,356,250,318,64,44,58,94,614,125
2021년06월_여_10~19세,"4,580","1,552",454,106,505,260,406,104,66,94,154,731,148
2021년06월_여_20~29세,"4,710","1,575",389,149,568,315,273,110,98,116,215,737,165
2021년06월_여_30~39세,"5,313","1,566",623,166,597,370,435,120,91,128,194,835,188
2021년06월_여_40~49세,"8,023","2,476",845,252,896,505,744,190,148,172,318,"1,199",278
2021년06월_여_50~59세,"10,055","2,599",804,435,"1,204",689,864,317,315,432,576,"1,409",411
2021년06월_여_60~69세,"12,028","2,331",942,676,"1,464",841,"1,097",485,514,603,816,"1,625",634
2021년06월_여_70~79세,"6,698","1,262",472,327,842,458,485,291,314,372,534,985,356
2021년06월_여_80~89세,"4,016",784,261,146,402,257,250,193,229,273,388,609,224
2021년06월_여_90~99세,779,120,46,36,90,42,63,36,33,63,80,131,39
2021년06월_여_100세 이상,34,8,3,1,5,1,3,1,2,3,2,4,1
