카테고리,서울특별시 송파구,서울특별시 송파구 풍납1동,서울특별시 송파구 풍납2동,서울특별시 송파구 거여1동,서울특별시 송파구 거여2동,서울특별시 송파구 마천1동,서울특별시 송파구 마천2동,서울특별시 송파구 방이1동,서울특별시 송파구 방이2동,서울특별시 송파구 오륜동,서울특별시 송파구 오금동,서울특별시 송파구 송파1동,서울특별시 송파구 송파2동,서울특별시 송파구 석촌동,서울특별시 송파구 삼전동,서울특별시 송파구 가락본동,서울특별시 송파구 가락1동,서울특별시 송파구 가락2동,서울특별시 송파구 문정1동,서울특별시 송파구 문정2동,서울특별시 송파구 장지동,서울특별시 송파구 위례동,서울특별시 송파구 잠실본동,서울특별시 송파구 잠실2동,서울특별시 송파구 잠실3동,서울특별시 송파구 잠실4동,서울특별시 송파구 잠실6동,서울특별시 송파구 잠실7동
2020년06월_계_총인구수,"671,512","14,242","25,761","13,074","16,703","20,251","19,886","16,335","26,142","18,698","40,658","25,244","20,640","33,124","31,824","27,352","27,982","33,293","21,036","29,816","30,830","28,284","28,832","36,603","35,587","21,987","17,256","10,072"
2020년06월_계_연령구간인구수,"671,512","14,242","25,761","13,074","16,703","20,251","19,886","16,335","26,142","18,698","40,658","25,244","20,640","33,124","31,824","27,352","27,982","33,293","21,036","29,816","30,830","28,284","28,832","36,603","35,587","21,987","17,256","10,072"
2020년06월_계_0~9세,"52,088",718,"2,036",692,"1,096","1,079",970,"1,149","1,262","1,380","3,033","1,347","1,672","1,729","1,717","1,705","3,226","2,652","1,418","1,789","2,542","4,711","1,320","4,346","3,410","2,974","1,498",617
2020년06월_계_10~19세,"60,029",963,"2,133","1,077","1,437","1,692","1,461","1,720","1,335","2,839","3,405","1,444","1,941","1,991","2,117","1,958","2,273","3,635","1,635","1,523","2,904","3,561","1,875","5,968","3,995","2,323","1,730","1,094"
2020년06월_계_20~29세,"95,128","1,784","3,888","1,835","1,877","2,486","2,506","2,498","5,065","2,245","5,794","4,652","2,966","5,747","5,386","4,342","3,699","4,694","3,358","5,356","4,201","2,711","5,194","3,357","4,044","2,079","2,062","1,302"
2020년06월_계_30~39세,"112,898","2,080","4,378","1,706","2,283","2,289","2,363","2,350","5,908","1,805","5,954","5,571","3,095","7,201","6,802","4,876","5,605","4,931","3,644","7,793","4,926","5,078","6,216","4,385","4,760","3,327","2,466","1,106"
2020년06월_계_40~49세,"109,796","2,053","4,100","2,057","2,688","3,035","2,870","2,708","3,685","3,489","6,058","3,576","3,163","5,050","5,232","3,961","4,348","5,719","2,930","4,315","4,896","5,691","4,481","8,868","6,282","4,347","2,743","1,451"
2020년06월_계_50~59세,"103,472","2,503","3,759","2,353","2,859","3,677","3,851","2,753","3,707","3,132","7,118","3,645","3,411","4,892","4,662","4,830","4,060","5,340","3,517","3,544","5,073","3,243","4,193","4,772","5,275","2,937","2,694","1,672"
2020년06월_계_60~69세,"82,167","2,392","3,222","1,894","2,386","3,272","3,248","1,902","3,127","2,388","5,655","3,001","2,753","3,858","3,569","3,522","3,167","3,950","2,890","3,142","3,735","2,079","3,351","2,802","4,625","2,397","2,393","1,447"
2020년06월_계_70~79세,"39,466","1,252","1,585","1,073","1,447","1,889","1,790",828,"1,503",982,"2,446","1,467","1,139","1,956","1,684","1,511","1,218","1,649","1,169","1,567","1,741",860,"1,602","1,527","2,380","1,151","1,136",914
