카테고리,경기도 연천군,경기도 연천군 연천읍,경기도 연천군 전곡읍,경기도 연천군 군남면,경기도 연천군 청산면,경기도 연천군 백학면,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 연천군 신서면,경기도 연천군 중면,경기도 연천군 장남면
2020년07월_계_총인구수,"43,566","7,919","19,242","3,251","3,970","2,656","1,784","1,023","2,803",198,720
2020년07월_계_연령구간인구수,"43,566","7,919","19,242","3,251","3,970","2,656","1,784","1,023","2,803",198,720
2020년07월_계_0~9세,"2,833",725,"1,623",93,137,84,49,23,63,9,27
2020년07월_계_10~19세,"3,208",466,"1,928",184,193,150,72,48,122,9,36
2020년07월_계_20~29세,"5,389","1,228","2,456",332,464,241,146,84,339,45,54
2020년07월_계_30~39세,"4,274","1,038","2,178",204,284,186,118,61,151,10,44
2020년07월_계_40~49세,"5,020",823,"2,682",294,413,253,144,88,245,18,60
2020년07월_계_50~59세,"7,231","1,074","3,193",600,722,521,354,154,439,33,141
2020년07월_계_60~69세,"7,341","1,091","2,641",693,845,540,457,234,652,33,155
2020년07월_계_70~79세,"5,064",880,"1,526",499,573,435,275,225,503,25,123
2020년07월_계_80~89세,"2,754",511,840,316,284,226,144,95,254,14,70
2020년07월_계_90~99세,405,78,154,31,47,18,23,10,33,1,10
2020년07월_계_100세 이상,47,5,21,5,8,2,2,1,2,1,0
2020년07월_남_총인구수,"22,834","4,290","9,803","1,719","2,108","1,436",949,546,"1,507",116,360
2020년07월_남_연령구간인구수,"22,834","4,290","9,803","1,719","2,108","1,436",949,546,"1,507",116,360
2020년07월_남_0~9세,"1,450",367,838,47,62,41,29,14,31,4,17
2020년07월_남_10~19세,"1,715",264,"1,003",100,115,87,39,30,56,3,18
2020년07월_남_20~29세,"3,414",844,"1,377",228,324,155,89,53,271,40,33
2020년07월_남_30~39세,"2,427",620,"1,171",116,172,117,70,34,95,6,26
2020년07월_남_40~49세,"2,744",464,"1,376",178,246,143,86,56,150,8,37
2020년07월_남_50~59세,"3,884",603,"1,666",325,386,290,186,93,247,20,68
2020년07월_남_60~69세,"3,781",545,"1,341",377,434,292,261,117,319,17,78
2020년07월_남_70~79세,"2,297",378,705,221,249,207,124,105,238,13,57
2020년07월_남_80~89세,993,181,277,116,104,97,56,41,90,5,26
2020년07월_남_90~99세,114,24,41,9,15,6,8,2,9,0,0
2020년07월_남_100세 이상,15,0,8,2,1,1,1,1,1,0,0
2020년07월_여_총인구수,"20,732","3,629","9,439","1,532","1,862","1,220",835,477,"1,296",82,360
2020년07월_여_연령구간인구수,"20,732","3,629","9,439","1,532","1,862","1,220",835,477,"1,296",82,360
2020년07월_여_0~9세,"1,383",358,785,46,75,43,20,9,32,5,10
2020년07월_여_10~19세,"1,493",202,925,84,78,63,33,18,66,6,18
2020년07월_여_20~29세,"1,975",384,"1,079",104,140,86,57,31,68,5,21
2020년07월_여_30~39세,"1,847",418,"1,007",88,112,69,48,27,56,4,18
2020년07월_여_40~49세,"2,276",359,"1,306",116,167,110,58,32,95,10,23
2020년07월_여_50~59세,"3,347",471,"1,527",275,336,231,168,61,192,13,73
2020년07월_여_60~69세,"3,560",546,"1,300",316,411,248,196,117,333,16,77
2020년07월_여_70~79세,"2,767",502,821,278,324,228,151,120,265,12,66
2020년07월_여_80~89세,"1,761",330,563,200,180,129,88,54,164,9,44
2020년07월_여_90~99세,291,54,113,22,32,12,15,8,24,1,10
2020년07월_여_100세 이상,32,5,13,3,7,1,1,0,1,1,0
