카테고리,경기도 여주시,경기도 여주시 가남읍,경기도 여주시 점동면,경기도 여주시 흥천면,경기도 여주시 금사면,경기도 여주시 능서면,경기도 여주시 대신면,경기도 여주시 북내면,경기도 여주시 강천면,경기도 여주시 산북면,경기도 여주시 여흥동,경기도 여주시 중앙동,경기도 여주시 오학동
2021년10월_계_총인구수,"112,260","15,342","4,778","5,066","2,972","6,301","6,986","4,939","4,269","2,537","21,757","18,598","18,715"
2021년10월_계_연령구간인구수,"112,260","15,342","4,778","5,066","2,972","6,301","6,986","4,939","4,269","2,537","21,757","18,598","18,715"
2021년10월_계_0~9세,"6,946",914,192,167,87,259,199,139,138,107,"1,438","1,317","1,989"
2021년10월_계_10~19세,"9,461","1,229",253,257,131,431,406,348,257,156,"1,951","2,141","1,901"
2021년10월_계_20~29세,"12,039","1,656",456,379,219,525,614,420,337,197,"2,745","2,430","2,061"
2021년10월_계_30~39세,"11,173","1,691",282,353,187,474,431,286,309,172,"2,402","1,934","2,652"
2021년10월_계_40~49세,"15,761","2,183",426,501,245,680,651,563,454,252,"3,451","3,033","3,322"
2021년10월_계_50~59세,"20,069","2,768",867,903,551,"1,067","1,249","1,001",886,416,"3,888","3,394","3,079"
2021년10월_계_60~69세,"20,051","2,703","1,163","1,303",811,"1,459","1,720","1,084",980,643,"3,412","2,560","2,213"
2021년10월_계_70~79세,"10,182","1,340",672,720,455,805,973,612,551,364,"1,559","1,151",980
2021년10월_계_80~89세,"5,650",744,398,406,238,520,635,418,292,196,796,555,452
2021년10월_계_90~99세,897,109,66,75,48,80,105,67,65,33,108,79,62
2021년10월_계_100세 이상,31,5,3,2,0,1,3,1,0,1,7,4,4
2021년10월_남_총인구수,"57,122","7,974","2,468","2,657","1,540","3,251","3,650","2,572","2,211","1,276","10,871","9,336","9,316"
2021년10월_남_연령구간인구수,"57,122","7,974","2,468","2,657","1,540","3,251","3,650","2,572","2,211","1,276","10,871","9,336","9,316"
2021년10월_남_0~9세,"3,593",451,111,92,46,127,96,76,69,51,757,682,"1,035"
2021년10월_남_10~19세,"4,882",639,139,145,60,219,235,207,129,75,984,"1,100",950
2021년10월_남_20~29세,"6,578",916,264,213,139,292,367,235,202,108,"1,464","1,288","1,090"
2021년10월_남_30~39세,"5,899",954,151,203,101,257,250,155,157,96,"1,216","1,015","1,344"
2021년10월_남_40~49세,"8,179","1,174",241,278,137,398,368,304,256,137,"1,750","1,485","1,651"
2021년10월_남_50~59세,"10,536","1,500",463,498,293,598,673,568,489,213,"1,958","1,775","1,508"
2021년10월_남_60~69세,"10,218","1,368",593,676,436,765,927,577,491,335,"1,700","1,246","1,104"
2021년10월_남_70~79세,"4,898",657,348,369,227,398,450,280,280,171,731,524,463
2021년10월_남_80~89세,"2,121",280,136,164,92,181,249,156,127,82,288,207,159
2021년10월_남_90~99세,210,32,21,19,9,15,35,14,11,7,22,14,11
2021년10월_남_100세 이상,8,3,1,0,0,1,0,0,0,1,1,0,1
2021년10월_여_총인구수,"55,138","7,368","2,310","2,409","1,432","3,050","3,336","2,367","2,058","1,261","10,886","9,262","9,399"
2021년10월_여_연령구간인구수,"55,138","7,368","2,310","2,409","1,432","3,050","3,336","2,367","2,058","1,261","10,886","9,262","9,399"
2021년10월_여_0~9세,"3,353",463,81,75,41,132,103,63,69,56,681,635,954
2021년10월_여_10~19세,"4,579",590,114,112,71,212,171,141,128,81,967,"1,041",951
2021년10월_여_20~29세,"5,461",740,192,166,80,233,247,185,135,89,"1,281","1,142",971
2021년10월_여_30~39세,"5,274",737,131,150,86,217,181,131,152,76,"1,186",919,"1,308"
2021년10월_여_40~49세,"7,582","1,009",185,223,108,282,283,259,198,115,"1,701","1,548","1,671"
2021년10월_여_50~59세,"9,533","1,268",404,405,258,469,576,433,397,203,"1,930","1,619","1,571"
2021년10월_여_60~69세,"9,833","1,335",570,627,375,694,793,507,489,308,"1,712","1,314","1,109"
2021년10월_여_70~79세,"5,284",683,324,351,228,407,523,332,271,193,828,627,517
2021년10월_여_80~89세,"3,529",464,262,242,146,339,386,262,165,114,508,348,293
2021년10월_여_90~99세,687,77,45,56,39,65,70,53,54,26,86,65,51
2021년10월_여_100세 이상,23,2,2,2,0,0,3,1,0,0,6,4,3
