,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동
2020년05월_계_총인구수,"544,010","46,389","41,981","31,609","49,160","27,236","28,524","6,715","10,053","22,957","13,697","15,017","32,530","12,091","20,759","16,644","10,988","33,244","22,972","24,576","28,517","24,897","23,454"
2020년05월_계_연령구간인구수,"544,010","46,389","41,981","31,609","49,160","27,236","28,524","6,715","10,053","22,957","13,697","15,017","32,530","12,091","20,759","16,644","10,988","33,244","22,972","24,576","28,517","24,897","23,454"
2020년05월_계_0~9세,"51,879","4,961","2,559","4,044","7,139","4,261","3,410",359,516,"1,311",800,662,"2,852",597,"1,476",735,791,"2,845","2,062","2,653","3,139","2,419","2,288"
2020년05월_계_10~19세,"57,103","4,505","3,688","4,409","6,203","3,537","2,133",466,799,"1,637",953,"1,342","3,087",899,"1,998","1,341",799,"3,486","2,894","3,525","3,364","2,737","3,301"
2020년05월_계_20~29세,"73,449","6,576","6,752","3,857","5,861","2,904","3,577","1,078","1,646","3,378","1,804","2,357","4,439","1,702","3,126","2,336","1,484","4,800","2,888","2,685","3,844","3,178","3,177"
2020년05월_계_30~39세,"81,457","8,701","5,111","6,076","8,556","5,010","5,138",916,"1,212","2,994","1,636","1,618","4,631","1,505","2,643","1,883","1,712","4,815","2,644","3,504","4,787","3,374","2,991"
2020년05월_계_40~49세,"96,058","8,573","6,547","6,495","9,940","5,437","4,514",874,"1,390","3,362","1,970","2,265","5,111","1,916","3,046","2,335","1,617","5,978","4,584","5,629","5,522","4,396","4,557"
2020년05월_계_50~59세,"93,305","6,823","8,849","3,948","6,553","3,588","4,690","1,631","2,330","4,822","2,825","3,237","6,126","2,567","4,092","3,443","2,046","5,808","3,861","3,444","4,429","4,423","3,770"
2020년05월_계_60~69세,"55,306","3,869","4,950","1,781","3,271","1,714","3,178",944,"1,376","3,340","2,207","2,100","4,107","1,692","2,777","2,717","1,594","3,266","2,108","1,739","2,049","2,600","1,927"
2020년05월_계_70~79세,"23,742","1,668","2,233",654,"1,134",512,"1,272",277,510,"1,431","1,023",980,"1,522",841,"1,051","1,252",618,"1,517","1,284",949,910,"1,141",963
2020년05월_계_80~89세,"10,017",609,"1,088",300,431,231,512,129,245,582,416,403,556,325,463,519,258,622,595,384,413,531,405
2020년05월_계_90~99세,"1,593",98,193,43,70,41,93,34,27,91,59,52,92,44,85,76,63,97,47,59,58,97,74
2020년05월_계_100세 이상,101,6,11,2,2,1,7,7,2,9,4,1,7,3,2,7,6,10,5,5,2,1,1
2020년05월_남_총인구수,"274,679","23,570","21,395","15,707","24,487","13,456","14,341","3,533","5,058","11,824","7,114","7,593","16,276","6,448","10,073","8,489","5,637","17,212","11,580","12,457","14,199","12,698","11,532"
2020년05월_남_연령구간인구수,"274,679","23,570","21,395","15,707","24,487","13,456","14,341","3,533","5,058","11,824","7,114","7,593","16,276","6,448","10,073","8,489","5,637","17,212","11,580","12,457","14,199","12,698","11,532"
2020년05월_남_0~9세,"26,731","2,551","1,286","2,106","3,708","2,199","1,793",183,261,669,407,373,"1,440",328,747,374,391,"1,479","1,039","1,409","1,591","1,223","1,174"
2020년05월_남_10~19세,"29,229","2,358","1,930","2,215","3,191","1,794","1,095",239,414,857,507,656,"1,529",462,985,703,435,"1,794","1,481","1,805","1,731","1,417","1,631"
2020년05월_남_20~29세,"38,207","3,399","3,610","1,871","2,964","1,458","1,825",611,868,"1,827","1,003","1,257","2,283",919,"1,635","1,249",754,"2,533","1,537","1,389","1,939","1,693","1,583"
2020년05월_남_30~39세,"41,575","4,437","2,734","2,985","4,044","2,323","2,607",512,680,"1,724",898,914,"2,349",877,"1,330","1,071",901,"2,646","1,338","1,697","2,359","1,687","1,462"
2020년05월_남_40~49세,"48,957","4,493","3,333","3,217","4,966","2,701","2,385",478,695,"1,823","1,075","1,171","2,601","1,084","1,450","1,191",842,"3,067","2,305","2,835","2,760","2,272","2,213"
2020년05월_남_50~59세,"47,390","3,427","4,497","2,030","3,264","1,771","2,325",843,"1,116","2,406","1,453","1,610","3,047","1,392","1,907","1,725","1,049","3,098","2,060","1,919","2,248","2,282","1,921"
2020년05월_남_60~69세,"28,121","1,912","2,594",913,"1,657",906,"1,563",497,736,"1,682","1,137","1,035","2,093",893,"1,392","1,379",870,"1,678","1,010",816,"1,015","1,389",954
2020년05월_남_70~79세,"10,878",766,973,266,537,234,596,134,206,655,488,448,745,370,470,608,299,693,569,423,392,555,451
2020년05월_남_80~89세,"3,248",204,386,100,140,63,138,29,77,158,132,122,176,109,138,169,77,208,226,153,148,165,130
2020년05월_남_90~99세,313,20,47,4,16,6,12,4,5,19,14,7,12,12,19,19,17,13,14,10,15,15,13
2020년05월_남_100세 이상,30,3,5,0,0,1,2,3,0,4,0,0,1,2,0,1,2,3,1,1,1,0,0
2020년05월_여_총인구수,"269,331","22,819","20,586","15,902","24,673","13,780","14,183","3,182","4,995","11,133","6,583","7,424","16,254","5,643","10,686","8,155","5,351","16,032","11,392","12,119","14,318","12,199","11,922"
2020년05월_여_연령구간인구수,"269,331","22,819","20,586","15,902","24,673","13,780","14,183","3,182","4,995","11,133","6,583","7,424","16,254","5,643","10,686","8,155","5,351","16,032","11,392","12,119","14,318","12,199","11,922"
2020년05월_여_0~9세,"25,148","2,410","1,273","1,938","3,431","2,062","1,617",176,255,642,393,289,"1,412",269,729,361,400,"1,366","1,023","1,244","1,548","1,196","1,114"
2020년05월_여_10~19세,"27,874","2,147","1,758","2,194","3,012","1,743","1,038",227,385,780,446,686,"1,558",437,"1,013",638,364,"1,692","1,413","1,720","1,633","1,320","1,670"
2020년05월_여_20~29세,"35,242","3,177","3,142","1,986","2,897","1,446","1,752",467,778,"1,551",801,"1,100","2,156",783,"1,491","1,087",730,"2,267","1,351","1,296","1,905","1,485","1,594"
2020년05월_여_30~39세,"39,882","4,264","2,377","3,091","4,512","2,687","2,531",404,532,"1,270",738,704,"2,282",628,"1,313",812,811,"2,169","1,306","1,807","2,428","1,687","1,529"
2020년05월_여_40~49세,"47,101","4,080","3,214","3,278","4,974","2,736","2,129",396,695,"1,539",895,"1,094","2,510",832,"1,596","1,144",775,"2,911","2,279","2,794","2,762","2,124","2,344"
2020년05월_여_50~59세,"45,915","3,396","4,352","1,918","3,289","1,817","2,365",788,"1,214","2,416","1,372","1,627","3,079","1,175","2,185","1,718",997,"2,710","1,801","1,525","2,181","2,141","1,849"
2020년05월_여_60~69세,"27,185","1,957","2,356",868,"1,614",808,"1,615",447,640,"1,658","1,070","1,065","2,014",799,"1,385","1,338",724,"1,588","1,098",923,"1,034","1,211",973
2020년05월_여_70~79세,"12,864",902,"1,260",388,597,278,676,143,304,776,535,532,777,471,581,644,319,824,715,526,518,586,512
2020년05월_여_80~89세,"6,769",405,702,200,291,168,374,100,168,424,284,281,380,216,325,350,181,414,369,231,265,366,275
2020년05월_여_90~99세,"1,280",78,146,39,54,35,81,30,22,72,45,45,80,32,66,57,46,84,33,49,43,82,61
2020년05월_여_100세 이상,71,3,6,2,2,0,5,4,2,5,4,1,6,1,2,6,4,7,4,4,1,1,1
