카테고리,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2021년07월_계_총인구수,"420,048","17,123","15,679","16,349","20,023","22,961","11,065","19,970","18,171","12,052","14,934","23,997","11,008","11,036","16,440","12,712","14,118","22,153","18,935","11,461","17,268","30,906","28,221","33,466"
2021년07월_계_연령구간인구수,"420,048","17,123","15,679","16,349","20,023","22,961","11,065","19,970","18,171","12,052","14,934","23,997","11,008","11,036","16,440","12,712","14,118","22,153","18,935","11,461","17,268","30,906","28,221","33,466"
2021년07월_계_0~9세,"29,273","1,651","1,054","1,901","1,657","1,762",477,"1,308","1,193","1,034",820,"2,023",532,701,969,966,860,944,"1,046",345,"1,288","2,156","2,219","2,367"
2021년07월_계_10~19세,"49,824","2,167","1,787","2,012","4,476","2,426","1,084","3,832","2,161","1,702","1,399","4,040",837,713,"1,281",984,"1,135","1,786","1,786",625,"1,863","4,513","3,152","4,063"
2021년07월_계_20~29세,"54,058","2,017","2,236","2,079","1,935","2,930","1,804","2,481","2,149","1,263","2,064","2,681","1,743","1,406","2,013","1,191","2,157","3,203","2,516","1,293","2,100","4,273","3,861","4,663"
2021년07월_계_30~39세,"42,282","1,907","1,989","2,032","1,320","2,300","1,156","1,330","1,550","1,076","1,457","1,902","1,339","1,447","1,936","1,488","1,878","2,245","1,851",924,"1,802","2,790","3,178","3,385"
2021년07월_계_40~49세,"71,232","3,119","2,685","3,251","5,015","3,615","1,605","4,401","3,039","2,356","2,113","4,727","1,742","1,776","2,426","1,882","2,228","3,006","2,775","1,270","2,861","5,400","4,539","5,401"
2021년07월_계_50~59세,"74,569","2,838","2,656","2,631","2,928","4,096","2,065","3,416","3,179","1,876","2,920","4,214","1,885","1,909","2,821","2,038","2,751","4,158","3,570","2,118","3,101","5,763","5,007","6,629"
2021년07월_계_60~69세,"53,590","1,749","1,811","1,332","1,422","3,065","1,559","1,704","2,305","1,442","2,175","2,527","1,519","1,661","2,693","2,178","1,845","3,575","2,993","2,427","2,630","3,521","3,553","3,904"
2021년07월_계_70~79세,"28,851","1,066",978,735,832,"1,752",832,996,"1,620",869,"1,232","1,179",961,926,"1,484","1,331",837,"2,078","1,469","1,537","1,092","1,532","1,678","1,835"
