카테고리,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2020년11월_계_총인구수,"359,375","15,552","9,947","20,842","22,431","20,540","12,976","20,927","21,101","23,009","18,011","23,900","10,333","11,757","19,989","17,199","17,202","11,357","29,547","12,046","20,709"
2020년11월_계_연령구간인구수,"359,375","15,552","9,947","20,842","22,431","20,540","12,976","20,927","21,101","23,009","18,011","23,900","10,333","11,757","19,989","17,199","17,202","11,357","29,547","12,046","20,709"
2020년11월_계_0~9세,"21,365",630,628,"1,469","1,302","1,210",564,"1,255","1,015","1,959","1,138","1,202",760,721,920,"1,053","1,264",643,"1,861",508,"1,263"
2020년11월_계_10~19세,"25,044",561,468,"1,859","1,584","1,552",611,"1,182","1,177","1,883","1,941","2,016",698,951,"1,227","1,399","1,008",841,"2,541",492,"1,053"
2020년11월_계_20~29세,"52,644","3,273","1,945","2,138","2,321","2,979","2,953","4,486","3,392","2,549","2,062","2,938","1,293","1,278","3,266","2,155","3,280","1,589","3,677","2,482","2,588"
2020년11월_계_30~39세,"47,875","2,417","1,767","2,346","2,463","2,484","2,284","3,916","3,043","3,068","1,756","2,360","1,645","1,337","2,305","1,890","2,790","1,194","3,416","2,245","3,149"
2020년11월_계_40~49세,"51,670","1,788","1,476","3,348","3,157","3,032","1,780","2,845","2,962","3,779","2,913","3,495","1,497","1,807","2,704","2,429","2,445","1,551","4,307","1,558","2,797"
2020년11월_계_50~59세,"58,676","2,553","1,519","3,282","3,688","3,627","1,651","2,639","3,089","3,789","3,415","4,482","1,503","2,244","3,433","2,905","2,569","1,950","5,404","1,710","3,224"
2020년11월_계_60~69세,"55,806","2,400","1,301","3,405","4,090","3,053","1,627","2,368","3,311","3,208","2,700","4,118","1,614","1,903","3,386","2,956","2,121","1,931","5,022","1,673","3,619"
2020년11월_계_70~79세,"31,715","1,315",568,"2,059","2,664","1,715","1,021","1,471","2,130","1,977","1,464","2,163",915,"1,052","1,971","1,710","1,214","1,156","2,193",900,"2,057"
2020년11월_계_80~89세,"12,828",531,220,820,"1,039",793,423,654,884,683,545,970,367,410,692,608,459,462,"1,010",416,842
2020년11월_계_90~99세,"1,521",69,48,109,110,83,53,95,85,83,64,144,34,47,77,82,50,37,107,53,91
2020년11월_계_100세 이상,231,15,7,7,13,12,9,16,13,31,13,12,7,7,8,12,2,3,9,9,26
2020년11월_남_총인구수,"173,709","7,823","4,995","9,844","10,906","9,732","5,961","10,071","9,939","11,232","8,869","11,398","4,974","5,761","9,942","8,378","8,227","5,556","14,298","5,726","10,077"
2020년11월_남_연령구간인구수,"173,709","7,823","4,995","9,844","10,906","9,732","5,961","10,071","9,939","11,232","8,869","11,398","4,974","5,761","9,942","8,378","8,227","5,556","14,298","5,726","10,077"
2020년11월_남_0~9세,"10,803",309,337,726,683,598,290,624,532,"1,006",578,583,386,377,448,536,636,299,964,239,652
2020년11월_남_10~19세,"12,772",303,233,931,875,788,286,603,604,954,"1,000","1,028",352,461,641,723,487,426,"1,267",247,563
2020년11월_남_20~29세,"25,876","1,504",940,"1,120","1,243","1,468","1,197","2,018","1,589","1,317","1,131","1,591",635,688,"1,754","1,136","1,451",859,"1,934","1,077","1,224"
2020년11월_남_30~39세,"24,470","1,310",957,"1,202","1,276","1,231","1,092","2,034","1,500","1,510",896,"1,228",839,678,"1,235",959,"1,404",652,"1,704","1,131","1,632"
